 	w	a	l	á	a	p	i	i	g	h	á	a	b	v	ú	a	m	o	n	d	i	e	y	í	b	h	á	n	g	á	</S>
il	0.0280395	0.057786	0.165123	0.218759	0.237034	0.166321	0.0814444	0.0249049	0.00424535	0.00159464	0.0010071	0.000847121	0.00059958	0.000413534	0.000676212	0.000720505	0.000525906	0.000886869	0.00128777	0.000820907	0.000748867	0.000640738	0.000701199	0.00065195	0.000527645	0.000636829	0.000691843	0.000599918	0.000672851	0.000609752	0.000480139
plante	0.0178894	0.0108958	0.0114334	0.0106975	0.0112224	0.00452556	0.00760356	0.00773906	0.0163965	0.04585	0.0721694	0.0541667	0.0591915	0.14824	0.152915	0.124429	0.0987299	0.0543287	0.0196891	0.00649768	0.0021261	0.00181243	0.00215124	0.00272896	0.00414771	0.0110677	0.0148158	0.00516525	0.00653852	0.00776599	0.00707037
les	0.0122685	0.0339897	0.0393506	0.0342356	0.026432	0.0240891	0.0319384	0.0265476	0.0369389	0.0256293	0.0421553	0.0413784	0.0671943	0.0821361	0.0530916	0.0636356	0.0505333	0.0536753	0.0257423	0.021942	0.00821586	0.0307851	0.014907	0.0207588	0.0234956	0.0256792	0.0168315	0.0125664	0.0172744	0.0188685	0.0177136
piquets	0.00738141	0.00816849	0.00855995	0.00832537	0.00748295	0.00779497	0.00914055	0.0102271	0.00978782	0.011126	0.0106524	0.00974362	0.0187395	0.0222139	0.0211945	0.029348	0.0391776	0.0329918	0.0305859	0.0370555	0.047536	0.0590015	0.0976732	0.109645	0.071616	0.0699531	0.0703126	0.0410797	0.0289033	0.0302335	0.034349
à	0.00713056	0.00690564	0.00735779	0.00723388	0.00729695	0.0066115	0.00760548	0.0092362	0.00931603	0.0133789	0.0181351	0.0211807	0.0407551	0.0433538	0.0443973	0.0368185	0.0310102	0.0397522	0.0366044	0.0458649	0.0519181	0.0364919	0.0440292	0.0401466	0.0411386	0.049728	0.0482154	0.0418973	0.0535821	0.0611983	0.0917096
la	0.00973464	0.0104592	0.0122085	0.00769457	0.011058	0.00581758	0.00615798	0.010426	0.011708	0.0163159	0.0191078	0.0185621	0.0331303	0.0295915	0.03417	0.0253458	0.0227634	0.0344113	0.0432276	0.0503931	0.0599682	0.058244	0.0621087	0.0657485	0.0584477	0.0420913	0.0602916	0.0423503	0.0379595	0.0375211	0.0629859
limite	0.0180837	0.0195038	0.0244368	0.0223779	0.0295192	0.0219093	0.0206293	0.0174807	0.017603	0.019055	0.0181383	0.0233622	0.0336517	0.0321375	0.0344291	0.024088	0.0246103	0.050066	0.0555204	0.0597861	0.0450019	0.0608463	0.0601707	0.0296963	0.049384	0.0405174	0.0322394	0.025137	0.0223289	0.0225203	0.0457698
de	0.0124288	0.00936322	0.00957789	0.00857085	0.0164344	0.0154078	0.0194886	0.0194958	0.0213234	0.0255887	0.0244394	0.0228591	0.0254732	0.0262549	0.0248353	0.0232338	0.019976	0.0252543	0.0193	0.0144494	0.0404338	0.0367088	0.036632	0.0309137	0.0570567	0.0663971	0.0525807	0.0631591	0.0714437	0.0747801	0.0861396
la	0.0156762	0.0146306	0.0142432	0.0135177	0.0166092	0.0164805	0.0163896	0.0163145	0.0167863	0.0163936	0.0169117	0.0179442	0.0194371	0.0156169	0.0157503	0.0141823	0.0146557	0.018414	0.0222365	0.0218554	0.0373049	0.0448014	0.0562462	0.0589539	0.0749958	0.0467764	0.0662761	0.0818503	0.0674583	0.0637174	0.0675736
parcelle	0.0112617	0.0105677	0.00922271	0.00961973	0.0126224	0.0146489	0.0129485	0.0101528	0.0126209	0.0131611	0.0110192	0.0106132	0.0114731	0.0143779	0.0197101	0.0156061	0.0185908	0.0174231	0.0136424	0.0138786	0.0216416	0.0276743	0.0557718	0.0498594	0.0789063	0.0915168	0.0593368	0.0635241	0.0742052	0.0924767	0.121926
</S>	0.00691438	0.00546106	0.00524243	0.00450781	0.0091814	0.00874749	0.0109304	0.0102085	0.0110998	0.012063	0.0147887	0.0163572	0.034169	0.0337432	0.0522379	0.0473496	0.0598861	0.0584523	0.0465662	0.0308474	0.0526367	0.0448079	0.0564072	0.0442788	0.0507585	0.0587291	0.024075	0.0306615	0.027516	0.0499579	0.0814174
