 	o	y	ú	r	u	w	ó	á	t	ú	ú	s	u	n	g	á	t	s	í	n	a	n	g	á	í	d	u	m	u	n	u	l	a	w	a	</S>
cette	0.00765316	0.0103138	0.0075753	0.00675169	0.00944829	0.0118218	0.00961431	0.00819368	0.0184673	0.0176063	0.0159199	0.0261504	0.0499922	0.0467805	0.0415331	0.0268947	0.0261637	0.0325723	0.0270006	0.0240965	0.0192274	0.0261457	0.0251693	0.0101235	0.0181444	0.0266219	0.0169454	0.0366629	0.0345045	0.081551	0.049416	0.0556024	0.0598602	0.0320623	0.038438	0.0449754
femme	0.158072	0.108702	0.0968994	0.0790606	0.0450805	0.00636324	0.034189	0.0125997	0.0428023	0.0894821	0.0107635	0.0169247	0.0249168	0.0212959	0.0184213	0.00730721	0.00802125	0.00932876	0.0108148	0.00718941	0.00306092	0.00610492	0.00665828	0.00138423	0.0173568	0.0254748	0.0180763	0.0141595	0.00968307	0.00558083	0.0163317	0.0235295	0.0272401	0.0119373	0.00448661	0.00070052
m'	0.0303379	0.0133257	0.01012	0.0114413	0.0124781	0.0432518	0.0150893	0.0254225	0.0221344	0.0412896	0.032481	0.0146138	0.0353124	0.0507724	0.10118	0.0859902	0.0603031	0.0828015	0.0300289	0.0295331	0.0267731	0.0305096	0.0284781	0.0176944	0.0303689	0.0196478	0.0285681	0.0112023	0.0188622	0.00496815	0.0101908	0.00592372	0.00541411	0.00477093	0.00518157	0.00353911
a	0.0181232	0.0240923	0.0345127	0.0286671	0.0392008	0.0309426	0.013124	0.0169479	0.0115653	0.00956473	0.0166613	0.027556	0.0209952	0.0173133	0.0500678	0.0339548	0.034799	0.0453441	0.0349666	0.0406734	0.0511399	0.0416552	0.0433247	0.029642	0.0570746	0.0564249	0.0429395	0.0368676	0.0185069	0.0223388	0.0114599	0.00441569	0.00913116	0.00647632	0.010146	0.00938487
insulté	0.081127	0.050388	0.0490684	0.0354573	0.0241517	0.0174469	0.0238848	0.0234026	0.0212561	0.0161413	0.0235172	0.0283631	0.0156824	0.0259747	0.0186854	0.0270439	0.0448801	0.0441612	0.0290338	0.0314246	0.0400215	0.0268623	0.0213692	0.0513748	0.0264915	0.0205421	0.0225464	0.0219537	0.0203481	0.0172203	0.0148443	0.00797827	0.0155139	0.0179108	0.0176404	0.0262919
parce	0.0538233	0.0207365	0.0247553	0.026504	0.023866	0.0219135	0.0283351	0.0434569	0.0323409	0.0316722	0.0290151	0.0342579	0.0296164	0.0613791	0.045277	0.0718581	0.0663628	0.046532	0.0362393	0.0273168	0.0275017	0.0217753	0.0185829	0.0418373	0.0255645	0.0146971	0.0143843	0.0167806	0.00869457	0.00665519	0.00725274	0.00610584	0.00581093	0.00584639	0.00533323	0.0179191
que	0.0520414	0.0381073	0.0292886	0.0244801	0.0123027	0.0238581	0.0147616	0.0139658	0.0113348	0.0126862	0.0171757	0.0233713	0.0114647	0.0514962	0.0301018	0.0252295	0.0223385	0.0274634	0.0339993	0.0291068	0.0346556	0.0266604	0.036318	0.0511177	0.0596304	0.0460319	0.0468902	0.0452975	0.029184	0.0232014	0.0122906	0.00889259	0.00926934	0.0092313	0.0183001	0.0384548
je	0.0693018	0.0506691	0.0403222	0.0292637	0.0177391	0.0195594	0.0144578	0.0141778	0.0104496	0.00800174	0.0206157	0.0207311	0.0129609	0.0366555	0.0231306	0.0251525	0.0232183	0.0297948	0.0295664	0.0359622	0.0339577	0.017285	0.0363122	0.0416658	0.0219984	0.0255432	0.0332824	0.02981	0.0272663	0.0291253	0.0153257	0.0150709	0.0211964	0.0210111	0.0320505	0.0673686
l'	0.124321	0.0731018	0.0577395	0.0400736	0.0255786	0.0374304	0.0183506	0.0193064	0.0142419	0.0116343	0.0179193	0.0167526	0.0140363	0.0409263	0.0198905	0.0174818	0.0174181	0.0255104	0.0230196	0.0203947	0.013614	0.00851729	0.0279402	0.0110144	0.024321	0.0387051	0.0243905	0.0337764	0.0151803	0.0224098	0.00997995	0.0103421	0.0160705	0.0181555	0.0192622	0.0711929
ai	0.0686348	0.0290967	0.0303558	0.0242191	0.0184815	0.0140773	0.0181746	0.0187529	0.016263	0.0147627	0.0151477	0.0110251	0.0234927	0.043255	0.0357695	0.0412163	0.0531069	0.054113	0.0432956	0.0384221	0.029663	0.0205581	0.0467995	0.0229865	0.0330027	0.0409602	0.0364099	0.0395253	0.0142469	0.0120894	0.0101002	0.0100535	0.00981524	0.00941818	0.0112932	0.0414159
frôlée	0.116469	0.0639893	0.0597787	0.033821	0.0350729	0.0276401	0.0239991	0.0265603	0.0196684	0.0105523	0.0293059	0.0244021	0.0263481	0.0220403	0.0207211	0.0192417	0.020249	0.0320634	0.0353124	0.0328228	0.0163576	0.00847521	0.026884	0.0122883	0.0145736	0.0303394	0.0265677	0.0283329	0.0145177	0.020168	0.0111072	0.0105108	0.0154699	0.0150873	0.0209259	0.0483367
</S>	0.0827476	0.0613873	0.0412551	0.025707	0.0215926	0.018017	0.0094597	0.0104234	0.00782978	0.00854367	0.0108397	0.0146545	0.00722157	0.0106301	0.0059156	0.00773483	0.0110303	0.0137233	0.0218666	0.0227991	0.00961539	0.00565785	0.0198647	0.00618841	0.0101071	0.0366537	0.0283688	0.050196	0.0305877	0.0771821	0.0244161	0.0293855	0.0401139	0.0391381	0.0791666	0.0999791
