 	w	á	á	n	g	á	i	d	z	w	é	o	n	g	á	l	á	p	á	l	i	i	s	á	l	a	l	í	í	d	i	á	n	g	á	n	g	á	l	í	i	b	é	n	y	á	d	i	a	</S>
quand	0.0566354	0.0469857	0.0853823	0.065395	0.0466345	0.0807304	0.0401023	0.04241	0.0299746	0.0247129	0.0161757	0.0164297	0.0189955	0.0148101	0.0250344	0.0210914	0.0290111	0.0197846	0.017208	0.016139	0.0158843	0.013893	0.00768142	0.0121478	0.0121031	0.0133546	0.00669021	0.0114037	0.0139523	0.00821129	0.0111241	0.0103623	0.01164	0.0106721	0.00519625	0.0070429	0.00394583	0.00719687	0.00430822	0.00481212	0.00450584	0.00374074	0.0106735	0.0101673	0.0114212	0.00927376	0.0120481	0.0123861	0.0130613	0.0074569
j'	0.057721	0.0355189	0.0313031	0.0241875	0.0238176	0.0304568	0.04358	0.0412621	0.0485264	0.0392358	0.0499236	0.0436397	0.029269	0.0409011	0.0290958	0.0251213	0.0307536	0.0272492	0.023851	0.0287319	0.0140705	0.020133	0.00747955	0.0119468	0.0129547	0.014025	0.010955	0.00472493	0.00927729	0.0130668	0.0129263	0.0107967	0.00909816	0.00452235	0.00964049	0.00733232	0.00950807	0.00991581	0.00278348	0.00377242	0.0058879	0.00425843	0.00721776	0.00605752	0.00636574	0.00845096	0.00678003	0.00833498	0.0128154	0.0307565
irai	0.00394586	0.00317551	0.0028114	0.00398908	0.0033523	0.00376513	0.00532807	0.0082354	0.0174891	0.00978253	0.0137784	0.0185476	0.0191203	0.0263761	0.0243874	0.032832	0.0311767	0.0339971	0.0407014	0.0353556	0.0609734	0.0195035	0.0150118	0.0246994	0.0321726	0.043375	0.0276994	0.0335161	0.0322123	0.0274852	0.0401066	0.0281182	0.046764	0.0345091	0.0212912	0.0315346	0.0151927	0.0149139	0.00628105	0.0126153	0.00870455	0.0050144	0.0106726	0.0115837	0.0106599	0.00881609	0.00944946	0.00945155	0.00947837	0.0100471
en	0.00456243	0.00568563	0.00585271	0.00409008	0.00401956	0.00628215	0.0062364	0.00704199	0.00889057	0.0107198	0.00987975	0.0117948	0.0143805	0.0182245	0.0336074	0.0299394	0.035891	0.0299943	0.020579	0.0293765	0.0377408	0.0278519	0.0325003	0.0186326	0.0167654	0.0167331	0.0528409	0.030072	0.0332862	0.0632279	0.0392119	0.0322086	0.0228936	0.0154068	0.0474054	0.0119811	0.0239401	0.0212823	0.0266586	0.0231677	0.0181537	0.014897	0.00941093	0.0101509	0.00699945	0.00662541	0.00805269	0.00696591	0.00941297	0.0184754
ville	0.00267035	0.00260605	0.00393878	0.00422831	0.00455648	0.00609512	0.00708505	0.0100614	0.0168255	0.0290637	0.013602	0.0154366	0.0141329	0.0170075	0.0271632	0.0175532	0.0187963	0.0138248	0.01506	0.0147371	0.0258947	0.0179616	0.0339324	0.0247834	0.0331181	0.0314492	0.0301512	0.032858	0.0311049	0.0354646	0.0281693	0.0279775	0.0272628	0.0176466	0.0285329	0.0210457	0.0179206	0.0412636	0.0340701	0.03411	0.0232145	0.0181135	0.01396	0.0123319	0.0104737	0.0122306	0.0144844	0.0143367	0.0170506	0.0346422
j'	0.00440097	0.00538332	0.00594769	0.00536249	0.00432683	0.00676096	0.00630025	0.00573321	0.00703642	0.00686511	0.00816922	0.0102767	0.00971459	0.0100396	0.016162	0.0237084	0.0243978	0.0259169	0.0246886	0.0235483	0.0384687	0.0196194	0.0376171	0.0484803	0.0318408	0.0347367	0.037482	0.0317594	0.0361287	0.0219308	0.0642696	0.0463282	0.0316556	0.0374166	0.0266151	0.0266498	0.0227828	0.0307199	0.0182107	0.0189364	0.0115772	0.00809345	0.00741817	0.0049393	0.00278735	0.00323106	0.0074865	0.00504497	0.00690322	0.0461305
accepterai	0.00973839	0.00885779	0.00578191	0.00846669	0.00676347	0.00561025	0.00839437	0.00927494	0.0175534	0.00942633	0.00925085	0.00890955	0.00792518	0.00843536	0.0073254	0.010858	0.00797641	0.00903803	0.0165679	0.016065	0.0303384	0.0173297	0.0262363	0.0317366	0.0459343	0.0497903	0.0360254	0.0238061	0.0246009	0.0355492	0.0555308	0.042894	0.033357	0.0425729	0.0395571	0.0331546	0.0390236	0.0245181	0.0209709	0.0254233	0.0177416	0.0118335	0.00867633	0.00685231	0.00644595	0.00974843	0.0171077	0.0105891	0.0139723	0.0264641
n'	0.0017587	0.00141333	0.00259563	0.00244056	0.00306296	0.00502184	0.00278152	0.00617815	0.0116287	0.0203431	0.00655984	0.00493307	0.00544838	0.00921647	0.0141471	0.013086	0.0129472	0.00974631	0.0158817	0.0126253	0.0241196	0.0127287	0.0259823	0.0236654	0.0353873	0.0390958	0.0529818	0.0349512	0.0339762	0.0476461	0.0616196	0.0481443	0.0513778	0.0437437	0.0687899	0.0445149	0.0484735	0.0332788	0.026314	0.0218727	0.00838592	0.00574729	0.0031821	0.00294206	0.00268357	0.00338593	0.00451919	0.00419137	0.00450503	0.0199779
importe	0.00420287	0.00474521	0.0044151	0.00536072	0.00400509	0.00340305	0.00538673	0.00594624	0.00625046	0.00758667	0.00793402	0.00675614	0.00597459	0.00596561	0.0059377	0.00803091	0.0068873	0.0090369	0.0120017	0.0134395	0.0230393	0.0149256	0.0219988	0.0198132	0.035884	0.0459229	0.0399683	0.0356353	0.0329243	0.0441384	0.0394957	0.0325477	0.044431	0.0370663	0.0631611	0.0590952	0.0422225	0.04246	0.0385157	0.0402661	0.0193006	0.0136537	0.00820585	0.00535384	0.00597757	0.00669794	0.0103426	0.00693782	0.00806865	0.0286835
quel	0.0233254	0.0132643	0.01969	0.0231777	0.0165353	0.0189451	0.0168964	0.011189	0.0115146	0.00909716	0.00835417	0.00848388	0.00800258	0.00734967	0.0135853	0.0270232	0.0216499	0.0217809	0.0323431	0.0316547	0.0511041	0.0238915	0.0298729	0.0232939	0.0423631	0.0286772	0.0323773	0.0125256	0.0124131	0.0353624	0.0205354	0.0273179	0.0164677	0.0109388	0.0298995	0.0122313	0.0291079	0.0125762	0.0159992	0.0129432	0.0104641	0.00878464	0.00974626	0.0101176	0.0105118	0.010945	0.0125223	0.0141642	0.0147506	0.0742331
emploi	0.0160246	0.0106013	0.0159125	0.0178419	0.0124755	0.0147681	0.0165338	0.0112997	0.0130896	0.00929771	0.0112114	0.00883267	0.00854428	0.00743301	0.00870931	0.0124946	0.0107741	0.0106001	0.0146627	0.013418	0.0256803	0.0142813	0.0222533	0.0201592	0.0293851	0.0280522	0.0295392	0.0111202	0.0128009	0.0260191	0.0281105	0.0357506	0.0214116	0.020043	0.0412388	0.0155085	0.0433922	0.0189646	0.0262641	0.0229956	0.0232641	0.0170506	0.0214847	0.021006	0.017884	0.0177933	0.0259133	0.0212605	0.029225	0.067623
</S>	0.00493654	0.00510423	0.00423701	0.00525767	0.00436438	0.00335385	0.00609873	0.00753977	0.00800295	0.00492061	0.0106611	0.0121476	0.0106497	0.0111626	0.00779517	0.0130939	0.00961784	0.0124761	0.022443	0.0206529	0.0515537	0.0347047	0.0395294	0.0364546	0.0555366	0.0484709	0.0360594	0.0219942	0.0224933	0.0545355	0.0552627	0.0457232	0.0348535	0.0400835	0.0380572	0.0234658	0.0299325	0.0167081	0.0182275	0.0172465	0.0132732	0.00812228	0.00653783	0.00452547	0.00499191	0.0057506	0.0103062	0.00744014	0.0101699	0.0234739
