 	a	m	b	ω	r	i	b	á	a	s	á	l	í	s	á	m	ú	b	h	u	m	ó	ó	d	i	b	á	a	á	m	i	p	i	a	</S>
les	0.0641672	0.0481508	0.0684255	0.0567742	0.039228	0.0605318	0.0339876	0.0473493	0.056382	0.0407475	0.0269287	0.0302176	0.0342857	0.046127	0.0299331	0.0289375	0.03411	0.0228434	0.0196688	0.0172848	0.0104793	0.0093465	0.00631513	0.00887306	0.0115295	0.0135464	0.0171133	0.0204111	0.0165413	0.0165697	0.0146541	0.0174661	0.0110641	0.0121525	0.00785743
soldats	0.0265327	0.0381719	0.0368113	0.0434516	0.0524998	0.0518943	0.0648729	0.0717363	0.0639525	0.0533537	0.0394817	0.0471523	0.0299178	0.0468044	0.0473609	0.0224069	0.0310982	0.00889973	0.0105619	0.0133482	0.00994192	0.00836685	0.00595609	0.0111373	0.0146021	0.0171986	0.014978	0.0143863	0.0137061	0.013443	0.0171803	0.0267948	0.0172648	0.00989098	0.00484361
font	0.0635975	0.0439729	0.0262393	0.0219636	0.0371046	0.0467687	0.0425966	0.044908	0.032871	0.0572312	0.0775258	0.0633967	0.091815	0.0345483	0.0602362	0.0367557	0.029566	0.0185159	0.011217	0.0127422	0.00863485	0.0057863	0.00641658	0.00575062	0.00498616	0.00821547	0.00688373	0.0084482	0.00814962	0.0101324	0.0131102	0.0221947	0.0187015	0.010545	0.00847256
travailler	0.00945505	0.0155121	0.0301613	0.0454374	0.0349987	0.0272347	0.0319543	0.0402708	0.0483447	0.0399061	0.0427909	0.0457995	0.046626	0.0279229	0.028034	0.0213055	0.0211698	0.018199	0.0154808	0.0149925	0.0205982	0.0252694	0.0411131	0.0299698	0.0273938	0.0267283	0.0255457	0.0275518	0.0283832	0.0306339	0.0187029	0.0140862	0.0205892	0.017164	0.0406747
le	0.0276421	0.0284766	0.0306627	0.0303083	0.030766	0.0254776	0.0309657	0.0282609	0.027076	0.0297275	0.0287797	0.0254625	0.0282967	0.0223696	0.0239734	0.0247636	0.0250592	0.0193327	0.0212103	0.0184474	0.0199723	0.0271602	0.0253178	0.0273172	0.0272431	0.0285219	0.0240473	0.028246	0.0234803	0.0281418	0.0331787	0.0331725	0.0432772	0.0337966	0.0700684
voleur	0.028273	0.0225574	0.0177388	0.0165878	0.0180945	0.0185625	0.0200551	0.0214241	0.0219141	0.0221295	0.0242344	0.0233168	0.0292495	0.0216109	0.0251143	0.0340564	0.0307133	0.030745	0.0397548	0.0372053	0.0526288	0.0410206	0.0458878	0.0304829	0.0420154	0.0436326	0.0284497	0.0215847	0.0240211	0.0213598	0.026764	0.0252818	0.0190014	0.0281889	0.0463429
qu'	0.0192789	0.0169122	0.0151007	0.0153041	0.0172081	0.0164659	0.0187496	0.0179568	0.0208213	0.0264093	0.026306	0.0296338	0.0362695	0.0347584	0.0395713	0.0353257	0.0301567	0.0407973	0.0477137	0.0326088	0.0418895	0.0358017	0.0335726	0.0398571	0.0332624	0.0233356	0.0196834	0.0179943	0.0270932	0.0256118	0.0260966	0.0348493	0.025362	0.0342274	0.0440148
ils	0.0258174	0.0202648	0.019757	0.021146	0.0290122	0.0239803	0.0298574	0.0262457	0.0329262	0.0404707	0.0437111	0.0349172	0.0415565	0.0191869	0.0302092	0.0247259	0.0421294	0.0472881	0.0416824	0.0351105	0.0236686	0.01872	0.0150949	0.0155488	0.0187095	0.0155945	0.0117947	0.0161896	0.0231318	0.020083	0.0213011	0.0193151	0.0323961	0.0490078	0.0694496
ont	0.0687898	0.039368	0.0277877	0.0241065	0.0236734	0.0177548	0.00979115	0.00791178	0.00667543	0.0119902	0.0128785	0.0116486	0.0102936	0.0124257	0.024102	0.0182609	0.028441	0.0350598	0.0410104	0.0482453	0.0446822	0.059375	0.0448323	0.0173017	0.0240208	0.019275	0.016951	0.0289305	0.0261064	0.0227332	0.0263346	0.0206579	0.02863	0.0265795	0.113375
arrêté	0.0447164	0.0354586	0.0311435	0.0299173	0.0246361	0.0142699	0.00753416	0.00530226	0.00413816	0.00656873	0.0067784	0.00621316	0.00658798	0.0110225	0.0162822	0.012637	0.0124914	0.0213897	0.026462	0.0319884	0.0445059	0.0459807	0.0458775	0.0233096	0.0346571	0.0271536	0.0190651	0.0261681	0.0375728	0.0269266	0.0320985	0.0317402	0.0599558	0.0519173	0.137533
</S>	0.0630064	0.0516748	0.0384134	0.035918	0.0275643	0.0168813	0.0105887	0.00594261	0.00475049	0.00642503	0.00594084	0.00704866	0.00894715	0.0179393	0.0245004	0.0209491	0.0155785	0.0269064	0.0317071	0.0352576	0.0351198	0.0320406	0.0259082	0.0173347	0.0195035	0.0148976	0.0132841	0.0177537	0.0284362	0.024187	0.0366396	0.0430008	0.050377	0.0619066	0.123671
