 	m	w	á	n	a	w	ú	u	á	m	i	b	h	á	n	d	á	k	y	e	b	h	é	k	y	e	b	h	é	</S>
cet	0.00597523	0.00995021	0.010017	0.00616946	0.00327379	0.0053334	0.00836881	0.0106295	0.0224413	0.0343133	0.0662154	0.0590137	0.101456	0.0732258	0.0542303	0.0487418	0.0333063	0.0364945	0.0322252	0.0280697	0.0334416	0.0240158	0.0297061	0.0284401	0.0305484	0.0335946	0.0367254	0.0484093	0.0449861	0.0406819
enfant-là	0.0394257	0.00779224	0.0206831	0.0650714	0.0551759	0.0684684	0.053173	0.0953303	0.20544	0.107533	0.129675	0.0475413	0.022444	0.0176749	0.0144406	0.0110953	0.00281379	0.00183264	0.00110951	0.00110802	0.0032667	0.00197581	0.00385097	0.00614713	0.00825069	0.00532491	0.00136682	0.000688357	0.000604309	0.000695671
s'	0.0115839	0.012697	0.00715679	0.0118715	0.0361431	0.0267326	0.0417464	0.0636081	0.099638	0.104407	0.0693041	0.0946269	0.0572369	0.0509721	0.0382909	0.0534219	0.0178548	0.0239615	0.0466494	0.0217434	0.019963	0.0241081	0.0250363	0.0115125	0.0080558	0.00383388	0.00328271	0.00436186	0.00648409	0.00371578
initie	0.0348835	0.0198498	0.0136512	0.0106029	0.00744716	0.0113151	0.0149509	0.0181371	0.0295522	0.0217701	0.0502896	0.0810109	0.0416544	0.0493802	0.0446868	0.0577888	0.0441972	0.0531029	0.0357168	0.0334284	0.0516251	0.0310299	0.0177494	0.0257654	0.0316443	0.033861	0.0339436	0.0349045	0.0350213	0.0310395
à	0.0900553	0.0501293	0.0450493	0.0269132	0.0170306	0.0121901	0.00792707	0.00896574	0.0107063	0.011474	0.0178759	0.0345561	0.0210648	0.0180634	0.0157659	0.016961	0.0130156	0.0193382	0.0168002	0.0172887	0.0267374	0.0182558	0.0179737	0.0289968	0.0484494	0.0462468	0.0808448	0.0889725	0.0851487	0.0872033
la	0.0654961	0.032872	0.0284321	0.0210555	0.0137992	0.0111254	0.00634345	0.00834658	0.00775057	0.00840585	0.00798338	0.00926425	0.012794	0.0180107	0.0142481	0.0191522	0.0176346	0.0259436	0.0263028	0.0349086	0.0307811	0.0337838	0.032122	0.0497341	0.0575704	0.0761203	0.0870479	0.0779696	0.0662513	0.0987507
pratique	0.0461166	0.0744879	0.0619949	0.0496674	0.0354416	0.0316714	0.0276439	0.030327	0.0345447	0.0469613	0.0308784	0.042673	0.059394	0.0978629	0.0459022	0.0692175	0.0374634	0.0212009	0.02162	0.0105057	0.0103659	0.0199645	0.0122995	0.00877716	0.00719564	0.00737136	0.0141724	0.0099984	0.0133906	0.0208901
du	0.0678104	0.0755896	0.0625774	0.0489572	0.0461076	0.0354642	0.0213474	0.0184722	0.0137612	0.018024	0.00863473	0.0191534	0.0152663	0.0208567	0.0152633	0.032207	0.0217084	0.0248492	0.0281788	0.0159807	0.0121706	0.0277533	0.027803	0.022983	0.0193374	0.0329389	0.0490923	0.0346736	0.0420328	0.121005
kyebé-kyebé	0.0294383	0.0312794	0.0235428	0.013275	0.011668	0.0105436	0.00806232	0.00897169	0.00848847	0.00939339	0.00698806	0.00981028	0.00680206	0.00933656	0.00593405	0.00827321	0.0082048	0.0155429	0.0235411	0.0240153	0.022093	0.0465851	0.0703083	0.0446705	0.0489663	0.0798903	0.126904	0.0795337	0.0906588	0.117279
</S>	0.0647436	0.0489159	0.0373062	0.0231639	0.0198371	0.0186136	0.0107485	0.0104425	0.0081359	0.00541883	0.00483257	0.00765571	0.00542975	0.00540265	0.00504596	0.00904089	0.00701544	0.0125902	0.0176205	0.0146208	0.0220326	0.0499331	0.0480953	0.0336744	0.0482032	0.0830234	0.10882	0.0829624	0.0827341	0.103941
