 	e	k	o	k	ó	á	d	z	á	o	b	e	n	g	i	o	p	ώ	ω	l	i	k	ω	n	g	ώ	w	á	á	w	a	a	t	έ	n	y	a	m	a	w	a	l	á	a	n	ώ	n	g	ω	s	ω	</S>
ekoko	0.00762106	0.00900079	0.0102079	0.0162464	0.0201888	0.0241445	0.0238464	0.0277299	0.0382323	0.0375091	0.0384098	0.0326393	0.0344742	0.0379092	0.11219	0.0850967	0.120917	0.044507	0.0239515	0.014653	0.0104839	0.00923785	0.00690306	0.00851684	0.00625298	0.00647471	0.00378465	0.00540399	0.00342579	0.0045696	0.00264949	0.00294475	0.00256844	0.00407764	0.00300965	0.00304407	0.00271448	0.00468408	0.00355975	0.005002	0.00368663	0.00783598	0.0113642	0.0115779	0.010317	0.0128218	0.00932636	0.012268	0.015714	0.0182419	0.0154212	0.0126425
était	0.0585978	0.108992	0.0785379	0.0516344	0.035353	0.0208688	0.00632631	0.00698463	0.0307019	0.0133878	0.00633374	0.00736379	0.00566771	0.0264457	0.0541432	0.0350693	0.0200864	0.0163695	0.013101	0.00907717	0.0109248	0.0145129	0.0275012	0.0266611	0.0345553	0.023902	0.011077	0.0370122	0.0062294	0.0125591	0.00979755	0.00665498	0.00165995	0.0137228	0.0128539	0.00876127	0.0167283	0.023786	0.0125811	0.00194137	0.00885469	0.0219786	0.00748168	0.00731224	0.00390741	0.00844162	0.00367393	0.00397668	0.00533431	0.0037823	0.00256519	0.00422703
un	0.0326664	0.0381125	0.0398315	0.055987	0.0787172	0.0865224	0.051596	0.038655	0.0508411	0.0342027	0.0133695	0.0153913	0.0101599	0.0124799	0.0183842	0.0131332	0.0220337	0.0186501	0.0136376	0.00899605	0.0185543	0.0191529	0.007614	0.0102835	0.00835099	0.00409175	0.0113988	0.0103078	0.018508	0.0150422	0.0123673	0.0134446	0.0080117	0.0108372	0.0131068	0.0220487	0.0133382	0.0162308	0.0106885	0.0191666	0.0089939	0.00772202	0.00651724	0.00597286	0.00567	0.0106289	0.00720432	0.00567961	0.00717824	0.00730241	0.00725526	0.00396323
chasseur	0.0119648	0.0123287	0.0107536	0.00948125	0.010417	0.0101567	0.0108474	0.00690384	0.00584326	0.00730681	0.00604121	0.00653779	0.00510371	0.00718694	0.0116889	0.0130412	0.00981435	0.0462139	0.0792747	0.112849	0.091107	0.103922	0.0801427	0.0556027	0.031465	0.0260628	0.0259894	0.0176097	0.0180306	0.0170713	0.0149999	0.00934691	0.00468497	0.00539419	0.00673527	0.011349	0.00520358	0.00651291	0.00877419	0.00222778	0.00837269	0.00541674	0.00414602	0.00539976	0.00404383	0.00374365	0.00510793	0.00534147	0.00435771	0.00510645	0.00538084	0.00759602
plein	0.0195905	0.0145751	0.0116526	0.0136982	0.0155218	0.0174382	0.0182114	0.0239361	0.0185377	0.0254046	0.0252997	0.0251294	0.0312596	0.0274747	0.0300673	0.0298684	0.0297744	0.0475067	0.0278748	0.0368739	0.0232283	0.0313113	0.041417	0.0288039	0.0373393	0.0266623	0.0360247	0.024505	0.0177223	0.0188238	0.0165071	0.018829	0.00921043	0.0116778	0.0163742	0.0123258	0.00940538	0.00821388	0.00342292	0.00242125	0.0110727	0.0075838	0.00316352	0.00701389	0.00481899	0.00566725	0.00752806	0.00805764	0.0116022	0.0149012	0.0169735	0.0176966
de	0.0129149	0.0170386	0.0166621	0.0181587	0.0200722	0.0215293	0.019508	0.0245637	0.0201244	0.0276672	0.0364928	0.0402405	0.0335603	0.0314802	0.0398769	0.0375904	0.0283488	0.0275638	0.0226519	0.0459981	0.0229952	0.0359899	0.0441	0.0371096	0.0203169	0.0292991	0.0208791	0.0139674	0.0174883	0.00885292	0.0174974	0.00975994	0.0156764	0.0101232	0.013576	0.00937154	0.00665983	0.00530362	0.00354534	0.00240097	0.00506833	0.00736238	0.00426003	0.00561893	0.00412675	0.00551411	0.00500668	0.00533223	0.0110615	0.016448	0.0225793	0.0206663
dextérité	0.0276004	0.0240839	0.0225884	0.0225441	0.0229904	0.0233097	0.0249593	0.0257502	0.0267941	0.0232357	0.0197173	0.0191385	0.013039	0.0140227	0.0162816	0.0150671	0.0123608	0.0161346	0.0199503	0.0352978	0.0216611	0.0261224	0.0333238	0.028341	0.0313436	0.0406243	0.0457616	0.0292163	0.0392248	0.0220824	0.0289282	0.0112198	0.0137686	0.0153399	0.0195712	0.00874767	0.00750263	0.00715512	0.00584786	0.00409587	0.00695376	0.00876178	0.00404144	0.00481612	0.00403219	0.00469124	0.00481634	0.00548883	0.0108984	0.0160837	0.0233371	0.0413352
quand	0.00939654	0.00898058	0.0093986	0.00969862	0.0120009	0.0154387	0.0202495	0.0228894	0.0211134	0.0212728	0.0230911	0.0191137	0.0173454	0.0179045	0.0213752	0.0196801	0.0150525	0.0150349	0.0190978	0.0307484	0.0185181	0.0232638	0.0275991	0.0251265	0.0318382	0.0348323	0.0595427	0.0409564	0.0557058	0.0384876	0.0476101	0.034333	0.0184341	0.0324669	0.02543	0.0222508	0.017078	0.0112208	0.00711604	0.0028234	0.00414247	0.00500024	0.00170853	0.0019393	0.00141252	0.00338367	0.00217977	0.00206906	0.00688304	0.00758403	0.0119437	0.0282375
il	0.024071	0.0170266	0.0160615	0.0178612	0.0201985	0.0201334	0.018577	0.0154944	0.0172322	0.0111757	0.0112566	0.0102196	0.00886058	0.0112392	0.0109585	0.0140533	0.0121123	0.0143639	0.0099424	0.0155431	0.0116548	0.0236064	0.0335241	0.0363219	0.028807	0.0378633	0.0615279	0.0221398	0.027439	0.0269797	0.0292711	0.0353447	0.0180275	0.0335609	0.0213239	0.0172415	0.0132463	0.0127345	0.0138132	0.00432916	0.0150539	0.0173572	0.0076906	0.00960757	0.00538959	0.00964606	0.00705907	0.0107409	0.0238486	0.0258664	0.027863	0.0347397
ouvrait	0.0523157	0.0288397	0.0219373	0.0183849	0.015956	0.0133195	0.0130763	0.0105665	0.00965245	0.00811077	0.00705989	0.00676881	0.00595375	0.00619373	0.00833762	0.0111732	0.0117007	0.0166851	0.0152228	0.018669	0.0182946	0.0214292	0.0234708	0.0253636	0.0274069	0.0302322	0.0355109	0.0284624	0.0213429	0.0317357	0.0250397	0.0345948	0.0146954	0.0284056	0.0164553	0.0174293	0.0152624	0.0162926	0.0159268	0.00712939	0.0158079	0.0187796	0.00786719	0.00835091	0.00515606	0.0099267	0.00855031	0.011675	0.0292965	0.0352526	0.0416447	0.0532881
le	0.019421	0.0151355	0.0134402	0.0132126	0.0132875	0.0147671	0.0180017	0.0132724	0.0103035	0.00944531	0.00590432	0.00621689	0.00384096	0.00389824	0.00537739	0.00646556	0.00622617	0.00604861	0.0049107	0.00827294	0.00821495	0.0164549	0.0279469	0.0258133	0.0365139	0.0330931	0.0431081	0.0320228	0.0232899	0.0316178	0.0180193	0.0313891	0.0165257	0.0350645	0.0174318	0.0170259	0.0198087	0.0190162	0.022611	0.0174998	0.0208639	0.0212933	0.0187846	0.0216175	0.0168022	0.0165782	0.0172815	0.0216053	0.030357	0.0365556	0.0389868	0.0493579
feu	0.0146842	0.0130048	0.0121769	0.0107536	0.00915918	0.00695106	0.00530595	0.00374012	0.00348574	0.00281282	0.00251061	0.00245107	0.00233159	0.00260501	0.00566722	0.00701533	0.0053451	0.00920766	0.0129667	0.0250915	0.0206482	0.0307717	0.0253514	0.0326723	0.0282057	0.0339957	0.0247957	0.0244361	0.0262586	0.028596	0.0188415	0.022658	0.0112926	0.0302044	0.0167442	0.0095136	0.0079188	0.0116947	0.0173471	0.00729198	0.0209801	0.0269653	0.0302485	0.039545	0.0183393	0.0270222	0.0236747	0.0337495	0.0528745	0.0439729	0.0411397	0.0549841
sur	0.0235606	0.0174224	0.0121936	0.0163411	0.0176779	0.0165608	0.0166036	0.0168711	0.0159979	0.013867	0.0109644	0.0102378	0.0071112	0.0052853	0.00485178	0.003008	0.00235259	0.0026564	0.00525963	0.0124413	0.0132071	0.0195333	0.0211935	0.0217722	0.0265737	0.0279386	0.0429342	0.0261333	0.0356632	0.0290315	0.0177272	0.0289656	0.0247912	0.0345763	0.0168572	0.0283643	0.0331436	0.0231569	0.0250771	0.030898	0.0205874	0.0231581	0.0155774	0.0149115	0.0138667	0.0125266	0.015267	0.0180907	0.0204901	0.0236053	0.027029	0.036088
du	0.0293928	0.0224122	0.0213004	0.0338051	0.0351788	0.0371088	0.0320951	0.041764	0.0479772	0.0401138	0.0309061	0.0293956	0.0234587	0.018953	0.0168467	0.0155113	0.0141396	0.0105817	0.00716668	0.0087993	0.0082645	0.0107709	0.0089794	0.0117381	0.0103028	0.0151473	0.0108161	0.0102074	0.0125841	0.0102003	0.0130915	0.0141425	0.0180023	0.0203664	0.0148609	0.0140856	0.0165494	0.0124763	0.0103167	0.00852602	0.0164023	0.020759	0.0114494	0.0129033	0.0122119	0.0198036	0.0154193	0.0123389	0.0257789	0.0281052	0.024777	0.031716
