 	n	g	á	í	p	e	n	i	o	t	ω	m	b	í	l	i	m	í	d	z	w	a	l	á	m	b	o	n	d	z	i	</S>
j'	0.153849	0.318753	0.181683	0.0969236	0.0776583	0.0159795	0.00633117	0.00692818	0.00499532	0.0048036	0.00467938	0.00553056	0.00799928	0.00713626	0.00735745	0.00692398	0.00623357	0.0064248	0.00628492	0.006386	0.0059148	0.00683779	0.00536212	0.00599972	0.00498245	0.00549887	0.00498391	0.00525709	0.00501121	0.00619525	0.00541402	0.00568146
ai	0.156501	0.110689	0.171623	0.0730082	0.0186511	0.0325907	0.0466249	0.0396378	0.041881	0.0494634	0.0297203	0.0174825	0.0163778	0.0144851	0.0135782	0.0137517	0.0120334	0.00951324	0.0071187	0.0103708	0.0129951	0.0118233	0.0124228	0.0107485	0.00587682	0.00529373	0.00421757	0.00747562	0.00994424	0.00849062	0.00827322	0.0173361
manqué	0.0109738	0.0102435	0.00983237	0.0105137	0.0230025	0.0372369	0.0466519	0.0418992	0.0377812	0.0393181	0.0479275	0.0585182	0.0680215	0.0458075	0.0425764	0.033501	0.0351904	0.0237664	0.0181719	0.0166081	0.0419297	0.0344663	0.0165783	0.0423892	0.0258276	0.0319593	0.035686	0.0222307	0.0295121	0.0167639	0.0219387	0.0231763
de	0.015271	0.0196368	0.0137347	0.01261	0.0163926	0.0210973	0.0324122	0.022236	0.0349206	0.0408631	0.0297069	0.0376985	0.031556	0.0358127	0.048927	0.0483909	0.0343501	0.0411354	0.0273528	0.028195	0.03191	0.0262672	0.0287455	0.0345223	0.0357656	0.0291489	0.0393577	0.0383069	0.0311789	0.0339892	0.0357111	0.0427971
camion	0.00795336	0.00996222	0.00755692	0.00521448	0.00989816	0.0138915	0.0155152	0.0157441	0.0154732	0.0150665	0.016208	0.0305848	0.0300495	0.0297674	0.0406516	0.0340813	0.0500068	0.0561717	0.0521531	0.052906	0.0333288	0.0394868	0.035875	0.0373074	0.0350102	0.0474593	0.049133	0.0477236	0.0384499	0.0538414	0.0450439	0.0284847
pour	0.0156101	0.0139115	0.00948427	0.00525152	0.00548119	0.0155309	0.019951	0.0243094	0.027582	0.0237009	0.025328	0.0340513	0.025137	0.02606	0.029989	0.0273029	0.0592845	0.0566393	0.0456119	0.046154	0.0364263	0.0476581	0.0288342	0.0339485	0.0367809	0.0346683	0.0519832	0.0370101	0.0353702	0.040558	0.0378536	0.0425377
partir	0.0163141	0.0197895	0.00967889	0.00635275	0.0155665	0.0256615	0.0334377	0.0398657	0.03887	0.045575	0.0465693	0.0400702	0.0232875	0.0230907	0.0206563	0.0194238	0.0332127	0.0361883	0.0293095	0.0336506	0.033507	0.034127	0.0255119	0.0339359	0.0281597	0.0344039	0.0391024	0.0361182	0.038198	0.0421835	0.0401367	0.0580452
à	0.0192109	0.0267367	0.0154267	0.0102597	0.016622	0.0254282	0.0313717	0.0359208	0.0337005	0.0278921	0.0303669	0.0310544	0.0160586	0.0180396	0.0157637	0.0189543	0.0549865	0.0389704	0.0291732	0.0344535	0.0414136	0.0417405	0.0255778	0.0391077	0.0374301	0.0333667	0.0350243	0.0311748	0.040056	0.037424	0.036545	0.0707491
boundji	0.0240164	0.0154625	0.0130635	0.00976424	0.0140267	0.0158935	0.024016	0.0222568	0.0182021	0.0309829	0.0361574	0.0360835	0.0309371	0.0355188	0.0314881	0.0355954	0.0353461	0.0282425	0.0163418	0.0242414	0.0289913	0.0209595	0.0169957	0.0339289	0.0257165	0.0329194	0.0413387	0.0470621	0.0569905	0.0636721	0.0627707	0.0710179
</S>	0.026992	0.0135821	0.0116722	0.0096501	0.0124956	0.0123238	0.021749	0.0159327	0.0132474	0.0238898	0.0279102	0.0268113	0.0240982	0.0259224	0.0246818	0.0329878	0.025502	0.022397	0.016982	0.0203034	0.0216131	0.0191689	0.0165525	0.0354211	0.0243667	0.0338793	0.0433334	0.0490436	0.0795026	0.0795978	0.0910768	0.0973135
