 	o	p	ε	p	ε	m	ó	o	k	y	á	i	t	ω	ω	l	á	k	y	é	r	a	s	ó	d	i	b	h	a	</S>
le	0.0112216	0.0128704	0.0110766	0.0107231	0.0105961	0.0122623	0.0184778	0.0259118	0.0304851	0.035451	0.0435905	0.0523193	0.0863853	0.0997095	0.103359	0.0909225	0.0250803	0.0169164	0.0149844	0.013296	0.0143402	0.0144117	0.0170111	0.0277194	0.0338054	0.0411174	0.039747	0.0361247	0.0295694	0.0205146
vent	0.0273021	0.0805973	0.165564	0.176573	0.107853	0.125715	0.0612647	0.0343172	0.0223656	0.0329362	0.0204282	0.0106317	0.00382741	0.00222195	0.00643182	0.0113595	0.00967654	0.0105759	0.0102072	0.00842748	0.0130058	0.00400538	0.0077738	0.0158667	0.0130593	0.00684262	0.00408344	0.00495043	0.00105005	0.00108644
fait	0.0185814	0.0124997	0.0154373	0.0295897	0.0343067	0.051754	0.0406159	0.043752	0.0375031	0.0502351	0.0315454	0.0301827	0.0166892	0.0141936	0.014318	0.0274242	0.038396	0.0402634	0.0439855	0.0453342	0.0718981	0.0799634	0.0621009	0.0390431	0.0325578	0.0220308	0.0192274	0.0165164	0.0151542	0.0049008
les	0.0423865	0.065584	0.079044	0.075148	0.0672444	0.0616452	0.0448747	0.0395132	0.0216613	0.0179489	0.0303948	0.0298917	0.0314741	0.0292189	0.0218655	0.0242348	0.01929	0.0250212	0.0273811	0.0191757	0.0290412	0.0255803	0.0183847	0.0115118	0.00914367	0.0125516	0.0127339	0.0127106	0.0182304	0.0771137
ondulations	0.0253167	0.0204808	0.0209422	0.0238145	0.0256181	0.0367071	0.030736	0.0211194	0.0173656	0.0177472	0.0197173	0.0167551	0.0116448	0.0130512	0.0141516	0.0180654	0.0188017	0.024116	0.0346342	0.0406305	0.059647	0.0451247	0.0823487	0.0760808	0.0636881	0.0596039	0.0403936	0.0403392	0.0360786	0.0452801
sur	0.0590683	0.0668213	0.0745419	0.0632003	0.0579824	0.051684	0.0370829	0.0448995	0.0363892	0.0393456	0.0309002	0.0521962	0.045765	0.0339507	0.0224759	0.0255994	0.0228813	0.0218804	0.0142102	0.00775963	0.0102971	0.0100639	0.0113703	0.00688391	0.00606847	0.0114507	0.0131543	0.0145831	0.0255128	0.0819812
l'	0.0131289	0.0179267	0.0269945	0.0329108	0.0287844	0.0352626	0.0351726	0.0398035	0.0422444	0.04666	0.0455934	0.0534729	0.0319325	0.0337496	0.0354419	0.044263	0.0455504	0.0435636	0.0361383	0.0302724	0.0513225	0.0316286	0.0423782	0.0276495	0.0202794	0.0187786	0.0163681	0.0211186	0.0142999	0.0373102
eau	0.0465836	0.0412339	0.0339129	0.032682	0.0243838	0.0243175	0.0196643	0.0237026	0.0288272	0.0322719	0.0394355	0.042028	0.0387172	0.0393027	0.0391005	0.0338045	0.0271514	0.0342991	0.0285836	0.0119575	0.00626573	0.00569195	0.0186064	0.0266287	0.0350164	0.0304757	0.0289054	0.0306726	0.0625235	0.113254
du	0.0890691	0.0553374	0.0445609	0.0457661	0.0459185	0.045193	0.0439083	0.0446011	0.0390916	0.0324506	0.0330237	0.0260013	0.0324216	0.031762	0.0228063	0.0219864	0.0192682	0.0287033	0.0265585	0.0140606	0.0217501	0.0275024	0.0235087	0.0135999	0.0109797	0.0138342	0.0188195	0.0230861	0.0247841	0.0796469
lac	0.0530008	0.0428972	0.0362954	0.025841	0.019573	0.0109405	0.00957629	0.00959135	0.00792162	0.0105789	0.0141738	0.0155092	0.0256187	0.0312585	0.0351332	0.0317601	0.0248548	0.0297955	0.0375983	0.0436048	0.0370197	0.0333777	0.0423978	0.0314222	0.0472345	0.0240597	0.025883	0.02425	0.0554794	0.163353
</S>	0.0792524	0.0698658	0.0618499	0.0385201	0.0282048	0.0212826	0.0180443	0.0198933	0.016992	0.0179783	0.0212407	0.0293497	0.0204302	0.0212955	0.012295	0.0109612	0.00925168	0.0137924	0.0153384	0.0187618	0.0294208	0.0229881	0.0229445	0.0221611	0.0259469	0.0197098	0.0293086	0.0261967	0.0559857	0.200738
