 	e	k	í	n	d	í	s	í	l	í	y	é	é	k	í	n	d	í	s	í	b	á	a	o	k	y	ε	s	í	a	k	y	e	e	k	á	á	n	á	</S>
la	0.00848526	0.0132487	0.0158394	0.0104219	0.00734509	0.0091464	0.00695316	0.0101917	0.0345299	0.0402037	0.0504821	0.0748129	0.0746418	0.0379007	0.026265	0.0203648	0.0328753	0.0211788	0.0217909	0.0184478	0.0187708	0.0141556	0.00867884	0.0105235	0.0077102	0.00792799	0.0110203	0.01814	0.0197141	0.0202928	0.0237003	0.0226327	0.0215966	0.0326772	0.0412428	0.0445386	0.0382864	0.0354498	0.0427426	0.0250734
manière	0.00828458	0.00775279	0.0142117	0.0292343	0.0224445	0.0253176	0.0462057	0.0513528	0.0535663	0.0493165	0.0608187	0.0481979	0.0599517	0.041308	0.0279754	0.0345482	0.019927	0.0193341	0.0154923	0.0204877	0.0178012	0.0186184	0.0188713	0.0375697	0.00916199	0.0110559	0.00957639	0.0129143	0.0359298	0.0304132	0.0254935	0.0134985	0.017877	0.0154812	0.0420231	0.0133975	0.00677718	0.00377836	0.00216806	0.00186555
dont	0.0994363	0.0424194	0.0283837	0.0121143	0.00455756	0.00541179	0.00493213	0.00661335	0.00554891	0.00867374	0.0122081	0.00696487	0.0138385	0.0301812	0.0430764	0.0538004	0.0358065	0.041272	0.0588609	0.0390684	0.0603121	0.0848482	0.0427384	0.0371192	0.0274817	0.0191003	0.01684	0.0122982	0.0175509	0.0183284	0.0247558	0.0191735	0.0260682	0.00502984	0.00670104	0.00360796	0.00604307	0.00595227	0.00490217	0.00798018
ils	0.0295287	0.0407616	0.0350371	0.0259456	0.0153763	0.010709	0.0142969	0.0200388	0.0294552	0.0299718	0.0261589	0.0185371	0.021134	0.0331761	0.0325325	0.0366855	0.042	0.0393311	0.0425771	0.0460834	0.0420327	0.0604097	0.0242481	0.036948	0.0266831	0.021758	0.0201894	0.0327644	0.0150501	0.0145311	0.00401849	0.00322881	0.00512329	0.00756586	0.0157378	0.0121574	0.0104183	0.00890613	0.00877221	0.0401205
ont	0.0562625	0.0440306	0.0481846	0.0444245	0.0464135	0.054852	0.0298463	0.0284601	0.0167204	0.0182553	0.0231207	0.0311247	0.0415651	0.0206634	0.0212087	0.0153224	0.00812181	0.0131016	0.0205563	0.0125193	0.0381795	0.0404117	0.0288985	0.0400613	0.0339415	0.0324242	0.0313185	0.0241777	0.0224998	0.0181498	0.0112505	0.00925263	0.00920513	0.00508939	0.00696506	0.00432485	0.00575374	0.00603307	0.00726506	0.0300445
bouché	0.0314633	0.0279261	0.0357114	0.0403434	0.0605448	0.0678729	0.0491161	0.0466074	0.0315454	0.0214779	0.024323	0.0271329	0.0152541	0.00643313	0.00947799	0.00798203	0.00577855	0.0109609	0.0132262	0.0125231	0.0201654	0.0272456	0.0214237	0.0243833	0.0285838	0.0288154	0.0314665	0.0268252	0.0227189	0.0178465	0.0143273	0.0124933	0.0113767	0.012272	0.00922177	0.0094718	0.0108409	0.0147537	0.0199289	0.0901386
le	0.0100406	0.00593775	0.00561617	0.00444025	0.00482212	0.00590179	0.00527424	0.00644223	0.00805258	0.00726142	0.0114714	0.0186574	0.0184689	0.0152302	0.0267489	0.0360463	0.0206631	0.0414932	0.0521454	0.0402036	0.0473625	0.0647112	0.0594778	0.0639596	0.0698914	0.06207	0.0520063	0.0349932	0.0139063	0.0120421	0.00541382	0.00664376	0.00433051	0.00745975	0.00363022	0.00552832	0.00959709	0.0181431	0.0172801	0.0966355
ruisseau	0.0202645	0.0136037	0.0115969	0.00567957	0.00470548	0.00401707	0.00369624	0.00673908	0.0128245	0.00961216	0.0135105	0.0145796	0.0107617	0.00667279	0.0147251	0.0150983	0.0120101	0.0174696	0.0172664	0.0215334	0.0163564	0.0244507	0.0172529	0.0312116	0.0280031	0.0267186	0.0328067	0.0427908	0.0284061	0.0241642	0.0192364	0.0138513	0.0380657	0.0495268	0.0342829	0.0270724	0.0256668	0.0495572	0.0631033	0.171109
révèle	0.0202618	0.0235539	0.0391695	0.0328354	0.0229484	0.0164163	0.0148217	0.0154142	0.0135975	0.0112587	0.0105157	0.00912786	0.00577328	0.0067702	0.0112521	0.0107618	0.0110925	0.013177	0.0161688	0.0150149	0.0135312	0.016309	0.0164397	0.0239007	0.034546	0.0354642	0.0470606	0.0481557	0.0241395	0.0257437	0.0231812	0.0192529	0.0278692	0.0335998	0.0170937	0.0182352	0.0131861	0.0275202	0.0456352	0.169205
un	0.0813029	0.0673807	0.0475565	0.0438596	0.0290048	0.0181611	0.0164687	0.0151173	0.013428	0.0156465	0.0152583	0.0133073	0.00814223	0.00900619	0.0104713	0.0132219	0.0116735	0.0149056	0.0202775	0.0172499	0.0158159	0.0213445	0.0202966	0.0224082	0.0219061	0.0229365	0.0241265	0.0358078	0.0143486	0.0145833	0.0116506	0.00613464	0.0189152	0.0261474	0.0229699	0.0190296	0.0263904	0.0370624	0.0343735	0.102313
