 	m	v	á	a	b	í	n	í	a	k	a	á	b	o	á	d	i	í	k	a	á	</S>
chez	0.00797104	0.0133095	0.0130109	0.00660608	0.0119473	0.0102078	0.0145483	0.00957427	0.0119605	0.0231196	0.0489759	0.0640216	0.0916868	0.0890044	0.0525353	0.0641093	0.0536968	0.096907	0.116868	0.12687	0.0436958	0.0293739
vous	0.162297	0.084098	0.0960493	0.0861035	0.0662623	0.0428034	0.0253082	0.0212338	0.028601	0.0361538	0.0296321	0.0250676	0.0236741	0.0404375	0.0177642	0.0348852	0.025096	0.0189879	0.0233587	0.0213815	0.0296663	0.0611389
il	0.0489916	0.0533663	0.0588204	0.0501296	0.0390183	0.0850812	0.0356839	0.0316191	0.0531311	0.0366883	0.0487848	0.041791	0.0387508	0.039062	0.0434536	0.0363177	0.040776	0.0313566	0.0383621	0.0357457	0.0623464	0.0507236
n'	0.130227	0.156507	0.0700104	0.056014	0.019999	0.0440878	0.0257074	0.0258116	0.0293731	0.0382589	0.053233	0.0536639	0.0340209	0.0265122	0.0226742	0.0383578	0.0343154	0.0235407	0.0147916	0.0202912	0.0173825	0.0652207
y	0.0890316	0.0877158	0.0350373	0.0443274	0.0248852	0.0393129	0.0255713	0.0258961	0.0278404	0.0346274	0.0597366	0.0700702	0.0555976	0.0491306	0.0559856	0.04878	0.0577823	0.0455588	0.0214781	0.0245381	0.0351715	0.041925
a	0.166049	0.171846	0.0911542	0.0550164	0.0254275	0.0214878	0.0226736	0.0246894	0.0292315	0.0303754	0.0298411	0.0258028	0.0221952	0.0242079	0.0213989	0.0182206	0.0149593	0.0181983	0.0217729	0.0339464	0.0510042	0.0805018
jamais	0.27457	0.1928	0.0613556	0.0489754	0.0188079	0.0145898	0.014085	0.0165511	0.0192335	0.0279243	0.0291581	0.0240978	0.0153083	0.0137984	0.0102176	0.0112641	0.0126117	0.0194126	0.0281273	0.0421357	0.0344064	0.0705695
du	0.170013	0.0885548	0.0592828	0.0744565	0.0398322	0.0388917	0.0328492	0.0380634	0.0401351	0.0302373	0.0200671	0.013521	0.0174719	0.0179939	0.0226723	0.0223964	0.027866	0.0589384	0.039825	0.0382742	0.0339687	0.0746891
poisson	0.107914	0.132969	0.0539126	0.041064	0.0258346	0.0192054	0.0182627	0.0197453	0.02189	0.0303849	0.0412402	0.0463886	0.0157239	0.0418133	0.0179398	0.0524275	0.0379579	0.0606358	0.0391062	0.0376378	0.0197113	0.118236
salé	0.179912	0.0997824	0.0305508	0.0282216	0.0189835	0.0175758	0.0121687	0.0128111	0.01436	0.016908	0.0247601	0.0281285	0.0211995	0.0409155	0.0358686	0.0449816	0.0501637	0.0710402	0.0550042	0.0669422	0.0407606	0.088961
</S>	0.0972541	0.0952327	0.073243	0.0407279	0.0206366	0.00961226	0.0117749	0.0145558	0.0159802	0.0198653	0.0169793	0.0182088	0.00529087	0.0183234	0.00864669	0.0260054	0.0335349	0.0769573	0.0721239	0.0953111	0.0637854	0.16595
