 	n	g	á	í	b	h	e	r	i	s	i	w	á	i	k	y	έ	m	b	ε	l	a	á	i	t	á	n	g	a	m	é	m	b	ω	s	í	</S>
je	0.140926	0.328688	0.172408	0.165282	0.0605784	0.0265869	0.00203633	0.00108627	0.00145142	0.0011375	0.00192801	0.00285533	0.00131337	0.003458	0.00404509	0.00502216	0.00335338	0.00337995	0.00463012	0.0021082	0.00415626	0.00282762	0.00446703	0.00425134	0.00465278	0.00331106	0.00354377	0.00387216	0.00355252	0.00398422	0.00432057	0.00387762	0.00416197	0.00384467	0.00427472	0.00430746	0.00432059
lui	0.0190552	0.00547529	0.0110012	0.0193007	0.027541	0.0255353	0.0247416	0.0514053	0.0390791	0.0699273	0.0922715	0.0649564	0.12189	0.0913854	0.0440524	0.0457188	0.0326159	0.0216122	0.0208265	0.0162128	0.0250616	0.0170001	0.01766	0.0122514	0.0122755	0.0114194	0.00496252	0.0068078	0.0041995	0.00687209	0.00607557	0.00488208	0.00494366	0.00277615	0.0046311	0.0058518	0.00772637
ai	0.043253	0.0289611	0.0223568	0.0245689	0.0185934	0.0162573	0.0229046	0.0278506	0.025313	0.0339622	0.0263217	0.0164683	0.0222935	0.0373352	0.103082	0.0414288	0.0607824	0.0803703	0.0435128	0.0140623	0.0192393	0.0158009	0.0232413	0.0257534	0.0211625	0.0222028	0.0220557	0.0201724	0.0190993	0.00931828	0.0100445	0.00938214	0.0103657	0.0156274	0.0155129	0.0178148	0.0135283
appris	0.0621005	0.0351706	0.0295481	0.026274	0.0550026	0.0273779	0.0415342	0.0351842	0.0334907	0.0331106	0.0179063	0.0146568	0.0166414	0.0218742	0.0419058	0.0336118	0.0328387	0.0325572	0.0263395	0.0222454	0.0307609	0.0314863	0.0269528	0.0397725	0.0144835	0.0193245	0.017758	0.016495	0.0174083	0.0129584	0.0161004	0.0134738	0.0126811	0.0204534	0.0197437	0.0232008	0.0275758
à	0.0089479	0.00615795	0.00585633	0.00432765	0.0177454	0.0172171	0.0310202	0.0281174	0.0336525	0.0506019	0.0366486	0.0138905	0.0303158	0.0353871	0.0519261	0.0411478	0.0342935	0.0272859	0.0356232	0.0269552	0.0247015	0.0444526	0.0223762	0.0424253	0.0260291	0.0299209	0.0278333	0.017526	0.0291936	0.0132034	0.0177104	0.0195917	0.0240951	0.0275465	0.0264714	0.0358409	0.033964
lire	0.0124999	0.0105334	0.0132163	0.00980239	0.00748365	0.020869	0.0254321	0.0317959	0.0395795	0.0508021	0.0321062	0.0284639	0.0144811	0.0143525	0.0209798	0.0145212	0.0234765	0.0176306	0.026694	0.0222918	0.0212609	0.0256572	0.0178578	0.0275657	0.0198722	0.0304261	0.030349	0.0249909	0.0295421	0.0310709	0.0239678	0.0414445	0.0347697	0.0521161	0.0478304	0.037184	0.0670827
et	0.01117	0.00943473	0.0120095	0.00783543	0.00804836	0.018631	0.0202699	0.0301816	0.0389644	0.0417844	0.0229918	0.0293759	0.0189466	0.0149149	0.0162611	0.0118169	0.0143821	0.0148191	0.019984	0.0157105	0.0160311	0.017408	0.0149039	0.0245184	0.017755	0.0180258	0.028176	0.0294879	0.0370125	0.0440758	0.0468196	0.0541487	0.0355145	0.0506948	0.0461093	0.0391744	0.102612
à	0.0128119	0.0143138	0.0192223	0.0139545	0.0123217	0.0160843	0.0165765	0.0149491	0.0181619	0.0170295	0.0140011	0.00965421	0.00733514	0.00793984	0.0125396	0.00886852	0.0120021	0.0125226	0.0199433	0.0202496	0.0214908	0.0279865	0.025352	0.0384289	0.0357257	0.0373668	0.0389286	0.0328143	0.0401225	0.0430097	0.0364209	0.0478565	0.0474314	0.0611103	0.064874	0.0507719	0.0698277
écrire	0.0173404	0.0145974	0.0142463	0.0143117	0.0144756	0.0162351	0.0138842	0.0104172	0.00917623	0.00956741	0.00873172	0.00735323	0.00677029	0.00820967	0.0133558	0.00972585	0.0129769	0.0153122	0.0183965	0.0231143	0.0258751	0.0262023	0.0268715	0.0356961	0.0369468	0.032574	0.0410218	0.0440422	0.0493173	0.066347	0.0586893	0.0486253	0.0430278	0.0492417	0.0508587	0.0522599	0.0542052
en	0.0158727	0.0160413	0.0188244	0.0161917	0.00865555	0.00738705	0.00713177	0.0127598	0.0123297	0.011676	0.0102939	0.0110324	0.0142295	0.0164169	0.0183874	0.0176853	0.0190076	0.0245466	0.02222	0.0239605	0.0247868	0.0256769	0.0269208	0.0329939	0.0293004	0.0236929	0.0277985	0.0311376	0.0331533	0.042707	0.0603294	0.0370774	0.0440142	0.0558824	0.0553783	0.0660931	0.0784073
mbochi	0.0120997	0.0126943	0.0172244	0.023022	0.0110004	0.012936	0.00898797	0.0110245	0.00940741	0.0101508	0.00815109	0.00979338	0.0118309	0.0172815	0.0175257	0.0178408	0.0159395	0.0312095	0.0214617	0.0334072	0.0370211	0.0400673	0.0401221	0.0518963	0.0389613	0.027865	0.0325321	0.036415	0.0460701	0.0392054	0.0471596	0.0338798	0.0299694	0.0420707	0.038494	0.0481834	0.0570982
</S>	0.0477425	0.0114549	0.00554952	0.00877367	0.00944746	0.00593996	0.00986935	0.0150014	0.0188406	0.0202711	0.0131548	0.0155504	0.0113842	0.0151339	0.0283191	0.0410422	0.0563063	0.0441576	0.0437371	0.0428269	0.0434042	0.0358159	0.0408938	0.048784	0.0402947	0.0363012	0.0228479	0.0151184	0.0210293	0.0112948	0.0102047	0.0136064	0.0177858	0.0241276	0.0358433	0.0404362	0.0777086
