 	i	b	a	a	d	í	á	b	ω	ω	b	v	ú	s	á	b	á	á	p	i	á	b	á	a	d	í	a	m	ó	b	ω	s	i	</S>
cet	0.00740695	0.00917797	0.00646487	0.00915269	0.00717208	0.013046	0.0130396	0.0266954	0.0259846	0.0324534	0.0295026	0.0307047	0.0412571	0.0306941	0.0389814	0.0353629	0.0255456	0.0203272	0.0170474	0.0317337	0.0297719	0.0440419	0.0438326	0.0530068	0.0481299	0.059846	0.0459757	0.0455229	0.0485464	0.0363003	0.0299277	0.0215943	0.0249641	0.0167892
homme	0.134223	0.206878	0.147262	0.191413	0.0640448	0.0107014	0.0118271	0.00709586	0.00873013	0.00596062	0.00230849	0.000817055	0.00104147	0.0026084	0.00272312	0.00569068	0.0166498	0.0117351	0.01192	0.016743	0.0203558	0.0163901	0.0192708	0.0130792	0.0131217	0.0105	0.00722564	0.00846356	0.00701682	0.00654882	0.00825842	0.00541584	0.00178329	0.0021963
avait	0.0432792	0.0313526	0.0220295	0.0172807	0.0147325	0.0239071	0.0226092	0.0295168	0.0612696	0.0138631	0.028856	0.0335296	0.0301943	0.0570498	0.0657593	0.0584199	0.0427459	0.0253161	0.0166734	0.0187285	0.0141707	0.0252349	0.0288856	0.0362656	0.0397432	0.0428861	0.0372517	0.0317609	0.0297577	0.0261196	0.0109636	0.00824181	0.0074191	0.00418618
éprouvé	0.0256506	0.0502168	0.0366294	0.0298913	0.0311044	0.0115531	0.0125125	0.00754305	0.0118788	0.011195	0.00968765	0.0146492	0.01862	0.0201877	0.0267504	0.0706982	0.0581017	0.0487584	0.0489101	0.0425237	0.0411934	0.0177901	0.0194915	0.0559413	0.0423763	0.0172215	0.0236258	0.0344329	0.0318064	0.0246221	0.0248519	0.0234192	0.024873	0.0312925
une	0.0280076	0.0278114	0.0316173	0.0307226	0.027474	0.0269753	0.0314227	0.0311432	0.0305556	0.0272221	0.0363968	0.0333752	0.0445656	0.0334025	0.0362553	0.029156	0.0298537	0.0547856	0.0556744	0.0427165	0.0359179	0.0221121	0.0217797	0.0172131	0.0186683	0.0102168	0.0135764	0.0159502	0.0147711	0.0154252	0.0204243	0.0211059	0.0234188	0.0602866
grande	0.0398749	0.0277153	0.0275765	0.0240337	0.0274422	0.0289616	0.0199553	0.0316335	0.0134837	0.0189819	0.0254727	0.0244049	0.0285986	0.0304909	0.0268531	0.0247295	0.00995597	0.0276996	0.0345978	0.0316156	0.0319262	0.0255803	0.0354721	0.0284154	0.0299663	0.0206702	0.0307726	0.0285702	0.0286853	0.0243981	0.0360447	0.0367333	0.0358378	0.0828501
honte	0.0845361	0.0390395	0.0439733	0.0362269	0.042389	0.053782	0.0249904	0.0492871	0.0257044	0.0469218	0.0449522	0.050565	0.0351307	0.0358954	0.0147781	0.0135769	0.00626842	0.0127105	0.0161034	0.0134075	0.0136055	0.0129047	0.0152084	0.0148086	0.0158788	0.0133171	0.0246611	0.026725	0.0138322	0.00949083	0.0292237	0.0199776	0.0345195	0.0656085
le	0.0832544	0.0444337	0.0436971	0.0329507	0.0292781	0.0636451	0.0308433	0.0458564	0.0143845	0.019282	0.0291765	0.0258708	0.0537672	0.0360067	0.0264481	0.0382698	0.0179469	0.0226906	0.027662	0.013499	0.0135692	0.00953335	0.0107444	0.0148328	0.0181074	0.0159992	0.0191706	0.0177792	0.0137481	0.0164076	0.0213444	0.0205944	0.0202939	0.0889126
jour	0.191094	0.0598591	0.0433728	0.0237606	0.0255998	0.0295197	0.0144786	0.0184676	0.0145704	0.0231404	0.0246611	0.0430843	0.0324848	0.0442358	0.0179322	0.0213115	0.0149486	0.0211583	0.0190783	0.0109889	0.0103519	0.0066533	0.00715628	0.0109845	0.00749045	0.00404325	0.0101185	0.0157481	0.00723744	0.00674674	0.0333383	0.0273548	0.0281309	0.130899
où	0.0864064	0.0579801	0.0505818	0.0265982	0.0131498	0.0109665	0.00726006	0.00639897	0.00495189	0.00678333	0.00965148	0.0144428	0.0285089	0.0180055	0.0208922	0.0252308	0.0157453	0.0331022	0.0389015	0.0180311	0.0132082	0.0106498	0.00831413	0.00747432	0.00800709	0.00818437	0.0163825	0.0186647	0.0231275	0.0317532	0.0377031	0.0610706	0.0528372	0.209034
