 	o	y	ú	r	u	y	o	k	w	é	l	é	a	d	í	i	b	o	o	f	u	ú	u	m	b	é	á	l	a	n	y	i	n	g	a	</S>
une	0.0146007	0.00797706	0.00920511	0.00921121	0.0089936	0.00800721	0.00792572	0.00922767	0.0199893	0.0157675	0.0159344	0.033466	0.0229454	0.0118846	0.0166189	0.0221346	0.0268997	0.0263972	0.0174269	0.0133246	0.0307462	0.020946	0.0292395	0.0206102	0.0252089	0.0345204	0.0431396	0.0517153	0.0451062	0.0505821	0.0509399	0.0568553	0.0588283	0.0501661	0.0478989	0.0655595
veuve	0.0118892	0.23375	0.140851	0.184695	0.104903	0.0262392	0.0236862	0.0421153	0.0418134	0.0729354	0.0549043	0.0223754	0.0139933	0.00386104	0.00327715	0.00144996	0.00121137	0.00185021	0.000366989	0.000449348	0.000572964	0.000626116	0.000722496	0.000984276	0.000552961	0.000663271	0.00102739	0.000931207	0.00130608	0.00130134	0.00157545	0.00112315	0.00140948	0.00025911	0.000182709	0.000144597
a	0.0530344	0.0617843	0.0769893	0.0840546	0.0857088	0.055675	0.0436733	0.027348	0.0274286	0.0334681	0.0598831	0.0370623	0.0258874	0.0156204	0.00813221	0.00789351	0.00743388	0.0124228	0.00756184	0.0103137	0.0213702	0.0181539	0.0141097	0.0158682	0.0137828	0.0216339	0.0186387	0.0184055	0.0170347	0.0179677	0.0142464	0.01458	0.0177853	0.00919633	0.0105173	0.0153337
des	0.0524251	0.0796419	0.0787851	0.0681945	0.05367	0.0601229	0.0388605	0.028814	0.0232872	0.0228659	0.0373689	0.0341948	0.0231108	0.0113999	0.0150198	0.0202129	0.0255386	0.0230127	0.0205709	0.0338568	0.0313753	0.0266195	0.0163936	0.0188548	0.0192332	0.0188618	0.0206461	0.013327	0.0106185	0.010258	0.00450587	0.00707153	0.00609465	0.00747592	0.00901816	0.0286926
cheveux	0.0382641	0.0375351	0.0431781	0.0404188	0.0298795	0.0212943	0.0141222	0.0228336	0.0115116	0.01789	0.0120059	0.0216083	0.0165776	0.012794	0.00848556	0.0115655	0.0226487	0.0338754	0.0446957	0.0193733	0.0438368	0.0517195	0.0272964	0.0339552	0.0171765	0.0313639	0.0234443	0.0294382	0.0235504	0.0269988	0.0325007	0.0309785	0.0424779	0.0331333	0.0321658	0.0394066
touffus	0.0151612	0.0172967	0.0195392	0.0180483	0.0183983	0.0206245	0.0157247	0.0180334	0.0153368	0.0244562	0.0185307	0.0229337	0.0294109	0.0191125	0.0139548	0.0131586	0.0139368	0.0165111	0.0253923	0.0138247	0.0241214	0.0302894	0.0384974	0.0432515	0.0518805	0.043722	0.043265	0.0469059	0.0472621	0.0395808	0.0447785	0.0386626	0.0319274	0.0272804	0.0323432	0.0468468
à	0.0336656	0.0170936	0.0237233	0.0229021	0.0157954	0.0156005	0.0166455	0.0173717	0.0112149	0.0187321	0.0190876	0.0124262	0.0194397	0.019378	0.0146748	0.00882805	0.0115998	0.0109687	0.0219969	0.01673	0.0256145	0.0415715	0.0570376	0.0463342	0.0513182	0.0306385	0.0482787	0.0455904	0.0443083	0.0394898	0.036462	0.0325982	0.0297676	0.0278485	0.0403081	0.0549594
cause	0.041053	0.030788	0.0256862	0.0172531	0.0143019	0.012246	0.0154664	0.0171843	0.00850727	0.0138615	0.0142541	0.0169497	0.0239193	0.0349538	0.0375755	0.0389642	0.0425948	0.0258327	0.0294437	0.0196436	0.0212288	0.0189367	0.0192774	0.0180789	0.0228566	0.0223719	0.0377515	0.0552863	0.0427716	0.0415079	0.0290891	0.0182164	0.0269747	0.0258124	0.0456231	0.0737372
de	0.0912071	0.039732	0.0425628	0.0280187	0.0158125	0.0187398	0.0139871	0.0101504	0.0053283	0.010978	0.0118473	0.00943101	0.0144732	0.0188084	0.0120658	0.0124829	0.0147597	0.018642	0.0313378	0.0319564	0.0329773	0.0358609	0.0498608	0.0401022	0.0471694	0.0481924	0.0262622	0.0364869	0.0211816	0.0295688	0.0174047	0.0112648	0.0130272	0.0200782	0.0268217	0.0914195
sa	0.138006	0.0787608	0.0490463	0.0219227	0.0132299	0.0117448	0.0112259	0.0116001	0.00626768	0.0110748	0.00711588	0.00698681	0.00605123	0.00567136	0.00848541	0.0158147	0.0240104	0.021954	0.03911	0.0325396	0.0316301	0.0365269	0.027169	0.0251328	0.0237732	0.0225875	0.0153256	0.0296905	0.0166074	0.0272989	0.0156812	0.0142776	0.0191615	0.0255931	0.0362991	0.112627
tristesse	0.0407622	0.0361466	0.0284967	0.020695	0.0125723	0.00826972	0.00900868	0.0110356	0.00817371	0.00829514	0.00603451	0.00665023	0.00686231	0.0110626	0.016672	0.0350168	0.0570092	0.0371544	0.0674187	0.0347187	0.0432412	0.0574228	0.0334339	0.030285	0.0214198	0.0228436	0.016329	0.0230739	0.0144915	0.025485	0.0132323	0.0123514	0.0244448	0.0296705	0.0586643	0.111556
</S>	0.109056	0.0864922	0.0504221	0.0279313	0.0206006	0.0170308	0.0188857	0.0211353	0.0117037	0.014075	0.00657678	0.00308082	0.00469274	0.00761392	0.00770257	0.00831801	0.0163955	0.0106842	0.0177876	0.0153726	0.0173629	0.0266492	0.0216133	0.0184701	0.0170089	0.0152988	0.015518	0.0293412	0.0240704	0.0362458	0.0154887	0.00962456	0.0169746	0.0218771	0.0635322	0.175367
