 	i	b	e	s	í	l	í	i	y	á	m	á	m	á	m	w	é	s	é	</S>
la	0.0721904	0.0496953	0.0231078	0.0194944	0.0183778	0.0318536	0.0514918	0.0707194	0.0566143	0.109844	0.0643163	0.0528268	0.0366784	0.0312566	0.0377712	0.0518409	0.0468229	0.0575961	0.0730737	0.0444278
cola	0.0693932	0.0609629	0.289202	0.148423	0.0633199	0.0628	0.0421121	0.131548	0.0354559	0.0247267	0.0158446	0.0219833	0.0086265	0.00363499	0.00492348	0.00290379	0.0031768	0.00352146	0.00328986	0.00415192
se	0.065628	0.036352	0.0241022	0.0127327	0.00558681	0.00452878	0.0055213	0.0194413	0.0652017	0.138258	0.174001	0.204273	0.0949113	0.0311052	0.0273616	0.0224213	0.0152841	0.0148323	0.0205006	0.0179562
fend	0.147497	0.0838629	0.0890955	0.0612097	0.0497787	0.0704005	0.0612084	0.0592536	0.0462151	0.0306055	0.0229816	0.0558023	0.0703417	0.0373748	0.0269069	0.0136043	0.0136112	0.0142333	0.0215802	0.0244366
sous	0.116555	0.0637483	0.0573279	0.0540182	0.0718837	0.0829206	0.0752637	0.0382554	0.0187627	0.0163448	0.0154744	0.0174415	0.0188391	0.0373487	0.037806	0.0753831	0.0529311	0.0417307	0.0361243	0.0718406
l'	0.0596391	0.0508514	0.0576856	0.0532712	0.0483755	0.0469333	0.0411667	0.0461724	0.0490422	0.0425863	0.0374475	0.0471528	0.0391687	0.0334326	0.0355887	0.0260497	0.0389631	0.05088	0.0780209	0.117572
effet	0.0646245	0.0406638	0.0328288	0.0421738	0.0559016	0.0562806	0.0476186	0.0327102	0.0260131	0.0253151	0.0283357	0.0363941	0.0575814	0.0581398	0.0649467	0.0371976	0.0366058	0.0644647	0.0762769	0.115927
du	0.0320623	0.0298223	0.0324533	0.0477578	0.0651114	0.059606	0.067449	0.0479075	0.0367584	0.0256557	0.0178638	0.0210944	0.0244309	0.0305107	0.0370257	0.0504604	0.0719541	0.0884272	0.0855689	0.12808
soleil	0.0839339	0.0624491	0.0497394	0.0514327	0.0336535	0.017368	0.0075345	0.0040254	0.00380124	0.00350531	0.00376708	0.0104417	0.0260693	0.0348032	0.0799403	0.0382773	0.0319598	0.134934	0.143306	0.179059
</S>	0.069983	0.0438389	0.0454614	0.0365203	0.023668	0.0130621	0.00403071	0.00267689	0.00294699	0.00275368	0.00243957	0.0055783	0.0183909	0.039004	0.0767475	0.0959406	0.100705	0.114791	0.147394	0.154067
