 	w	a	á	p	ώ	r	i	i	t	s	u	ω	s	á	b	i	r	á	</S>
il	0.20305	0.295559	0.206006	0.173076	0.0603135	0.00529536	0.00449074	0.00241194	0.00210648	0.00407214	0.00485176	0.00367468	0.00393996	0.00437627	0.00539347	0.0047544	0.00492261	0.00637664	0.00532819
a	0.0169048	0.0105574	0.00736765	0.0174321	0.0892602	0.125341	0.140774	0.132802	0.142716	0.113721	0.0546565	0.0226026	0.052314	0.0266963	0.0125673	0.00872831	0.00516991	0.00695303	0.0134357
été	0.0122823	0.022011	0.011526	0.0133939	0.0273102	0.0274562	0.038142	0.0655624	0.0601795	0.0425242	0.0302562	0.0521277	0.0853988	0.0879469	0.0854349	0.0992651	0.0872467	0.0886935	0.0632422
touché	0.0110729	0.0109567	0.0100329	0.016004	0.0114238	0.019792	0.0178968	0.0185109	0.0530146	0.0723378	0.16439	0.117331	0.0793262	0.0640083	0.0653246	0.0575492	0.0801544	0.0686645	0.0622088
par	0.0368949	0.027203	0.0310166	0.0182853	0.0276418	0.0169693	0.0428713	0.0430898	0.0379837	0.0346437	0.0432796	0.0496747	0.0583839	0.0570266	0.0881857	0.0603537	0.0916434	0.106055	0.128798
balle	0.0650702	0.0330233	0.0598174	0.024461	0.0284445	0.0245009	0.0255401	0.025745	0.0273841	0.0351372	0.0660758	0.0589709	0.0641396	0.0467355	0.0612302	0.0808085	0.0842047	0.0832686	0.105442
lors	0.0402147	0.033932	0.0386611	0.0340865	0.0381279	0.034759	0.0345708	0.0341305	0.0343213	0.0330295	0.0409913	0.0282253	0.0502901	0.0497851	0.0653674	0.0808858	0.0928316	0.0986637	0.137126
du	0.0832167	0.0471253	0.0849828	0.0462698	0.0545878	0.0424135	0.0409466	0.03967	0.0396851	0.0396483	0.0421934	0.039921	0.0431768	0.043731	0.0489057	0.0543816	0.0454008	0.0528669	0.110877
combat	0.015078	0.0177726	0.023663	0.0311206	0.0422299	0.0308972	0.029961	0.0285277	0.0291535	0.03185	0.054716	0.0497547	0.0628981	0.066345	0.0797598	0.093344	0.0902862	0.0991713	0.123472
</S>	0.0184953	0.0208513	0.0207055	0.0343176	0.0740427	0.0596759	0.0616346	0.0601202	0.0552787	0.0614506	0.074938	0.0608055	0.0504797	0.0526601	0.0490262	0.0510855	0.0433461	0.0544049	0.0966816
