 	o	k	y	έ	r	í	l	á	a	y	é	b	h	á	o	k	a	n	á	á	n	d	é	e	</S>
okyeri	0.0103001	0.0115856	0.00948483	0.00941956	0.0197848	0.0435055	0.0718307	0.0651	0.0472696	0.0271182	0.0329907	0.0250293	0.0858751	0.0579479	0.0771382	0.0743439	0.0599646	0.0344937	0.0341858	0.0251961	0.0178204	0.0232657	0.037549	0.0424721	0.0563287
sait	0.0733847	0.0977852	0.0628468	0.0416078	0.0553705	0.0452165	0.0777891	0.128356	0.150348	0.0686161	0.0566714	0.030939	0.010964	0.00925412	0.00930018	0.00977396	0.00794613	0.00621465	0.0144927	0.00830629	0.00955065	0.00819141	0.00858098	0.00596173	0.00253192
bien	0.081076	0.063642	0.0459512	0.0588246	0.0791703	0.140169	0.11916	0.0838827	0.0526236	0.0262139	0.0235496	0.0169035	0.0138373	0.017046	0.0224376	0.0382228	0.0237357	0.0228193	0.0119483	0.0127488	0.00769969	0.00732897	0.00965544	0.0103484	0.011005
ériger	0.0214373	0.0207848	0.0239669	0.0245591	0.0233413	0.037309	0.0332488	0.0312363	0.0299536	0.0260153	0.0277326	0.0195043	0.0347033	0.0470571	0.0481573	0.0800824	0.0804181	0.0602902	0.0295449	0.0369353	0.0545171	0.0496385	0.0500559	0.0549528	0.054558
les	0.038507	0.0345963	0.0348098	0.0414737	0.0462772	0.0358425	0.0263762	0.0164428	0.0157892	0.0168487	0.0158883	0.0251451	0.0170194	0.0142372	0.011784	0.0118596	0.0135311	0.0185691	0.0256221	0.0442683	0.0433938	0.0640767	0.0987429	0.0966869	0.192212
murs	0.0447123	0.0300707	0.0298845	0.0311573	0.0449542	0.0661336	0.0663187	0.0471455	0.044516	0.0288937	0.0274175	0.034817	0.0243047	0.0284775	0.0340784	0.049355	0.0272064	0.0224708	0.0242617	0.0351425	0.0311072	0.0361903	0.0515907	0.0410087	0.0987852
d'	0.0445841	0.0493661	0.0406396	0.0356961	0.0317579	0.0235852	0.0316955	0.0304787	0.0328945	0.0493876	0.0400534	0.0293378	0.0127463	0.0157319	0.0139524	0.0185914	0.0184944	0.0263278	0.0340434	0.0536345	0.044517	0.0318619	0.0763047	0.0689953	0.145322
une	0.140666	0.0768839	0.0538721	0.0391279	0.0297263	0.0126332	0.0109274	0.00800492	0.00729679	0.00357445	0.00348914	0.00266384	0.00290836	0.00430057	0.0124937	0.030785	0.047187	0.0468087	0.0501468	0.0726425	0.0641471	0.0430988	0.0744104	0.0646956	0.0975092
maison	0.204564	0.058993	0.0267952	0.0167641	0.016045	0.0125589	0.0122704	0.00897673	0.00633462	0.00278418	0.00184122	0.00199059	0.00238643	0.00267559	0.00515391	0.00660292	0.0174409	0.0159865	0.0348004	0.0324733	0.0731409	0.0276956	0.12229	0.107626	0.18181
en	0.120802	0.0710248	0.0379506	0.025093	0.01074	0.00424233	0.00393314	0.00341886	0.00240219	0.00139148	0.00130495	0.000647674	0.000714086	0.000926133	0.00295849	0.00926154	0.0301155	0.0339457	0.0794615	0.115816	0.102297	0.0394877	0.11184	0.0632983	0.126927
terre	0.0759432	0.0256223	0.0211285	0.0200546	0.0122739	0.00783673	0.00598269	0.00441137	0.00410834	0.00332232	0.00272847	0.00288446	0.00376542	0.00407586	0.0131349	0.0174723	0.0338813	0.0401741	0.102292	0.0892593	0.0979671	0.0822784	0.101336	0.10934	0.118726
battue	0.0927724	0.0797969	0.0619359	0.0510898	0.0248126	0.00810748	0.00657414	0.00461311	0.00314067	0.0021474	0.00157434	0.000848167	0.00105258	0.00122497	0.00370124	0.0106956	0.0209552	0.031245	0.0691755	0.0867329	0.0863331	0.0593401	0.0985139	0.0683629	0.125254
</S>	0.0720375	0.0424148	0.0217282	0.0211867	0.018068	0.00948573	0.0071237	0.00408234	0.00256295	0.00187348	0.00184922	0.00183939	0.00281661	0.00363463	0.00866646	0.0208413	0.0378871	0.0367156	0.0449042	0.0852408	0.0852674	0.0665258	0.116908	0.102875	0.183465
