 	k	ώ	n	d	ώ	l	á	a	t	ó	n	g	á	d	z	ú	m	b	u	m	ó	n	d	i	e	m	é	b	h	ó	y	á	</S>
le	0.0201213	0.0342619	0.0347435	0.0213081	0.0213217	0.0205304	0.0367346	0.0513452	0.0367202	0.0296564	0.0322177	0.0370866	0.0550459	0.0613784	0.0779838	0.0789851	0.05904	0.0416845	0.0356626	0.0240744	0.0164609	0.018718	0.0176721	0.0127723	0.0108074	0.0107932	0.0122706	0.0135482	0.0190911	0.0137598	0.0119806	0.0200611	0.0121623
tisserin	0.0303306	0.0345196	0.0533539	0.127551	0.0679449	0.0579094	0.0204865	0.0221585	0.0227387	0.00763493	0.01191	0.042985	0.039891	0.0778194	0.0653958	0.100024	0.0453764	0.0335485	0.0136089	0.0103485	0.0152925	0.00742728	0.0114398	0.0131767	0.0097379	0.0143284	0.0111906	0.0112507	0.0105161	0.00541118	0.00263937	0.00094381	0.00110962
construit	0.0215511	0.0174203	0.0208729	0.0277324	0.0245097	0.0407377	0.0437631	0.0520687	0.0525813	0.0512212	0.0435361	0.0212825	0.0204891	0.0439373	0.0220192	0.0326368	0.0254572	0.0252851	0.0215099	0.0321504	0.0414909	0.0473356	0.0603356	0.0628764	0.0199993	0.0223227	0.0254051	0.0268009	0.0201214	0.0190315	0.0063685	0.00357686	0.0035732
son	0.0298892	0.0171157	0.0178649	0.0360476	0.0216904	0.0202119	0.0323736	0.0353348	0.0556656	0.0361574	0.0384815	0.0461464	0.0678186	0.0794204	0.104953	0.116197	0.0810218	0.0483393	0.027693	0.0159506	0.00836647	0.00855121	0.007272	0.0045566	0.00260839	0.00439236	0.00283674	0.00278043	0.00262093	0.00264047	0.00604004	0.00349637	0.0154653
nid	0.0420229	0.0374488	0.0415975	0.0591354	0.0391766	0.0441374	0.0291237	0.0298132	0.0312674	0.0204823	0.0237287	0.0273383	0.0404077	0.0492877	0.0351833	0.0282259	0.0294604	0.0324218	0.0383327	0.0348985	0.0375205	0.027581	0.0325814	0.0233564	0.0243407	0.0216976	0.0155807	0.0166603	0.0120357	0.0109043	0.0158644	0.0120195	0.0363674
pendant	0.0663084	0.0328585	0.022763	0.0257197	0.0229592	0.0212551	0.026374	0.0272651	0.026205	0.0277083	0.0282123	0.0308817	0.0547115	0.0513088	0.0501464	0.0246354	0.0233043	0.0358014	0.0410423	0.0452878	0.0357953	0.0224173	0.0206145	0.0171373	0.0135534	0.0164516	0.0171198	0.0180378	0.0159207	0.017164	0.01847	0.0297242	0.0728461
la	0.0454621	0.0233821	0.0154226	0.0161453	0.0169353	0.0181011	0.0208392	0.0203588	0.0179029	0.0172161	0.0147176	0.0121187	0.0156516	0.0133087	0.0204269	0.0152336	0.0197692	0.0384211	0.0549732	0.0568741	0.0509945	0.0370607	0.0366565	0.0430047	0.0316354	0.0366062	0.0345793	0.0404579	0.0330865	0.0317467	0.0315878	0.0468399	0.0724836
saison	0.0225882	0.0206277	0.0202826	0.0250703	0.0261076	0.0132243	0.00963978	0.00988546	0.0102768	0.00991463	0.00980003	0.00972156	0.011634	0.0118102	0.00839382	0.007697	0.00651517	0.00833282	0.0102469	0.0121611	0.013186	0.0112747	0.0149006	0.0133565	0.0293939	0.0532202	0.0593713	0.0667178	0.103074	0.0674638	0.0807726	0.0488819	0.174457
sèche	0.0642293	0.0382931	0.0291279	0.031789	0.0235151	0.0179046	0.0172296	0.0171958	0.0166324	0.0138532	0.011788	0.00704646	0.00979173	0.00732818	0.0111129	0.00871083	0.0120409	0.0247211	0.0463962	0.0596371	0.0453686	0.0348745	0.0350227	0.0210318	0.0264117	0.0325945	0.0278097	0.0318516	0.0303178	0.0293634	0.0400074	0.0445546	0.132448
</S>	0.0774114	0.0547641	0.039664	0.029616	0.01554	0.0145981	0.0138255	0.0122207	0.0114229	0.0129316	0.0127681	0.0148841	0.0156791	0.0128226	0.00960875	0.0056691	0.00508219	0.0104963	0.0162069	0.0183856	0.0233632	0.0220421	0.0213559	0.0215648	0.025846	0.031801	0.03715	0.0386239	0.0303238	0.0412534	0.0593842	0.06764	0.176055
