 	n	g	á	l	a	b	h	ó	l	á	l	a	l	e	k	ú	s	á	b	i	r	á	</S>
j'	0.129592	0.162744	0.150033	0.204091	0.126078	0.0574471	0.0122192	0.0099739	0.00892672	0.0137004	0.00618046	0.00606727	0.00611656	0.00746428	0.0183329	0.025494	0.0215781	0.00912592	0.00638692	0.00507113	0.00320249	0.00436962	0.00580534
ai	0.0755555	0.0414992	0.0251573	0.0280889	0.0312762	0.0364455	0.0326536	0.0360002	0.0579027	0.05449	0.0804439	0.0546554	0.0731601	0.0396966	0.0230671	0.0293764	0.0204225	0.0217127	0.0260656	0.038305	0.0255195	0.0647085	0.0837979
échappé	0.0528005	0.0825644	0.0728299	0.0398925	0.041877	0.0169798	0.0152654	0.0158234	0.0168029	0.0197949	0.0323905	0.0378321	0.0677418	0.0705136	0.0519993	0.0860551	0.050269	0.031623	0.0260497	0.0333131	0.0475051	0.0520743	0.038003
à	0.0164928	0.0212568	0.0113531	0.0153981	0.0245394	0.0353166	0.0497501	0.0404054	0.0333115	0.0434713	0.0341094	0.0378457	0.0585089	0.0318541	0.0361684	0.0340845	0.0500872	0.0904257	0.0980529	0.0875878	0.0689695	0.0368321	0.0441788
la	0.0305449	0.022743	0.0138882	0.0163483	0.0310682	0.0256409	0.0283269	0.025607	0.0212998	0.0251436	0.0304484	0.0319348	0.0422268	0.0361318	0.0511223	0.0483671	0.0624398	0.0626112	0.0560027	0.0651468	0.0804894	0.0824685	0.11
mort	0.0100947	0.00971906	0.0099148	0.0109548	0.0124533	0.0119002	0.0179447	0.0216054	0.0250108	0.0310073	0.0536088	0.0602768	0.13918	0.0947047	0.0949021	0.0678228	0.0487742	0.040248	0.0422233	0.0390094	0.0382768	0.0495185	0.0708499
pendant	0.0431927	0.0225513	0.00965537	0.00829801	0.0146812	0.0283152	0.0352789	0.0415925	0.0426176	0.0410813	0.0480281	0.044424	0.0554033	0.0428731	0.0484807	0.0343813	0.0387444	0.0451252	0.0533427	0.0601604	0.064573	0.0825815	0.0946182
la	0.043039	0.0274677	0.0167143	0.0159964	0.0251651	0.03014	0.046179	0.0456568	0.0348059	0.0365863	0.042028	0.0341003	0.0312482	0.0316904	0.0456969	0.0434127	0.0503416	0.049702	0.0669646	0.0611341	0.0605051	0.0583713	0.103054
guerre	0.0273524	0.0270631	0.0254989	0.0246867	0.0257942	0.0126896	0.0158696	0.0132602	0.0114731	0.0134709	0.0144767	0.0163043	0.0252376	0.019569	0.0385205	0.0553822	0.0735569	0.0701629	0.0968025	0.0979857	0.0966718	0.0917998	0.106371
</S>	0.0529513	0.0400611	0.0292375	0.0181588	0.0186445	0.0307912	0.0483575	0.0265592	0.0214124	0.0207364	0.018126	0.0184187	0.0194967	0.018095	0.0180499	0.0181169	0.0219574	0.0232684	0.0580241	0.0937005	0.12296	0.110864	0.152013
