 	w	a	á	m	i	l	ώ	ώ	l	a	n	g	ó	o	t	s	í	n	a	a	n	y	i	m	i	w	a	m	b	ω	n	g	ω	</S>
il	0.0981893	0.156289	0.320349	0.292889	0.0732713	0.0159798	0.00414569	0.0027447	0.00191872	0.00122751	0.00172077	0.000923801	0.00120376	0.000974486	0.00107018	0.00135495	0.00151638	0.0015482	0.00165898	0.00140647	0.00083674	0.000959554	0.00139649	0.00139628	0.0012064	0.000866145	0.00194586	0.00192482	0.0018346	0.00124656	0.00137656	0.00164546	0.00161222	0.00137095
boude	0.0102196	0.00393701	0.00270554	0.00328634	0.0177166	0.00906264	0.0263152	0.0364308	0.0625343	0.052528	0.0447752	0.0637956	0.0365164	0.0457349	0.0255008	0.046324	0.046843	0.0312312	0.0262962	0.0243631	0.0441918	0.0652244	0.0455448	0.0339211	0.0308782	0.0437662	0.0301059	0.0116204	0.0168834	0.0144773	0.0107663	0.0146412	0.0109011	0.0109615
parce	0.0127535	0.0113557	0.010959	0.0153005	0.0181029	0.0117756	0.0107352	0.0228444	0.0301898	0.0405715	0.0378832	0.0552446	0.0561142	0.0536767	0.0481707	0.0404276	0.0425062	0.0416032	0.0449747	0.0180113	0.0219547	0.0275627	0.0231825	0.0331456	0.0221207	0.0163516	0.0347904	0.0243183	0.0277066	0.0295724	0.0210675	0.0291278	0.0431657	0.0227332
que	0.00654502	0.00517129	0.00474422	0.00695805	0.00826209	0.00682356	0.0066602	0.0166747	0.018613	0.0198241	0.0178836	0.0199429	0.0205366	0.022684	0.0236361	0.025554	0.0411463	0.0411644	0.0452513	0.050045	0.0423561	0.05549	0.0410031	0.0517967	0.0580845	0.0391684	0.0462055	0.0425952	0.0281515	0.0279726	0.0269507	0.0360673	0.0377114	0.0583268
sa	0.0182292	0.0166144	0.0126215	0.0111472	0.0121932	0.00713583	0.0116858	0.0192188	0.0183383	0.0215017	0.0216477	0.0198015	0.0255458	0.0211042	0.0196762	0.0278344	0.0527709	0.061182	0.0706498	0.0699639	0.0726115	0.0605278	0.0579278	0.0389417	0.0543144	0.0201362	0.00945053	0.0118729	0.00697037	0.00759343	0.00844325	0.0190089	0.0391526	0.054186
mère	0.0125764	0.0110673	0.00882282	0.013806	0.0117445	0.0124512	0.0209407	0.041537	0.028391	0.0291026	0.026441	0.0269053	0.0245995	0.0307721	0.0264117	0.0276922	0.0325799	0.0323143	0.0276562	0.0306073	0.033449	0.028809	0.0317049	0.0270113	0.0457259	0.0305975	0.0208188	0.0191254	0.02008	0.0192687	0.0251566	0.0634091	0.0581372	0.100288
lui	0.00870189	0.00646089	0.00502412	0.0113433	0.0140015	0.0122057	0.0132133	0.027947	0.0196691	0.0324264	0.0251628	0.0300744	0.0392828	0.0385221	0.033896	0.0489104	0.0762613	0.0521482	0.0307047	0.0611161	0.0724218	0.0389251	0.0423177	0.026976	0.0341324	0.0359043	0.0114272	0.0132824	0.0124778	0.00970846	0.0147119	0.017868	0.0241471	0.0586279
a	0.0122558	0.00948847	0.0109879	0.0121977	0.0143401	0.0155613	0.0161133	0.0294778	0.0172831	0.0185914	0.0238392	0.0160905	0.0181231	0.0243168	0.0204058	0.0403663	0.0578819	0.0461008	0.0338414	0.0618389	0.0827152	0.0406507	0.0324903	0.0224407	0.0238685	0.025628	0.0113115	0.0183344	0.0198003	0.0248946	0.0346833	0.0467963	0.0465249	0.0707596
refusé	0.0131901	0.00942244	0.0152472	0.015092	0.0186644	0.0187188	0.017641	0.0167917	0.0146029	0.00915713	0.0142237	0.00715669	0.00682203	0.00840575	0.00830105	0.0132258	0.0202551	0.0192959	0.0234682	0.0305576	0.0378383	0.0325465	0.0309525	0.0368985	0.0384462	0.0393721	0.0340718	0.0471479	0.04571	0.0545936	0.0660234	0.076249	0.0790632	0.0808474
de	0.0168515	0.014672	0.0190648	0.0151723	0.0182983	0.0123469	0.0125516	0.0166793	0.0149139	0.0178503	0.0146315	0.0134114	0.011654	0.0144785	0.0178952	0.0188724	0.0202573	0.0267287	0.027648	0.0157969	0.0156606	0.0239725	0.021997	0.0318058	0.0390583	0.0561319	0.0529118	0.0644421	0.0452117	0.0427306	0.0431618	0.0539817	0.0739631	0.0951962
l'	0.0176902	0.0157123	0.017129	0.0205425	0.0270328	0.0144754	0.0160267	0.0223524	0.0211425	0.0206789	0.0212433	0.0154563	0.0124713	0.0171987	0.0167444	0.024263	0.0332934	0.0321456	0.0195617	0.0158539	0.0210252	0.0170244	0.0313718	0.0317623	0.0345364	0.060706	0.0319296	0.0579192	0.0603884	0.0468896	0.0504093	0.0380982	0.0511934	0.065732
argent	0.0107619	0.00841722	0.0133461	0.0157236	0.0228761	0.0236577	0.0236824	0.0120412	0.0117082	0.00772648	0.0111242	0.0073745	0.0113043	0.0104999	0.0135939	0.0189433	0.0211056	0.0232935	0.0218933	0.0274427	0.0437724	0.0286353	0.0293954	0.0221388	0.0359385	0.0483707	0.0241215	0.0278234	0.0355174	0.0404498	0.0619858	0.0962269	0.0843791	0.104729
</S>	0.0143928	0.0136599	0.0138841	0.0147751	0.0165769	0.0144975	0.0149317	0.0148981	0.0151386	0.014832	0.0151704	0.0144328	0.01481	0.0143352	0.0141005	0.0151961	0.017214	0.0176155	0.0152963	0.014896	0.0167539	0.0220161	0.0290282	0.0336738	0.0472133	0.0545753	0.0447482	0.0457725	0.0528064	0.045918	0.053684	0.0549625	0.0889781	0.109216
