 	n	g	á	í	m	o	d	z	w	á	o	l	a	s	í	n	á	l	a	n	g	ó	l	ó	m	i	</S>
je	0.332037	0.312966	0.196917	0.0322595	0.00701165	0.00281046	0.00167004	0.00468977	0.0097543	0.0191491	0.00686102	0.00627911	0.00646249	0.00719775	0.00534008	0.00756616	0.00574898	0.00527263	0.00369807	0.0041957	0.00436226	0.00435451	0.00314847	0.0025435	0.00221415	0.00234938	0.00314136
m'	0.148009	0.0550522	0.0329726	0.0488484	0.0990836	0.0437588	0.0235322	0.0621191	0.0583782	0.044743	0.0210236	0.0333294	0.020486	0.0351738	0.0395995	0.0356036	0.0372379	0.0271641	0.0283714	0.0271758	0.0231357	0.0121008	0.00560817	0.00689736	0.0112025	0.00712052	0.0122729
en	0.125655	0.106479	0.0418274	0.0436967	0.0421478	0.0585644	0.0418	0.0383118	0.0245448	0.0147665	0.0197921	0.0304813	0.0269692	0.0334665	0.0322526	0.026903	0.0257362	0.0184506	0.0194797	0.0239766	0.0242349	0.0130392	0.0183387	0.0291007	0.0301904	0.0362724	0.0535219
vais	0.0422541	0.0222098	0.022187	0.0481425	0.088901	0.0585743	0.063828	0.0567141	0.0340282	0.0469535	0.0663342	0.0600921	0.0598472	0.0323326	0.0386206	0.0195497	0.016086	0.0104631	0.0121978	0.0129369	0.0189741	0.0101401	0.0132431	0.0228259	0.0293622	0.0376797	0.0555224
dire	0.0288231	0.0149394	0.0132654	0.0339668	0.055723	0.0372986	0.0389685	0.0176804	0.0143423	0.0160841	0.0212599	0.0297036	0.0297043	0.0204479	0.0248648	0.0236118	0.0340736	0.0312111	0.0340623	0.0365372	0.0367039	0.0396127	0.0488852	0.0596823	0.0607256	0.0781104	0.119712
au-revoir	0.0102825	0.011591	0.0183879	0.0158394	0.0185042	0.0230928	0.0270112	0.0284327	0.0251548	0.0311507	0.0457485	0.0514014	0.0549814	0.0278116	0.0393212	0.0369269	0.045384	0.0352471	0.0345848	0.0407798	0.044648	0.0463956	0.0392508	0.0477944	0.0469589	0.0643881	0.0889302
à	0.00762275	0.00803977	0.012371	0.00962798	0.0118066	0.0140233	0.0168358	0.0174071	0.019395	0.0221453	0.0298813	0.0387059	0.0443512	0.042129	0.0460899	0.0497591	0.0522749	0.0514557	0.0513402	0.052081	0.0526	0.0522078	0.0574304	0.0575294	0.0588434	0.0583781	0.0656682
mon	0.0235246	0.0155936	0.0166122	0.0172485	0.0182701	0.0198033	0.0193849	0.0188168	0.0155326	0.0183646	0.0293857	0.032525	0.050342	0.0361386	0.0413231	0.0465781	0.0594206	0.0594066	0.0622701	0.053762	0.0523912	0.0510915	0.0484183	0.0362272	0.0426324	0.0454167	0.06952
oncle	0.0227826	0.0203612	0.0228223	0.0220419	0.0198772	0.0192105	0.0183727	0.0177786	0.00913429	0.0141675	0.0230504	0.0208667	0.0304082	0.0283327	0.0237268	0.0331038	0.0422812	0.0344	0.0427008	0.0592163	0.0665491	0.0553451	0.0644866	0.0542321	0.0669557	0.0786801	0.0891156
</S>	0.0271262	0.02252	0.0213975	0.0218101	0.0216939	0.0199121	0.0195517	0.0124287	0.0106104	0.0133198	0.015113	0.0222227	0.029671	0.0212899	0.0261888	0.0410947	0.0504584	0.0505985	0.0611783	0.0573811	0.0624675	0.0551129	0.0560638	0.0519038	0.0551676	0.0726129	0.0811045
