 	n	g	á	l	a	k	ώ	n	d	ώ	s	ó	w	a	m	í	y	ó	ó	</S>
je	0.144648	0.267087	0.140785	0.080883	0.0475686	0.0178823	0.0155592	0.0142419	0.0139914	0.015639	0.0162924	0.0193151	0.024003	0.0405316	0.0364699	0.023092	0.0281348	0.0220141	0.015598	0.016263
n'	0.10479	0.0567083	0.0771843	0.0329918	0.0429637	0.0623575	0.0752751	0.0687422	0.0722993	0.0419137	0.0351451	0.0430271	0.0229521	0.0152094	0.0154541	0.0103723	0.0496978	0.038938	0.0583296	0.0756484
ai	0.179233	0.0612038	0.0253034	0.0186853	0.0328773	0.027554	0.0262664	0.0386617	0.042448	0.0464204	0.0354425	0.0619094	0.0822134	0.083047	0.0625836	0.0510315	0.0365325	0.0337129	0.0269682	0.0279056
pas	0.0736132	0.0426979	0.0234271	0.0401212	0.0918352	0.0705732	0.0672593	0.0553792	0.0544872	0.069278	0.0454046	0.0498877	0.0267078	0.0779096	0.0603581	0.0287166	0.0432997	0.0239845	0.0269961	0.0280638
pu	0.0326199	0.00932795	0.00906728	0.0244748	0.0362666	0.0739508	0.0614736	0.0725196	0.0605757	0.0731543	0.0630258	0.0688408	0.0375067	0.0454428	0.0453484	0.0350775	0.0398703	0.0570017	0.0671789	0.0872765
le	0.0108975	0.00644311	0.00571205	0.0127798	0.023649	0.0601025	0.0539044	0.0617962	0.0703218	0.0836513	0.0900217	0.112383	0.0548989	0.0356696	0.0254955	0.0193093	0.0226431	0.0445597	0.0691941	0.136568
supporter	0.0119784	0.00805555	0.0110788	0.0272975	0.045147	0.0345665	0.0387404	0.0476619	0.0822175	0.0832926	0.0668553	0.0767582	0.0387767	0.0614706	0.0492904	0.0369846	0.0394246	0.048358	0.0686696	0.123376
à	0.034474	0.0241926	0.0208073	0.0230895	0.0281138	0.0231468	0.0152171	0.0223685	0.0282595	0.0314476	0.0421387	0.104059	0.0592814	0.0751706	0.0683778	0.0425059	0.058609	0.0737207	0.0885385	0.136481
cause	0.105218	0.0482042	0.0504766	0.0838706	0.0382176	0.0371298	0.032676	0.0208509	0.022521	0.0252493	0.0235645	0.0423261	0.0361638	0.0367119	0.036007	0.0372863	0.045519	0.0605475	0.0798575	0.137602
de	0.060689	0.0341237	0.0318576	0.0315469	0.0216426	0.0280931	0.0276532	0.0279847	0.0295224	0.0290355	0.0279039	0.0328023	0.0351678	0.0446589	0.0564259	0.0836843	0.0895713	0.098181	0.0986515	0.110804
ses	0.129382	0.0781229	0.057832	0.0354367	0.01993	0.0237048	0.0308107	0.0247999	0.0166636	0.0162628	0.00993372	0.0191336	0.0212859	0.0417507	0.0491588	0.0511948	0.0564389	0.0732266	0.102592	0.142339
caprices	0.0373711	0.0207533	0.0201511	0.019342	0.0194967	0.020289	0.0244593	0.0202993	0.0207792	0.0187588	0.0114891	0.0148185	0.0134178	0.0454106	0.0771401	0.116785	0.143286	0.106143	0.111232	0.138577
</S>	0.0423318	0.0280385	0.0280621	0.0314865	0.0206362	0.0256483	0.0242279	0.0221335	0.0186712	0.0185255	0.0152744	0.0276649	0.0331182	0.0578114	0.0759016	0.0771178	0.0808959	0.115849	0.114022	0.142583
