 	i	k	ω	n	í	í	m	i	s	á	á	o	y	í	á	n	ω	b	ó	</S>
c'	0.187786	0.07469	0.0161253	0.0145301	0.0152022	0.0224595	0.0275286	0.0315324	0.0397026	0.0368021	0.0412646	0.0505412	0.0438891	0.0410849	0.0650013	0.0568742	0.0586904	0.0453858	0.0542794	0.0766306
est	0.0950029	0.137119	0.0701463	0.0410248	0.0508307	0.0447844	0.0456331	0.0620374	0.0274583	0.0158029	0.0411207	0.108321	0.0921626	0.0424232	0.034718	0.027857	0.0205833	0.0157445	0.0132296	0.0140008
ainsi	0.0663719	0.106558	0.0693374	0.0616998	0.0556587	0.0597229	0.0543826	0.0381577	0.0200361	0.0104544	0.0091216	0.0103419	0.0136799	0.0218756	0.0256757	0.0606445	0.0744092	0.0516684	0.0715342	0.118669
que	0.0321058	0.0676849	0.027963	0.0393936	0.0475167	0.0391884	0.0535328	0.0348902	0.00993868	0.00919106	0.00680765	0.0160957	0.0249365	0.0251178	0.0344448	0.0911843	0.106447	0.0964768	0.123891	0.113194
la	0.0216951	0.0397718	0.0209391	0.0197839	0.0275318	0.0397268	0.0466372	0.0385782	0.0186596	0.0104508	0.00698835	0.0102169	0.0307848	0.0378862	0.0543472	0.0758226	0.109874	0.116827	0.125927	0.147552
maladie	0.102167	0.177326	0.0667927	0.0394047	0.0393985	0.060029	0.044864	0.0407823	0.0260328	0.0138525	0.0153927	0.0200145	0.0313028	0.0187242	0.0368435	0.0544181	0.0442121	0.0219054	0.012816	0.133721
t'	0.0199208	0.0270576	0.0252945	0.0262073	0.0291368	0.0445932	0.0419003	0.024905	0.011579	0.00818345	0.00770778	0.0129038	0.0220087	0.0245469	0.0352729	0.0498326	0.0780571	0.0955561	0.116458	0.298878
a	0.0789998	0.0944605	0.065208	0.0478341	0.0419015	0.0532982	0.0301265	0.0173407	0.0122483	0.0124466	0.00902178	0.00910878	0.0104719	0.0128329	0.0267211	0.0324172	0.0472259	0.0673684	0.0666556	0.264312
laissé	0.165864	0.0850648	0.0540695	0.0413186	0.0379246	0.0375743	0.0216177	0.0157263	0.0119742	0.0094165	0.00666391	0.00837604	0.0116078	0.0123832	0.0238899	0.0311471	0.0642114	0.0852136	0.0848069	0.19115
</S>	0.0580168	0.022008	0.0205932	0.0242292	0.0235676	0.0188092	0.0141311	0.0131037	0.0129621	0.0128586	0.0127513	0.0142295	0.0160265	0.0150561	0.0292802	0.0401189	0.0644396	0.107016	0.193959	0.286843
