 	i	b	í	n	d	í	b	é	t	u	m	b	a	y	é	é	b	v	u	n	ú	a	y	ú	r	u	s	ó	l	ω	n	g	ώ	í	p	έ	ε	n	g	á	a	m	w	a	</S>
les	0.0283159	0.0228186	0.0303876	0.0174324	0.0194065	0.0209214	0.0232211	0.0306713	0.0306335	0.0353828	0.046042	0.0465482	0.062821	0.0476545	0.0129859	0.0111436	0.00922667	0.00686142	0.0141003	0.00970762	0.00720213	0.0103608	0.00609109	0.00896231	0.00899952	0.0110561	0.0100429	0.0124935	0.0100769	0.0134201	0.0137473	0.0179979	0.0243525	0.0175097	0.0162817	0.0160566	0.0233768	0.030402	0.0240005	0.0410244	0.0422733	0.0481219	0.0201839	0.0240084	0.0156754
marques	0.075936	0.139159	0.130049	0.0805549	0.0734122	0.0317752	0.0308427	0.0195032	0.0135475	0.00891042	0.0133039	0.0147274	0.0133129	0.0178717	0.0171741	0.017352	0.016418	0.0137771	0.0169392	0.00977939	0.00996729	0.00288346	0.00268386	0.00333117	0.00310327	0.0028795	0.00301058	0.00432704	0.00622168	0.00737561	0.0103432	0.0106451	0.0220748	0.0222139	0.0270747	0.0206266	0.0141031	0.0153896	0.0102579	0.01164	0.00526087	0.0139114	0.00987702	0.00410027	0.00235253
laissées	0.10552	0.105857	0.0702547	0.0434194	0.0694252	0.0513729	0.0571108	0.0393286	0.0383566	0.0234117	0.0158869	0.0132847	0.01264	0.0167934	0.017296	0.0181694	0.014376	0.0192634	0.00699767	0.00791275	0.00652489	0.00629811	0.00734497	0.00587443	0.00839734	0.00802548	0.00806599	0.00838889	0.0128411	0.00872202	0.00963064	0.00669907	0.00449443	0.00726708	0.00480584	0.00985933	0.0166221	0.0143956	0.0124392	0.0159074	0.0112164	0.0190347	0.00989395	0.0211047	0.00946913
par	0.0260009	0.0450411	0.0585768	0.0523492	0.0545754	0.0453864	0.0355979	0.0315194	0.0240545	0.0191079	0.0263061	0.0184227	0.0198206	0.0203362	0.0221917	0.0284659	0.0231701	0.025493	0.0140579	0.0131225	0.0196804	0.0114627	0.0139364	0.0147386	0.0160441	0.0189078	0.0272659	0.0264021	0.0211289	0.0242417	0.0199262	0.0152016	0.0176328	0.0128294	0.0138844	0.0108108	0.0178712	0.0105878	0.0112775	0.00450411	0.00645254	0.0111804	0.00606818	0.0112077	0.0331605
les	0.025914	0.0354999	0.032989	0.0337615	0.0418934	0.0417003	0.041639	0.0390889	0.0365708	0.0326444	0.0304995	0.0251225	0.0221318	0.0311811	0.0302375	0.0326921	0.0329587	0.0300888	0.0302685	0.0213101	0.0235398	0.0154303	0.0126977	0.0138832	0.0175522	0.013015	0.0147728	0.0151171	0.0135296	0.0157223	0.0180773	0.0118149	0.0166074	0.00643132	0.00874741	0.00723621	0.0109361	0.00873341	0.00588764	0.0039864	0.00470701	0.0285975	0.0059846	0.0220191	0.0367818
femmes	0.0210113	0.0151036	0.0121611	0.0113651	0.014501	0.0182565	0.0190021	0.0219594	0.0251162	0.0272343	0.0195463	0.0146696	0.0133321	0.0131768	0.014249	0.0215036	0.0274185	0.0320036	0.0309967	0.0410769	0.0399976	0.0361434	0.0354752	0.0342144	0.0412306	0.0333699	0.0372486	0.0376979	0.0364025	0.0349461	0.0242043	0.0146755	0.0169496	0.00783385	0.00812742	0.00832452	0.0156788	0.00986076	0.0107783	0.00597896	0.00705954	0.0279967	0.00819688	0.0209466	0.0329784
qui	0.0181895	0.0117896	0.0134001	0.0162163	0.0189043	0.0171425	0.0186702	0.0167411	0.0176759	0.0133755	0.00762011	0.00578952	0.00622434	0.00703106	0.0126555	0.0269412	0.0455421	0.0608094	0.0432011	0.0450832	0.0456752	0.0463203	0.0542832	0.0405381	0.0431221	0.038372	0.0315074	0.033766	0.0410439	0.0312497	0.0204168	0.0116477	0.0103085	0.00834695	0.00760724	0.00605163	0.0113702	0.00774735	0.00765588	0.00469642	0.0035286	0.0173407	0.00805098	0.0164684	0.0298824
se	0.0162082	0.0132537	0.013378	0.0148733	0.0174012	0.0155853	0.0162763	0.0134264	0.0123443	0.00840772	0.00607188	0.00575773	0.0061104	0.00581367	0.00668355	0.00966613	0.0150185	0.0232555	0.0151351	0.0267374	0.0314467	0.0271704	0.0445623	0.0285851	0.0320461	0.0318649	0.0525388	0.0422434	0.0519901	0.045244	0.0350157	0.0240749	0.0187643	0.0153531	0.0121627	0.0169192	0.030041	0.0240323	0.023998	0.00970121	0.0144714	0.0354021	0.0158176	0.0333149	0.0418355
sont	0.0403378	0.0270484	0.0179058	0.014819	0.00856059	0.00417007	0.00331829	0.00265525	0.00360187	0.00358334	0.00360128	0.00394424	0.00481385	0.00713559	0.0113494	0.0164052	0.0255374	0.0273321	0.0321691	0.0435862	0.0433042	0.0531324	0.0418941	0.0430389	0.0574972	0.0500164	0.0471301	0.0365956	0.0369849	0.0362778	0.0426878	0.0278068	0.0280675	0.00881979	0.0102557	0.00851259	0.0123039	0.00384827	0.00604939	0.00243796	0.00424367	0.0150559	0.0039005	0.0162666	0.0619972
battues	0.0581145	0.034202	0.0154898	0.0146991	0.00735003	0.00377318	0.00232885	0.00181216	0.00210095	0.00230436	0.00268766	0.00336811	0.00368661	0.0049894	0.0119547	0.02088	0.0260542	0.0300556	0.0298983	0.0303817	0.0345613	0.0325946	0.0352966	0.0359089	0.036366	0.0396152	0.0360075	0.0367003	0.0306318	0.0427419	0.0453127	0.0375288	0.0318042	0.0135139	0.0152505	0.0159174	0.0259109	0.0074771	0.0131593	0.00255137	0.00621796	0.0154566	0.00536028	0.0324234	0.0655603
dans	0.0415606	0.029161	0.0178658	0.0183651	0.0134603	0.00992946	0.00621624	0.00546357	0.004228	0.00215596	0.0024916	0.00212994	0.0023604	0.00290108	0.00604234	0.0135276	0.0174949	0.0328968	0.0206146	0.0211405	0.0292971	0.0197814	0.0308586	0.027535	0.0221238	0.0282865	0.0291747	0.0461533	0.0360235	0.0498687	0.0287751	0.0203411	0.0141302	0.0124425	0.00859937	0.0190598	0.0327578	0.0195794	0.0291193	0.0130046	0.0245911	0.0237154	0.0184054	0.0601034	0.0862671
