 	e	m	a	a	g	h	í	l	í	y	é	é	m	a	a	g	h	í	b	á	a	b	í	s	í	a	k	y	ε	b	á	a	á	d	z	e	ó	t	á	n	d	a	</S>
de	0.00739508	0.0122819	0.022727	0.029402	0.024083	0.0123729	0.00885734	0.00775231	0.0150432	0.0255546	0.0301422	0.0364411	0.0371328	0.0410941	0.0377783	0.042164	0.0403249	0.0409137	0.040565	0.0279597	0.0277045	0.0169773	0.0163241	0.0149681	0.011813	0.0135331	0.0104899	0.0123168	0.0115916	0.013809	0.0197559	0.0169329	0.0279474	0.019044	0.0241147	0.0137362	0.0208225	0.0267043	0.0297849	0.0315841	0.0342032	0.0239279	0.0219296
la	0.188318	0.177109	0.0697622	0.0278517	0.0144991	0.00791728	0.0282676	0.00582275	0.0185458	0.0163261	0.0139069	0.021832	0.0125546	0.014159	0.0176872	0.0181373	0.0121618	0.00779794	0.00709668	0.00600946	0.00649422	0.00690078	0.00501876	0.00940687	0.00900226	0.0163938	0.0171597	0.0258368	0.0295306	0.042729	0.0316377	0.0247103	0.0117945	0.00831177	0.00548601	0.0121766	0.0061184	0.00919835	0.0114009	0.00749731	0.00554277	0.00313936	0.00875068
manière	0.0454721	0.0662677	0.041201	0.0305725	0.0144244	0.016001	0.0309605	0.0165576	0.0359835	0.0340389	0.0400873	0.0260576	0.019429	0.0123873	0.021635	0.0117114	0.0071535	0.00213992	0.00306997	0.005532	0.00383785	0.00403225	0.00370417	0.0070018	0.00847286	0.0137035	0.0130622	0.0195702	0.0369241	0.0520249	0.0604883	0.0484996	0.0386847	0.0401552	0.033006	0.0194468	0.0214042	0.0256949	0.0168579	0.0141932	0.0188215	0.00798453	0.0117474
ou	0.048177	0.0398767	0.0269614	0.0160304	0.0117767	0.010795	0.0100991	0.0100472	0.00968963	0.0101018	0.0126041	0.0208564	0.015778	0.011222	0.0166104	0.0139659	0.0186583	0.0118134	0.02281	0.0332455	0.0612323	0.0380269	0.0318689	0.0311499	0.0530229	0.054726	0.0398876	0.0653392	0.0570015	0.0199602	0.0252323	0.0256336	0.0129098	0.00890972	0.00880486	0.00598777	0.00584872	0.00671251	0.00604189	0.00757769	0.00917795	0.0139357	0.039893
ils	0.0167894	0.0140567	0.0126096	0.0173843	0.0207772	0.030874	0.0587256	0.0295887	0.0302847	0.052745	0.0213144	0.0243972	0.0162308	0.0147936	0.0327333	0.0333193	0.021196	0.017742	0.0189595	0.0114305	0.0147646	0.0176839	0.0145741	0.0199336	0.0364156	0.025431	0.0228455	0.0345149	0.0249132	0.0222367	0.0180446	0.01844	0.0123356	0.0135354	0.0157698	0.0258442	0.0108784	0.00872987	0.00815035	0.0130852	0.0150908	0.0193085	0.0915222
nous	0.0268403	0.0349005	0.0351024	0.0411375	0.0301352	0.0268872	0.0184379	0.0131219	0.0181362	0.0124409	0.0145909	0.0168359	0.0120211	0.0136948	0.0235425	0.0261974	0.0151098	0.0195617	0.0229574	0.0174322	0.0206411	0.0217632	0.0173135	0.0201802	0.0163123	0.01339	0.0136884	0.0106788	0.00786922	0.0136537	0.0105321	0.00748047	0.0117751	0.011394	0.0198931	0.0280737	0.0239174	0.0292138	0.0256299	0.0416162	0.0458092	0.051848	0.0982429
ont	0.0519917	0.0475075	0.0312873	0.0314586	0.0235002	0.0147493	0.0106167	0.00741339	0.0130439	0.0102552	0.0125948	0.0131987	0.0119309	0.0107928	0.0192284	0.0225007	0.0242431	0.0251776	0.0279267	0.0244079	0.0254011	0.0231454	0.0179106	0.0227911	0.0216081	0.018829	0.0172662	0.015828	0.0113172	0.0146313	0.0140775	0.0112639	0.0195363	0.0160968	0.0230299	0.020974	0.0290135	0.030047	0.0312498	0.0364101	0.0354309	0.0432603	0.0670564
lancé	0.0538995	0.0596665	0.0430055	0.0432347	0.0326616	0.0200222	0.0119033	0.00807443	0.00978005	0.0123091	0.0153392	0.0180557	0.019375	0.018667	0.0189374	0.0168603	0.0191589	0.0227533	0.0257422	0.0200101	0.0210071	0.0193742	0.0149159	0.01974	0.0195724	0.0197159	0.0179453	0.0151359	0.0101275	0.0138037	0.01367	0.00988994	0.0148817	0.0158868	0.0277777	0.0243294	0.0268531	0.0268205	0.025045	0.0307919	0.0280963	0.0355808	0.0595827
des	0.0795692	0.042287	0.0220651	0.034406	0.0324008	0.0746472	0.043217	0.0470458	0.0250339	0.0236589	0.015061	0.011307	0.0105196	0.00822203	0.00701538	0.00611151	0.00761038	0.00698	0.0119539	0.0101302	0.0159735	0.0153199	0.0161102	0.0166735	0.0248191	0.018408	0.0297925	0.0248772	0.0217266	0.0211482	0.0207738	0.0167396	0.0137265	0.0116085	0.0134713	0.0137647	0.00997583	0.0105375	0.00953993	0.0153059	0.0191765	0.0198146	0.101475
pierres	0.102238	0.0497592	0.0260797	0.0170457	0.0129115	0.00692218	0.00581894	0.00513571	0.00741797	0.0075052	0.00871318	0.00782605	0.00789328	0.00733643	0.0068873	0.00825892	0.0127132	0.0224186	0.0223998	0.0181692	0.0276792	0.0271087	0.023897	0.0232771	0.0259674	0.0265207	0.0293611	0.0228269	0.0187002	0.0135079	0.0143473	0.0123339	0.0125695	0.014853	0.0178189	0.0211887	0.0251631	0.0313397	0.027473	0.0464777	0.0431824	0.0511916	0.0797648
