 	é	d	í	l	a	o	t	ú	ú	g	h	á	m	á	i	b	v	e	m	ó	k	ó	ó	</S>
il	0.0887033	0.181196	0.225403	0.0927787	0.0247348	0.0142632	0.0249196	0.0194996	0.022901	0.0531911	0.0472332	0.0303101	0.0300617	0.0296175	0.0149349	0.0126396	0.0107607	0.00877611	0.00915946	0.0104198	0.00938525	0.00913795	0.0126715	0.0173023
y	0.0769128	0.0404323	0.0294386	0.0385137	0.0395105	0.0403048	0.0566426	0.0305825	0.043297	0.0413061	0.0508484	0.0475125	0.0293493	0.0327673	0.0557249	0.0862783	0.0767629	0.0736588	0.0366026	0.0224987	0.0218242	0.00875932	0.00928486	0.0111874
a	0.113882	0.0384447	0.0357301	0.042192	0.0533977	0.0584251	0.0336183	0.0374843	0.0371239	0.0296384	0.0454909	0.0666487	0.0443194	0.065577	0.0515439	0.0334695	0.0183143	0.0184147	0.0258544	0.0234895	0.0272599	0.0301106	0.0292439	0.0403267
un	0.039045	0.0240915	0.0171156	0.0206549	0.0249438	0.0247661	0.0239917	0.0263075	0.0308552	0.0325638	0.0345766	0.0442119	0.0376672	0.04937	0.080374	0.0685945	0.0877491	0.0582162	0.0465673	0.0500281	0.0421076	0.0444574	0.0515539	0.0401912
bloc	0.0273529	0.0199917	0.0333302	0.0296337	0.0341945	0.0449047	0.0615384	0.0723383	0.0869067	0.0575207	0.0586051	0.0464283	0.0509946	0.0537603	0.064213	0.04409	0.033203	0.0288146	0.0252908	0.0239501	0.0221807	0.0245093	0.0161715	0.040077
de	0.0451458	0.0321493	0.0593282	0.0352253	0.0319724	0.0363102	0.0404385	0.0677979	0.0441536	0.0342807	0.0298923	0.0141906	0.0132203	0.0182673	0.0245824	0.0287741	0.0336694	0.0615058	0.0525842	0.0558675	0.0645826	0.0463177	0.0355216	0.0942224
pierre	0.0421823	0.0357253	0.0506192	0.0406167	0.0397763	0.0439987	0.0472316	0.0670384	0.0615076	0.0461379	0.0544803	0.0292209	0.0117632	0.0130415	0.0213152	0.0360187	0.0510888	0.0624097	0.0551396	0.0456596	0.041758	0.026761	0.0229567	0.0535529
sur	0.0326489	0.0250435	0.0258932	0.0255206	0.0388822	0.0457778	0.0468331	0.0680827	0.060883	0.04562	0.0470908	0.0232534	0.0209472	0.0183622	0.0205733	0.0213938	0.0272586	0.0626084	0.0481153	0.0566931	0.0663201	0.0373165	0.0317768	0.103105
la	0.0748971	0.0314686	0.0270748	0.023819	0.0229607	0.0227702	0.0219971	0.0258724	0.0174298	0.0125965	0.0147968	0.00870654	0.00520543	0.00727856	0.0117154	0.0204046	0.0493876	0.0629184	0.0821253	0.0853705	0.0837067	0.0891272	0.0969433	0.101428
route	0.0619835	0.0373157	0.0478515	0.0400695	0.0353261	0.034058	0.0326924	0.0247697	0.0172521	0.0129956	0.00770398	0.00601705	0.0038939	0.00546316	0.0111527	0.0227722	0.0612601	0.0498156	0.0714353	0.0652029	0.0660833	0.0782151	0.0878486	0.118822
</S>	0.0739786	0.0451406	0.0513264	0.0411316	0.0335579	0.0243788	0.0227797	0.0220125	0.0235587	0.0235764	0.0229832	0.0159709	0.0140564	0.0142284	0.0170676	0.025906	0.0245475	0.0283093	0.0406982	0.0373002	0.077246	0.0779648	0.081969	0.160311
