 	b	v	ú	ε	b	á	n	g	á	b	ó	o	d	z	á	á	a	k	ω	l	a	b	e	a	</S>
mon	0.0164086	0.00776182	0.00669047	0.00757049	0.00923459	0.0136807	0.0157976	0.0312788	0.0596988	0.0766957	0.0985401	0.0644976	0.0726389	0.0628284	0.0901928	0.0684406	0.060451	0.0710547	0.0576282	0.0321287	0.0173563	0.0132176	0.0124425	0.0171041	0.0166609
beau-frère	0.0295697	0.0116253	0.00428082	0.00621069	0.0051421	0.0040779	0.0131831	0.020916	0.0363828	0.0763911	0.0775183	0.0533666	0.0951394	0.102129	0.0733744	0.0840448	0.057191	0.065314	0.0834587	0.0494082	0.0183601	0.0168479	0.00854109	0.00433087	0.00319652
consomme	0.07646	0.0794307	0.0543542	0.0255468	0.022547	0.0379628	0.0436518	0.0305484	0.0303245	0.0303876	0.0274524	0.036422	0.0332113	0.0418216	0.0368447	0.04676	0.0697893	0.0494669	0.0504058	0.0382098	0.0349103	0.0320711	0.0286298	0.0258969	0.0168945
la	0.0726844	0.0544081	0.0535732	0.0407034	0.0411266	0.0590631	0.035095	0.0236644	0.0381082	0.0533805	0.0386949	0.0162277	0.0461583	0.0216601	0.0375244	0.0172236	0.0171184	0.0223285	0.0170074	0.011383	0.0159479	0.0245322	0.0519775	0.0489386	0.141471
banane	0.0458753	0.0465954	0.0515902	0.0320552	0.0538681	0.0466858	0.0244029	0.0312001	0.0345162	0.0535591	0.0399975	0.028322	0.0426794	0.0249348	0.029977	0.0344642	0.0198078	0.020723	0.0141366	0.0286294	0.0311701	0.0388123	0.0595937	0.0467413	0.119662
plan	0.154508	0.113332	0.115294	0.0342657	0.0320409	0.024092	0.0231502	0.0252959	0.0367849	0.034781	0.0248984	0.0187828	0.0134433	0.0126556	0.00877674	0.00393374	0.00621669	0.00680641	0.00672975	0.0127189	0.015513	0.0256926	0.0389373	0.043221	0.168129
tain	0.106305	0.0648506	0.0565975	0.0397657	0.044891	0.0429138	0.0454242	0.0380819	0.0385885	0.0291506	0.0229944	0.0210235	0.0155133	0.013188	0.00938413	0.00584622	0.00640186	0.00917498	0.0092669	0.0172415	0.0300527	0.0504236	0.0689772	0.0586377	0.155305
comme	0.154115	0.128055	0.119915	0.0832712	0.0655099	0.0459135	0.0414215	0.0316367	0.0453247	0.0281878	0.0204632	0.00996228	0.00771142	0.00535485	0.00375708	0.0009515	0.00159278	0.00230039	0.00332901	0.0037924	0.00581039	0.0105463	0.0202969	0.0204969	0.140284
aliment	0.0940659	0.10766	0.0849181	0.0556218	0.0439435	0.0404455	0.0461964	0.0381456	0.0364937	0.0285409	0.0179914	0.0203209	0.0115599	0.00745387	0.0058622	0.00343897	0.0028525	0.00464342	0.00433784	0.00795324	0.0193283	0.0343641	0.0527049	0.0587159	0.172441
de	0.0677306	0.080797	0.0504774	0.0478142	0.0441314	0.0377361	0.0474775	0.0398233	0.0507949	0.051185	0.0314069	0.026428	0.0165233	0.0142599	0.00731414	0.00498792	0.00564178	0.00513109	0.00394958	0.00946055	0.0219894	0.0391001	0.0677311	0.0613828	0.166726
base	0.0681041	0.0747372	0.0519801	0.0365445	0.0300209	0.031585	0.0344734	0.0337296	0.0375089	0.0268691	0.0230813	0.0191118	0.0138638	0.0118127	0.0108468	0.00661217	0.0055691	0.0150433	0.013144	0.022981	0.0430971	0.0560231	0.102684	0.0742864	0.15629
</S>	0.135087	0.123135	0.0533065	0.018644	0.0102332	0.0128223	0.0180638	0.0187591	0.0290416	0.0188197	0.0156075	0.0112011	0.0127152	0.00694531	0.00567316	0.00386812	0.00361642	0.0086533	0.00771616	0.0130053	0.0278034	0.047176	0.10843	0.0827996	0.206877
