 	i	p	i	a	l	í	í	d	í	l	a	w	a	m	é	b	ε	l	ε	í	m	i	s	á	á	o	t	ú	b	h	u	m	a	</S>
le	0.0439891	0.0340381	0.013651	0.0118177	0.00758854	0.0107505	0.0137581	0.0203725	0.0195717	0.0597453	0.087411	0.0603942	0.0645699	0.062983	0.0633218	0.0436377	0.0283834	0.0203795	0.0340495	0.0122422	0.0192944	0.0143626	0.0167574	0.0175826	0.0128211	0.0211659	0.0230867	0.0350812	0.0210409	0.0249702	0.0265025	0.0217787	0.0191459	0.0137552
furoncle	0.0879807	0.100383	0.168797	0.238796	0.118536	0.112363	0.031541	0.0216154	0.0148772	0.0115848	0.00382653	0.00209512	0.007744	0.0024888	0.00279494	0.00237887	0.00550175	0.00375034	0.00500304	0.0129178	0.00535594	0.00316525	0.00236139	0.00348159	0.00528527	0.00443983	0.00423896	0.00530713	0.0020202	0.00255241	0.0016837	0.00350384	0.000708756	0.000920089
qu'	0.032142	0.00691135	0.00692785	0.00338094	0.00528319	0.00478246	0.00730758	0.0043731	0.00497485	0.00598035	0.00721964	0.0256072	0.0277698	0.0488763	0.0594828	0.101829	0.0443201	0.0398962	0.0394166	0.0809318	0.039643	0.0723901	0.0357014	0.0511504	0.0560282	0.0325444	0.0364201	0.0344949	0.0178608	0.0187329	0.00904035	0.018112	0.00981028	0.0106581
il	0.0114146	0.0266368	0.0484113	0.040513	0.0427401	0.0348218	0.0255237	0.0281173	0.0303293	0.022973	0.0158806	0.0188256	0.0182602	0.013056	0.0108239	0.0271003	0.0148632	0.0215624	0.0152754	0.0404182	0.019317	0.0403506	0.044524	0.0306565	0.0268084	0.0278837	0.0338804	0.0274173	0.028015	0.0325616	0.0305309	0.0520234	0.0423557	0.0561288
avait	0.016592	0.0122336	0.0275271	0.0278697	0.0272363	0.0237751	0.0242741	0.0188056	0.0214165	0.0291076	0.0242069	0.0150298	0.019223	0.0206441	0.0228941	0.0253113	0.0311673	0.0343353	0.0274952	0.0626603	0.04346	0.0445326	0.0370337	0.0400542	0.0350875	0.0271644	0.0292021	0.0223655	0.0275773	0.0227724	0.0258431	0.0277568	0.0231748	0.0821709
à	0.0216739	0.020913	0.0239433	0.0238417	0.0219523	0.0190594	0.0353286	0.0278199	0.0220343	0.0397068	0.0349319	0.0169186	0.0128916	0.0150358	0.013666	0.0227476	0.0216581	0.0254513	0.0211896	0.0502258	0.0326649	0.0379812	0.0335508	0.0367324	0.0346381	0.0311803	0.0309959	0.0290528	0.0308361	0.0303279	0.0293343	0.0375399	0.0309864	0.0831891
la	0.0378221	0.0309694	0.0256806	0.0277912	0.0323526	0.0232163	0.0233568	0.0370646	0.0217778	0.0264286	0.0229429	0.0133359	0.00845046	0.00863637	0.00661423	0.0122324	0.0138834	0.0198189	0.0209862	0.0522722	0.0391882	0.0381297	0.0313443	0.0332747	0.0351389	0.0369712	0.0261142	0.0238847	0.0256282	0.0328428	0.029991	0.0337742	0.0467023	0.101382
cuisse	0.0679512	0.0516632	0.0316411	0.0372928	0.0179442	0.00850212	0.00725218	0.00713467	0.00810565	0.00714039	0.00370176	0.00561261	0.00580932	0.00481913	0.00492417	0.00446147	0.00646934	0.00938752	0.00771508	0.00469908	0.011222	0.00984664	0.0125804	0.010672	0.0172811	0.0400481	0.0458741	0.0365922	0.0275145	0.0644445	0.0670532	0.0807824	0.0953552	0.178507
est	0.042561	0.0310641	0.0378939	0.0408867	0.0333483	0.0244591	0.0297539	0.0242501	0.0293441	0.0250581	0.0199531	0.0215133	0.0153913	0.0211488	0.0154748	0.0191119	0.0182488	0.0233161	0.0164848	0.0262924	0.0260024	0.031689	0.0237864	0.0209046	0.0183083	0.0173137	0.0240074	0.021892	0.0292688	0.0281829	0.0306083	0.0316286	0.0487536	0.132099
crevé	0.0289174	0.0221266	0.0212046	0.0187514	0.0149929	0.0105702	0.0048387	0.00540812	0.00773361	0.00577338	0.00478555	0.00672748	0.00644151	0.00656721	0.00541256	0.0144133	0.0192491	0.0233121	0.0214917	0.0295839	0.0318857	0.0340003	0.0325959	0.0311742	0.0407915	0.045839	0.0579906	0.0578852	0.0568522	0.060792	0.0651521	0.0670611	0.0659898	0.0736892
</S>	0.081493	0.049042	0.0496378	0.0349519	0.0259144	0.0204521	0.0116728	0.00968432	0.01613	0.00701375	0.00636042	0.00643836	0.00407347	0.00605881	0.0054818	0.00616923	0.0133445	0.0281123	0.0223412	0.0122443	0.0280229	0.0417417	0.0400897	0.029097	0.0365096	0.0285627	0.0300396	0.0201662	0.0302964	0.0334536	0.0418791	0.0422192	0.0607416	0.120564
