 	w	a	b	ó	l	á	a	d	í	b	h	í	r	á	o	d	i	m	í	a	b	ω	ω	</S>
il	0.0751165	0.277069	0.176819	0.139097	0.133872	0.0859506	0.0489451	0.0176991	0.0112844	0.00496844	0.00153562	0.00279587	0.00422436	0.00288185	0.00364027	0.00237229	0.00239479	0.00208021	0.00145108	0.00143553	0.00130561	0.00115177	0.00106823	0.000840804
est	0.0205944	0.0211335	0.0271022	0.0261911	0.0331634	0.0688207	0.170609	0.192303	0.108631	0.0489014	0.0442974	0.0353879	0.0111147	0.0107775	0.0118988	0.015625	0.0138572	0.0170676	0.0133943	0.0244632	0.0324822	0.0151523	0.0144599	0.0225719
en	0.0273185	0.0279472	0.0284598	0.0291768	0.0305277	0.0323354	0.0344244	0.0537849	0.0498719	0.0458376	0.0542756	0.066549	0.0939523	0.0830552	0.048266	0.0426915	0.0473151	0.0434337	0.0293726	0.0199248	0.0167166	0.021789	0.0248036	0.0481708
train	0.0255782	0.0236412	0.0225533	0.0204644	0.0200589	0.0215026	0.0225224	0.0399459	0.0394428	0.0332049	0.0471417	0.0596274	0.0673335	0.0537365	0.03776	0.0430873	0.0496885	0.0445797	0.0536287	0.0323899	0.035389	0.0526521	0.0639931	0.0900779
d'	0.0279589	0.0227678	0.0250654	0.0175292	0.0131487	0.00957867	0.0117026	0.00921087	0.019927	0.0388851	0.0391983	0.0443034	0.0395111	0.0300416	0.0364375	0.0235279	0.0294442	0.0261092	0.0476916	0.0308689	0.0454144	0.0593374	0.0946095	0.257731
écarter	0.0163712	0.0192267	0.01681	0.013733	0.0150387	0.0170314	0.0204971	0.0313645	0.0555954	0.0691327	0.0646144	0.0540474	0.0584723	0.043385	0.0314496	0.0389649	0.0646892	0.0508421	0.055815	0.0323203	0.0345642	0.0531795	0.0633335	0.0795218
les	0.0246613	0.0235614	0.022989	0.0250529	0.0230379	0.0255765	0.0251603	0.0284549	0.0517684	0.0539439	0.0528888	0.0546932	0.0531234	0.0316015	0.0447284	0.0263112	0.0321862	0.0327331	0.0356827	0.0358594	0.0418967	0.0491053	0.0578927	0.147091
bras	0.0190247	0.0191089	0.0182113	0.0205911	0.0260316	0.0305672	0.0280835	0.0255051	0.0347807	0.028609	0.0161654	0.0232903	0.0333311	0.0364588	0.0403883	0.0327682	0.044913	0.0551894	0.0574917	0.0632166	0.0679034	0.0705844	0.0780198	0.129767
de	0.0342458	0.0343636	0.0283844	0.0405547	0.0312586	0.0325241	0.027473	0.0346398	0.0468989	0.0428963	0.0257303	0.0257687	0.0368839	0.02072	0.0262448	0.0110044	0.0196751	0.025266	0.029178	0.0378893	0.0626782	0.0739574	0.0983159	0.153449
son	0.0500603	0.0590733	0.0477476	0.0564076	0.0599208	0.0504662	0.0458036	0.02258	0.0158267	0.0100301	0.00574101	0.00698653	0.0109925	0.0161239	0.0200805	0.0125702	0.0177872	0.0265059	0.0205798	0.0420531	0.0717731	0.0996426	0.0980953	0.133152
cadet	0.0441565	0.0426383	0.0344684	0.0390316	0.0357002	0.0307873	0.0256601	0.0179503	0.0099744	0.00777249	0.00504867	0.00755157	0.010309	0.0150751	0.0257675	0.0204482	0.0238119	0.03137	0.0368526	0.0552539	0.0931114	0.107846	0.129724	0.14969
</S>	0.0124999	0.0171571	0.0214823	0.0330305	0.0367944	0.0241095	0.0268448	0.024943	0.0325142	0.0271356	0.0208127	0.0244496	0.0260956	0.0319909	0.0323892	0.0230687	0.0274162	0.0351316	0.0328721	0.0433077	0.0585327	0.0998441	0.112819	0.174758
