 	b	á	a	p	á	á	b	v	á	r	e	m	é	s	i	i	</S>
la	0.162574	0.178216	0.103655	0.0772682	0.0358974	0.0325486	0.0231707	0.0103599	0.0169434	0.0111241	0.00809023	0.0234966	0.0637063	0.0728292	0.0653298	0.0751578	0.0396333
pirogue	0.0160589	0.0146404	0.0254378	0.0318044	0.0286683	0.0326814	0.0429755	0.0663773	0.0742489	0.119094	0.101827	0.1125	0.093028	0.107435	0.0753114	0.0370782	0.0208335
est	0.0927999	0.0648608	0.100291	0.0485342	0.0390946	0.0188368	0.0130732	0.0241622	0.0721191	0.0496651	0.0456177	0.0652943	0.0909421	0.108472	0.0666392	0.062797	0.0368011
fabriquée	0.0364914	0.0273663	0.0627461	0.0519522	0.0644689	0.0484692	0.0929736	0.0729402	0.0683481	0.0363454	0.0458866	0.0636612	0.0489179	0.0570675	0.057536	0.0741929	0.0906365
à	0.0516822	0.0195449	0.0235305	0.0228406	0.026562	0.0254403	0.0245646	0.030556	0.0269977	0.0308546	0.0300302	0.0314837	0.0313812	0.0401993	0.0685975	0.148705	0.367029
base	0.0186771	0.00621234	0.00591235	0.00573568	0.00655268	0.00514275	0.00732886	0.00786149	0.0110369	0.0160661	0.0143374	0.0287988	0.0352979	0.0746698	0.104747	0.275649	0.375973
du	0.0237705	0.0163332	0.0184539	0.018387	0.0190927	0.0180341	0.0229325	0.0331757	0.0366546	0.0347958	0.0315058	0.0436629	0.0506288	0.06889	0.105245	0.203371	0.255067
bois	0.0608111	0.0410486	0.037976	0.041989	0.0400408	0.0446281	0.0416345	0.0440797	0.0163551	0.0160791	0.0157658	0.0250109	0.0441573	0.0648597	0.0949135	0.131219	0.239432
rouge	0.077433	0.0491406	0.0646343	0.0613936	0.0619231	0.0540689	0.0537002	0.0442577	0.0176377	0.0215591	0.0234987	0.0341264	0.0458786	0.0665509	0.074741	0.0962689	0.153187
esii	0.0434608	0.0256578	0.0398516	0.03944	0.0385888	0.0386575	0.0505078	0.0441802	0.0270898	0.0229931	0.028378	0.0463803	0.0658349	0.0752585	0.0653314	0.139088	0.209301
</S>	0.0428129	0.0234683	0.034515	0.0353261	0.0368408	0.0358828	0.0433191	0.0445282	0.0327768	0.0231337	0.0310919	0.0498259	0.0618358	0.0790581	0.0756298	0.152159	0.197796
