 	w	a	á	y	i	r	i	i	n	g	á	s	a	á	n	i	l	á	w	a	l	í	í	b	o	n	d	z	í	l	a	n	g	á	</S>
il	0.104851	0.28359	0.320515	0.0815135	0.0384826	0.0203276	0.0151727	0.0101594	0.0034474	0.0030145	0.00315992	0.00298072	0.00567751	0.00472601	0.00349323	0.00403363	0.00457271	0.00546387	0.00534574	0.00565934	0.00555688	0.00562763	0.00513664	0.00443137	0.00568375	0.00474559	0.00590808	0.00563212	0.00536342	0.00564138	0.00503449	0.00483066	0.00459294	0.00368757	0.00194107
m'	0.084257	0.0411349	0.0485534	0.0386995	0.0675384	0.0936529	0.0359572	0.0529713	0.0619076	0.0166064	0.00975528	0.0113136	0.0167697	0.0185144	0.00554195	0.00955865	0.0096017	0.00681611	0.00598715	0.00470211	0.00516671	0.00630852	0.0150709	0.0552115	0.0102069	0.0471909	0.0132046	0.0394484	0.0353985	0.0370222	0.0331934	0.0162987	0.0143616	0.0133587	0.0187194
a	0.0232007	0.0410487	0.0317903	0.014732	0.0151174	0.0209941	0.0367798	0.0651475	0.05994	0.0651838	0.0372984	0.0349596	0.0240094	0.0232787	0.0268926	0.0376692	0.0470752	0.0174456	0.0187116	0.0234754	0.0376453	0.0195658	0.0227843	0.0540661	0.0125546	0.0268235	0.0266967	0.0189157	0.0261716	0.0190681	0.0145167	0.0204962	0.0158837	0.0124051	0.00765707
demandé	0.00875799	0.0223817	0.0204017	0.0174838	0.016114	0.0229864	0.0272307	0.0369231	0.036291	0.0578891	0.0715268	0.0644121	0.0709514	0.0507426	0.0744653	0.0463855	0.0433363	0.0346452	0.0161498	0.0246542	0.0220413	0.0171006	0.0234942	0.0140978	0.00919147	0.01406	0.0183168	0.0113145	0.013662	0.00957121	0.0115707	0.0229217	0.0139451	0.0154657	0.0195184
de	0.0254646	0.0282417	0.0390516	0.0162902	0.0300523	0.0362453	0.0225511	0.0229533	0.0291829	0.0353731	0.0249301	0.0154244	0.0148601	0.0326275	0.0196353	0.0213842	0.0139044	0.00632539	0.00768769	0.00703906	0.00946334	0.0195523	0.0342581	0.0385516	0.0424812	0.0527935	0.0184597	0.0451031	0.0449228	0.0440637	0.0472181	0.0298761	0.0413799	0.0273069	0.0553453
le	0.0456533	0.063091	0.0601081	0.0540871	0.0722688	0.108896	0.0670774	0.05029	0.0440931	0.0366376	0.0168023	0.00742882	0.0148059	0.0225267	0.0127199	0.0173039	0.00982031	0.00359201	0.00338113	0.00342102	0.00447587	0.0113008	0.0116254	0.00643612	0.0128994	0.00726548	0.00639722	0.0165534	0.0197341	0.0175416	0.0190648	0.0194483	0.0366427	0.0302905	0.0663198
dédommager	0.0360866	0.0364337	0.0508134	0.0325064	0.041582	0.0665853	0.0540117	0.0516854	0.0472107	0.029501	0.0184208	0.0124993	0.0154738	0.0190559	0.0172284	0.0229804	0.023683	0.0129951	0.00476341	0.00601798	0.00519917	0.0125269	0.00834343	0.00165942	0.00949098	0.00265447	0.00287818	0.0265282	0.0077507	0.0256418	0.0410036	0.0196233	0.0504651	0.0440076	0.142693
pour	0.0211171	0.0240052	0.0218764	0.0242059	0.0255733	0.0368731	0.0406659	0.0436193	0.0440848	0.0442388	0.0437812	0.0434696	0.0400613	0.0402461	0.0438234	0.0378697	0.02891	0.0159151	0.0118233	0.0103033	0.0126708	0.0227415	0.0185003	0.0107146	0.0240539	0.0139876	0.0128258	0.0189582	0.0133723	0.0202466	0.0234014	0.0218027	0.0292973	0.0357057	0.0792585
son	0.0377434	0.0375822	0.032007	0.0392128	0.0394316	0.0378013	0.0375933	0.0326293	0.024935	0.0244387	0.0185821	0.015273	0.0121471	0.00921999	0.00892233	0.00877921	0.0115068	0.0124308	0.0164752	0.0170042	0.0191753	0.0290725	0.029528	0.0186869	0.0281207	0.0194198	0.0186707	0.0300965	0.0216531	0.0430018	0.046439	0.0506042	0.0551167	0.0548796	0.0618201
assiette	0.0156035	0.0155612	0.0147946	0.0206021	0.0224826	0.0415468	0.0418854	0.0466734	0.041273	0.0531715	0.0299129	0.0191303	0.0129552	0.0115178	0.0130088	0.0200862	0.0255361	0.0257645	0.0221952	0.0254782	0.0269076	0.0268681	0.0289784	0.0239156	0.0262969	0.0207636	0.0135041	0.0307227	0.0229358	0.0374489	0.0421695	0.029221	0.0470816	0.0395876	0.0644193
que	0.0167526	0.0172723	0.0159915	0.0194884	0.020465	0.0218972	0.0242387	0.035616	0.0226167	0.0236557	0.0155273	0.0096472	0.0117611	0.016067	0.0100855	0.014001	0.0201538	0.0204715	0.012213	0.0130802	0.0129113	0.0280231	0.0544947	0.0210971	0.036381	0.0290192	0.0391192	0.0390707	0.0295075	0.0396192	0.058142	0.0575465	0.0641949	0.0577451	0.072127
j'	0.0165474	0.0167054	0.0155501	0.0192443	0.0211839	0.0226078	0.0284935	0.0309197	0.0219262	0.0232243	0.0150356	0.010122	0.0113004	0.0153636	0.0100256	0.0134418	0.0208558	0.0211358	0.0147237	0.0169952	0.0224132	0.0487805	0.0595496	0.0232691	0.0446354	0.0259359	0.026127	0.038	0.036989	0.0340848	0.0401071	0.0585344	0.0586838	0.05188	0.0656079
ai	0.0191659	0.0177274	0.0141145	0.0313578	0.0371636	0.038143	0.0420396	0.0406321	0.0371537	0.0379885	0.0172082	0.00894869	0.0089965	0.0124829	0.0061976	0.00899572	0.0142151	0.0142524	0.00946577	0.0108515	0.0112944	0.0229567	0.0439533	0.0212987	0.0343757	0.0307761	0.0259784	0.0389018	0.0288714	0.04305	0.0513763	0.0542984	0.0540907	0.0511448	0.0605326
cassée	0.040572	0.0397929	0.0378552	0.0410115	0.0415109	0.0335476	0.0324559	0.0180812	0.015845	0.0181179	0.0192454	0.0168966	0.0183423	0.0215036	0.0206215	0.0255401	0.0245441	0.0208148	0.0166119	0.0196099	0.0187692	0.0166136	0.0247733	0.0161684	0.0202896	0.0193033	0.0120955	0.0291045	0.0237354	0.0381216	0.0414755	0.0508019	0.0549647	0.0519344	0.0593288
</S>	0.0175093	0.017222	0.0182206	0.0201851	0.0236287	0.0329427	0.0399908	0.0720632	0.038629	0.0315896	0.0128326	0.00926078	0.00961249	0.0124328	0.0091097	0.0116209	0.0188025	0.0219288	0.0176821	0.0224448	0.0153639	0.0169432	0.0390942	0.0202278	0.0314844	0.032167	0.0300446	0.0230253	0.0244806	0.0309834	0.0415937	0.0543491	0.0508097	0.0516108	0.0801141
