 	m	o	r	o	y	έ	έ	d	z	á	b	v	ú	u	a	d	í	n	g	a	a	ω	k	á	m	b	a	έ	</S>
on	0.00910719	0.0128279	0.0135795	0.0145754	0.0194219	0.0283501	0.031864	0.0400468	0.0479654	0.0523629	0.0561152	0.0876388	0.0889782	0.103032	0.0723646	0.0458151	0.0300898	0.0113131	0.00947268	0.0109273	0.0109218	0.0219192	0.0262256	0.0271297	0.0378555	0.030915	0.0245312	0.0194384	0.0152158
ne	0.129336	0.0958305	0.0440435	0.0522136	0.0723463	0.0414845	0.0512761	0.0481336	0.0383414	0.0421125	0.0270485	0.0311741	0.0523253	0.0368374	0.0213909	0.0171326	0.0197612	0.0176996	0.0247539	0.0327776	0.0100593	0.0146766	0.0142456	0.00709291	0.0101631	0.0160537	0.0120821	0.0101129	0.00949453
peut	0.0913437	0.0738926	0.0584974	0.0434088	0.0548068	0.0470896	0.0513766	0.0405538	0.0497767	0.0458753	0.0353914	0.0203882	0.01821	0.0356592	0.0556337	0.0453474	0.0529857	0.0389705	0.0239301	0.0158715	0.0180942	0.0113049	0.0116666	0.0145258	0.00848046	0.00829051	0.00969393	0.0096956	0.00923883
pas	0.0277366	0.0195716	0.0287955	0.0303191	0.030261	0.0240191	0.0266513	0.0154389	0.0158785	0.00953088	0.0123367	0.00951636	0.0176028	0.0360646	0.0543385	0.0753896	0.113454	0.105545	0.0589094	0.0733383	0.055517	0.0205778	0.0206885	0.0188349	0.016629	0.0157033	0.0142102	0.0201051	0.0330362
manger	0.0327055	0.0392054	0.0577845	0.0534141	0.0502528	0.0498277	0.0548194	0.0401631	0.0305672	0.0209961	0.0122974	0.00821323	0.0067103	0.00958382	0.0194824	0.0298977	0.0406048	0.0642927	0.0592173	0.0516729	0.0491719	0.024089	0.0233825	0.02367	0.0174427	0.0206987	0.0233606	0.024977	0.0614992
autant	0.0366594	0.0429113	0.0459759	0.0491492	0.0581686	0.0638302	0.0672995	0.0534571	0.0369025	0.0280574	0.0261568	0.0120435	0.0105914	0.012787	0.0186689	0.0271766	0.0244281	0.0273014	0.0202145	0.0204281	0.0152072	0.01053	0.0107396	0.00984318	0.00949795	0.0162337	0.032874	0.0458706	0.166996
sans	0.0316258	0.0369763	0.0481508	0.043839	0.0434424	0.0464036	0.0456299	0.0325407	0.0236752	0.0152125	0.0130862	0.00665816	0.00930822	0.0128252	0.0174503	0.0284784	0.0297013	0.0410709	0.0144677	0.0234035	0.0131111	0.0171221	0.0202991	0.0190345	0.0203277	0.0393976	0.057826	0.0790153	0.169921
être	0.0972973	0.0967096	0.0714862	0.0595221	0.0559316	0.050622	0.0283169	0.024072	0.0244871	0.0333527	0.0381521	0.0275706	0.028771	0.0354996	0.0226438	0.0290168	0.0279042	0.0229443	0.00896815	0.0104567	0.00457037	0.00874057	0.00970149	0.0107961	0.0157021	0.020061	0.0200903	0.0380989	0.0785143
malade	0.158272	0.134656	0.0899346	0.0529514	0.0185806	0.0100898	0.00608963	0.0107095	0.0149833	0.0231369	0.0202846	0.0297645	0.0206706	0.0304187	0.0180643	0.0201045	0.0162756	0.0138745	0.00865385	0.00994153	0.00467473	0.00896372	0.0102028	0.0109458	0.0197392	0.0291565	0.0279965	0.0473777	0.133487
</S>	0.105989	0.0885797	0.0597515	0.0456486	0.0276253	0.0144235	0.01006	0.0124243	0.014964	0.0195314	0.0195029	0.0286117	0.0221951	0.0226781	0.0204921	0.0179981	0.0143975	0.012437	0.00683276	0.0104346	0.0103489	0.0205796	0.0189901	0.0404964	0.0417803	0.0416731	0.0692991	0.0602446	0.122011
