 	i	t	s	y	ε	ε	l	i	b	ó	b	í	i	y	a	a	t	s	í	n	a	m	w	ε	n	έ	a	b	h	i	l	á	a	t	i	á	l	a	t	s	ε	n	g	ε	</S>
des	0.0540611	0.0246208	0.0142396	0.0155745	0.0174406	0.0206391	0.0247643	0.0327087	0.0353618	0.0335089	0.0408555	0.0612449	0.0699589	0.0498493	0.0188251	0.0178161	0.0127508	0.012821	0.0123788	0.0106424	0.0095734	0.0129613	0.00859785	0.0087813	0.0085147	0.00943692	0.00773294	0.00905638	0.00906341	0.0115115	0.011778	0.0146721	0.0229622	0.0264499	0.0263404	0.0224377	0.0243571	0.0253497	0.030162	0.018945	0.0162117	0.019163	0.0199856	0.0204988	0.0253946
applaudissements	0.0440044	0.043488	0.067365	0.132634	0.14185	0.0850302	0.025774	0.025797	0.0122949	0.00676572	0.00972429	0.0121908	0.03734	0.063129	0.0233905	0.015218	0.0165523	0.00869696	0.00842052	0.00650641	0.00545631	0.00390318	0.00141618	0.0033689	0.0038768	0.00637602	0.00629651	0.00512493	0.00831149	0.0114246	0.0131328	0.0196981	0.0137017	0.00929922	0.0109158	0.0102895	0.00856393	0.00971074	0.00979064	0.00715029	0.0132992	0.0129874	0.00927421	0.00727705	0.00318255
sont	0.02725	0.0367537	0.0463579	0.0434944	0.0362614	0.0552653	0.0506102	0.0347295	0.0187846	0.0126	0.0237482	0.0234215	0.0161898	0.0178747	0.0234488	0.0425881	0.0392269	0.0305957	0.0341049	0.0345298	0.0249744	0.0193097	0.00850989	0.0111872	0.0168862	0.0137233	0.0137876	0.0127375	0.0125014	0.0138823	0.0130713	0.0115353	0.0161757	0.0138884	0.0109971	0.0122877	0.0110405	0.0126246	0.0162086	0.0113585	0.0118641	0.0196276	0.018905	0.0109292	0.0141511
en	0.024513	0.0313442	0.027806	0.0206973	0.020876	0.0216239	0.0244304	0.0295494	0.0338895	0.0320739	0.0326766	0.0227674	0.0168936	0.022368	0.0240202	0.0332392	0.036112	0.0350082	0.0405418	0.0429378	0.0420584	0.0293389	0.0260413	0.0233119	0.0296204	0.021194	0.0221105	0.0229984	0.020537	0.0119406	0.0110079	0.007078	0.00766085	0.00741537	0.00454784	0.00626377	0.0134946	0.0090599	0.0146882	0.0103044	0.0247276	0.0202653	0.0122397	0.0107202	0.0180065
train	0.021356	0.0211623	0.0278259	0.0377542	0.0360321	0.02381	0.0198269	0.0187333	0.0204997	0.0174368	0.0131539	0.0104424	0.0113201	0.0133948	0.0175422	0.0288373	0.0416872	0.0328299	0.0438475	0.0377777	0.0456406	0.0297203	0.0262437	0.0302654	0.0354855	0.034331	0.0351656	0.0312783	0.0294467	0.0176813	0.0222037	0.0197041	0.0152317	0.0127628	0.0113325	0.0133204	0.0114223	0.0107214	0.0075625	0.00645607	0.0104159	0.0179724	0.012789	0.00885083	0.00872561
d'	0.0462398	0.0384378	0.0382801	0.0339583	0.0258399	0.0216119	0.0321417	0.0331268	0.0573199	0.0604251	0.0757304	0.0778206	0.0519853	0.0458314	0.032272	0.0278831	0.0299579	0.0184754	0.0157886	0.015072	0.0163673	0.0095609	0.0160819	0.0132661	0.0111635	0.0086136	0.00646753	0.00510224	0.00527406	0.00574323	0.0055767	0.0050067	0.00310083	0.00282748	0.00307414	0.00310872	0.00433251	0.00381161	0.00279635	0.00450097	0.0110257	0.00923498	0.0130068	0.012633	0.0401251
éclater	0.044852	0.0274945	0.022044	0.0143398	0.0172622	0.0198743	0.0249533	0.0262324	0.0259404	0.0220463	0.021356	0.0192368	0.0191334	0.0230491	0.0256773	0.0295593	0.0216496	0.0231353	0.0216825	0.0235667	0.0222008	0.0192079	0.0217304	0.0180853	0.0193864	0.0202018	0.0194385	0.018764	0.020363	0.0214573	0.0179093	0.022181	0.0177752	0.0205602	0.0173622	0.0275493	0.0223151	0.0223006	0.0232309	0.0219622	0.0255147	0.0166161	0.0181169	0.012539	0.0401468
parce	0.0285609	0.0212285	0.0218398	0.0135219	0.0137122	0.0140654	0.0167489	0.0192711	0.0165512	0.0138643	0.0130999	0.0113751	0.010825	0.0101046	0.0184729	0.0219764	0.0223275	0.0271784	0.0277134	0.0342574	0.0369099	0.0368124	0.046311	0.0416149	0.0304007	0.0288778	0.024165	0.023161	0.0190126	0.0127555	0.0137305	0.0109172	0.013287	0.0173294	0.0125424	0.0136594	0.0173571	0.0201841	0.016035	0.0220249	0.0255298	0.0294456	0.0309818	0.0229976	0.0572627
que	0.0145066	0.0123996	0.0175609	0.0192854	0.0226699	0.0255151	0.0310554	0.0295619	0.0346347	0.0324696	0.0404824	0.0316509	0.0205013	0.0141976	0.02904	0.029998	0.0195139	0.0234519	0.0185779	0.0214222	0.0305898	0.0237619	0.0429007	0.0453157	0.0269198	0.0323013	0.0274656	0.0195968	0.0185735	0.0138691	0.0143278	0.0149781	0.00958288	0.0113813	0.0129214	0.0128373	0.0117542	0.00989046	0.00892176	0.00932021	0.0112271	0.0117088	0.0156592	0.0182406	0.0574595
le	0.0360731	0.0257864	0.0275079	0.0291788	0.0337243	0.034561	0.0415855	0.0385032	0.0267778	0.0256425	0.0211514	0.0184707	0.0131085	0.00884713	0.0124528	0.013737	0.0127696	0.01399	0.0146733	0.019187	0.018694	0.0208701	0.0197874	0.0295252	0.0251864	0.0299792	0.0270635	0.0245119	0.0238083	0.0157108	0.0181932	0.014606	0.0136264	0.0150244	0.0134832	0.0151069	0.0180985	0.0136154	0.0133889	0.0179885	0.0187226	0.0191714	0.0223056	0.0240793	0.0597247
roi	0.024105	0.0278437	0.0255578	0.0267728	0.0177756	0.0113926	0.0118624	0.0149426	0.0154731	0.0138098	0.00868952	0.011329	0.0225839	0.0285156	0.0270795	0.0324504	0.0299031	0.0286712	0.0272514	0.0291681	0.0271588	0.0235483	0.0286855	0.018526	0.019298	0.0143088	0.0180259	0.0160744	0.00997402	0.00869436	0.00966862	0.00957434	0.0095239	0.0115143	0.00800834	0.0117414	0.0125156	0.0188783	0.0220496	0.0228817	0.0300909	0.0421692	0.0538227	0.0413014	0.0767886
s'	0.0692335	0.0480807	0.0406682	0.0233241	0.0168219	0.00844524	0.00549218	0.0058334	0.00585579	0.00547269	0.0052561	0.00392393	0.00461874	0.0073604	0.0117471	0.0182154	0.0199536	0.0208495	0.0207638	0.023296	0.0235795	0.0225298	0.023543	0.0188832	0.0224911	0.0198309	0.0235917	0.0206919	0.0193379	0.015627	0.013817	0.0137209	0.0138601	0.0139079	0.0136596	0.015314	0.0134783	0.02174	0.0168754	0.0228409	0.035642	0.0371613	0.0481843	0.0538348	0.0906455
adresse	0.0852665	0.0581804	0.0369755	0.0230049	0.0151582	0.00778549	0.00647382	0.00831662	0.00765298	0.00832463	0.00441268	0.00549528	0.0119212	0.0254122	0.0218679	0.0318907	0.0342674	0.0268324	0.0294136	0.0373677	0.0261331	0.0224396	0.0300569	0.0154276	0.0156068	0.0107632	0.0122812	0.0147361	0.0110767	0.00817401	0.00860525	0.00741825	0.00874308	0.011576	0.00726019	0.0103887	0.0168614	0.0195495	0.0254804	0.0241253	0.0311759	0.027882	0.0398455	0.0337159	0.0746573
au	0.0282669	0.01923	0.00921949	0.00871641	0.00760261	0.0046678	0.00422483	0.00768602	0.00507661	0.00358154	0.00313414	0.00389505	0.0039734	0.00368869	0.00302159	0.00562779	0.0104787	0.0131961	0.0157962	0.0310607	0.024092	0.0379557	0.0449488	0.0456541	0.0530178	0.0456193	0.0527101	0.0549524	0.0336731	0.02125	0.0233547	0.017024	0.0147167	0.0176226	0.0134585	0.0171837	0.0193761	0.0151765	0.0185214	0.0208751	0.0239002	0.032982	0.0383319	0.0308548	0.0906041
peuple	0.0198251	0.0222881	0.0371858	0.0653969	0.0474199	0.0291799	0.0136588	0.0160098	0.0148609	0.0142687	0.00856229	0.00964363	0.0103709	0.0128501	0.0112214	0.0100071	0.0115125	0.00977845	0.00927445	0.011091	0.011376	0.0104646	0.01051	0.00930182	0.0102613	0.0115861	0.00819048	0.0145898	0.0140861	0.0186544	0.0174478	0.0184264	0.0156731	0.018973	0.0133299	0.0155796	0.0152772	0.0231737	0.0230448	0.0276069	0.0337931	0.041134	0.0706063	0.0467421	0.115766
