 	n	g	á	í	t	έ	n	i	i	l	a	m	o	r	o	y	é	é	d	z	e	l	á	a	s	ε	r	έ	t	s	a	n	g	e	y	á	n	z	a	m	b	é	b	o	o	m	a	s	á	b	a	l	a	b	á	l	a	</S>
j'	0.103548	0.213681	0.142012	0.10905	0.10155	0.029645	0.00877775	0.00727368	0.00369473	0.00511686	0.00818085	0.0139191	0.0073988	0.0090532	0.0184473	0.0167463	0.0170012	0.00805667	0.00722044	0.00411447	0.00362667	0.00397181	0.00486306	0.0052183	0.00520071	0.00377604	0.00435196	0.00310304	0.00177839	0.00531857	0.00384671	0.00529974	0.00294413	0.00475935	0.00303574	0.00527759	0.00443676	0.00577615	0.00763226	0.0035443	0.0035646	0.00217671	0.00433499	0.00319965	0.00255288	0.00377905	0.00286688	0.00376127	0.00374033	0.00351268	0.00442595	0.00423969	0.00535251	0.00623483	0.00662062	0.00585812	0.00580376	0.00572637
ai	0.0276809	0.0131575	0.0379474	0.03934	0.0202356	0.0153868	0.024453	0.0178718	0.0569292	0.0453165	0.0390094	0.0398944	0.0256922	0.0168494	0.0146892	0.02188	0.0207983	0.019967	0.0179549	0.0127609	0.0172233	0.0160686	0.0171306	0.010237	0.0115095	0.00879779	0.00890145	0.00986282	0.00958056	0.00793487	0.0111672	0.0123303	0.00927856	0.0116504	0.00815284	0.00562455	0.00688905	0.0128218	0.0117335	0.0161241	0.0108473	0.0095005	0.011967	0.014301	0.014331	0.0283676	0.0179558	0.0174655	0.0136151	0.0246921	0.017145	0.0198711	0.0135861	0.00542927	0.00487604	0.00691503	0.0055418	0.0127595
rencontré	0.00984359	0.0037456	0.00210963	0.00466298	0.00503141	0.00954675	0.0158263	0.0263333	0.027211	0.0261908	0.0162549	0.0169546	0.0118955	0.0175083	0.0203395	0.0402969	0.0197244	0.0146186	0.0173705	0.0166923	0.0217768	0.0146515	0.0190171	0.0215804	0.0192671	0.0214194	0.0241676	0.0261393	0.0264881	0.0222126	0.0242205	0.0229883	0.0245355	0.02821	0.0252345	0.0159849	0.0200767	0.0229557	0.01781	0.0168308	0.0170344	0.0241777	0.038205	0.0329066	0.0216102	0.00847261	0.00751797	0.00858886	0.0105639	0.0111665	0.00760666	0.00581728	0.00954392	0.00703746	0.0101576	0.00943178	0.00791828	0.00452
brusquement	0.0156488	0.0107446	0.007618	0.004333	0.0166892	0.0182352	0.018192	0.0149958	0.0212483	0.017321	0.0152508	0.0178717	0.028053	0.0322825	0.0365809	0.0216715	0.0220325	0.0344441	0.0291746	0.0307558	0.0422559	0.0314762	0.0202288	0.0226283	0.0166121	0.0233244	0.0144667	0.0175003	0.0149317	0.0132259	0.0174384	0.0139061	0.0147621	0.0112278	0.0162248	0.00786486	0.0114138	0.015313	0.0100304	0.0130647	0.00775545	0.0140194	0.0134161	0.0173631	0.0103898	0.0129558	0.0116	0.0122158	0.0134215	0.0106274	0.00989445	0.00896882	0.0070707	0.0163957	0.0165503	0.0177103	0.014795	0.0238106
dans	0.00421297	0.0029183	0.00243686	0.00233817	0.00651344	0.00626247	0.00716567	0.00850607	0.010685	0.00819841	0.0073921	0.00861738	0.00954753	0.00691666	0.00677917	0.0068677	0.00762007	0.00929813	0.011229	0.0169919	0.0116673	0.0119672	0.0257149	0.0280828	0.0264958	0.024975	0.0353763	0.0278767	0.0386808	0.0366014	0.0387196	0.0232777	0.0337944	0.0233016	0.0304848	0.0272073	0.0312773	0.0262101	0.0301351	0.0248579	0.0202618	0.0321393	0.0347128	0.0348673	0.0268554	0.0139053	0.0128704	0.0119138	0.0137929	0.00976085	0.00867512	0.0081288	0.00757164	0.00705569	0.00984916	0.0104672	0.0131694	0.0168019
la	0.0173198	0.00499342	0.00888828	0.00670475	0.0120017	0.00801806	0.0135962	0.0127165	0.0122381	0.00967001	0.0105513	0.0128723	0.0127194	0.0108666	0.0143094	0.021758	0.02213	0.020597	0.0196402	0.021326	0.0186874	0.0168573	0.0174	0.0268375	0.0192676	0.0197374	0.027503	0.021777	0.0241686	0.023078	0.0260166	0.0320118	0.0284905	0.0202974	0.022103	0.019047	0.0208613	0.0165847	0.018704	0.0156	0.0146035	0.00943439	0.0139558	0.0127653	0.0123425	0.0132465	0.0144086	0.0134313	0.0159026	0.0119334	0.0140382	0.00822625	0.0101936	0.0106439	0.0167021	0.0235311	0.0265979	0.0500957
rue	0.00477173	0.00591794	0.00741937	0.00514261	0.00368806	0.00506979	0.00775312	0.0127816	0.00734258	0.00636184	0.00832937	0.00805526	0.00711015	0.00716506	0.00824978	0.00848904	0.0114635	0.0163216	0.0138785	0.0177241	0.0200569	0.0248682	0.0183407	0.0272886	0.0230601	0.0264308	0.0301799	0.0223988	0.0311051	0.0234955	0.0326558	0.0484549	0.035434	0.0195755	0.0226446	0.0189194	0.0234287	0.0171153	0.0161117	0.0172956	0.0166068	0.00829683	0.00873613	0.00857881	0.0104243	0.013005	0.0137537	0.0116962	0.0131806	0.0143248	0.0170166	0.0121332	0.0156194	0.0135324	0.0202159	0.0224644	0.0390784	0.0694414
un	0.004537	0.00170585	0.00105441	0.00108415	0.00127811	0.00225758	0.00287232	0.00421171	0.00348003	0.00349261	0.00408883	0.00309451	0.00406235	0.00457851	0.00511233	0.0051828	0.00710004	0.00938457	0.0138604	0.0208709	0.015239	0.0192258	0.0255444	0.0299238	0.0297208	0.0260066	0.0310005	0.0263015	0.0352708	0.0322672	0.0320926	0.0258214	0.0302905	0.0263994	0.0332892	0.0366832	0.0370505	0.0331582	0.0415298	0.0363492	0.0395999	0.0412859	0.0380416	0.0354902	0.0278483	0.0136905	0.0123114	0.0107894	0.0109481	0.00685915	0.00628019	0.00614881	0.00606696	0.0063057	0.00691228	0.00691292	0.00767047	0.0103649
homme	0.0241901	0.0102025	0.0102119	0.00715319	0.00564006	0.00684381	0.0062805	0.00938706	0.00855598	0.00963303	0.010344	0.00974337	0.0119828	0.0139078	0.0161089	0.0150393	0.0183103	0.0179828	0.0176499	0.0190274	0.0174876	0.0177358	0.0189978	0.0208305	0.0184709	0.0177858	0.0186726	0.0163633	0.0188678	0.0198574	0.0160127	0.0179127	0.0112152	0.010361	0.0147441	0.0183017	0.0145483	0.0156318	0.0170666	0.0167895	0.0173691	0.0232629	0.0196329	0.0162689	0.012854	0.0127201	0.01078	0.0124803	0.00984959	0.0161888	0.0283688	0.0329715	0.028992	0.0215892	0.0287032	0.0352211	0.0394943	0.0474056
qui	0.0140209	0.00466643	0.00279387	0.00263843	0.00406825	0.00421044	0.0034709	0.00392564	0.00449979	0.00428551	0.00427725	0.00544984	0.00677839	0.00733873	0.00924223	0.00830716	0.00999441	0.0113225	0.0118666	0.0126654	0.0138907	0.014016	0.0123527	0.0196862	0.0155629	0.0168428	0.0215662	0.0190715	0.0239861	0.0230158	0.0239964	0.0333138	0.0244532	0.0275367	0.0292871	0.0291829	0.0352152	0.0294854	0.0325925	0.034717	0.0319991	0.0270684	0.0272587	0.0280799	0.0153815	0.0150906	0.013003	0.016079	0.0160566	0.0168099	0.0175577	0.0203104	0.0166974	0.0213559	0.0224069	0.025095	0.0250087	0.0291475
