 	m	w	á	n	a	b	ó	l	á	a	f	ú	l	á	o	b	i	a	s	í	t	ú	e	</S>
l'	0.0164668	0.0333936	0.0344753	0.0432883	0.0320238	0.0224644	0.0162093	0.0158094	0.025226	0.0374517	0.049453	0.0381991	0.0431019	0.0352915	0.0404359	0.0652055	0.0421181	0.055674	0.0662468	0.0765723	0.0544695	0.0727184	0.044197	0.0395086
enfant	0.16933	0.0783648	0.0582205	0.0737315	0.102078	0.11704	0.140826	0.0840756	0.0505509	0.0415594	0.0304515	0.0116231	0.00921311	0.0050172	0.00472181	0.00486989	0.00642028	0.00240147	0.0011926	0.00184031	0.00172959	0.00285326	0.0012211	0.000667927
souffle	0.00809019	0.0245251	0.00890925	0.00628897	0.0150236	0.0172244	0.0246606	0.0736345	0.140163	0.154534	0.132712	0.0758039	0.0876178	0.0314536	0.0258473	0.0308385	0.0293024	0.0290447	0.0234049	0.0179838	0.0115804	0.0110723	0.0112204	0.00906422
dans	0.0207491	0.0185235	0.0195423	0.019304	0.031473	0.0238331	0.0238938	0.0236372	0.0333422	0.0429796	0.0373182	0.0397838	0.0399705	0.0590666	0.0387196	0.0437386	0.0419057	0.0407577	0.0834277	0.0770887	0.0529505	0.0643604	0.047925	0.0757093
l'	0.073778	0.0250189	0.0187977	0.0164693	0.0166428	0.015051	0.0158202	0.0160477	0.0196861	0.0201023	0.0219295	0.0213494	0.0234931	0.0182054	0.0158566	0.0244041	0.0319294	0.0419757	0.0636347	0.0625743	0.105744	0.100809	0.105668	0.125013
oreille	0.0344017	0.0138057	0.00880751	0.0102265	0.00939798	0.00778963	0.00822262	0.00778182	0.0114068	0.0104617	0.0128312	0.0207831	0.0294606	0.0300946	0.038146	0.0403151	0.0770895	0.0630258	0.0993963	0.0700234	0.0899791	0.0926254	0.0830327	0.130895
de	0.026593	0.0120636	0.0121853	0.0102262	0.00894376	0.0104125	0.00981128	0.0105229	0.0126922	0.0150342	0.0153638	0.0178091	0.0232145	0.034233	0.0355514	0.0323534	0.049677	0.0563068	0.105955	0.0911608	0.101589	0.107748	0.0934164	0.107137
son	0.13345	0.0346516	0.0389896	0.0314063	0.0284842	0.029373	0.0266748	0.0284209	0.0249951	0.0238298	0.014519	0.0122304	0.0113882	0.0129065	0.015109	0.0200433	0.021666	0.0213687	0.0232301	0.0399589	0.0777674	0.0866631	0.0964222	0.146451
ami	0.0858321	0.0572352	0.0498282	0.0451444	0.0464253	0.0286827	0.0142466	0.0162034	0.0255163	0.0220454	0.0150838	0.0155121	0.0130197	0.0222689	0.0268169	0.0431304	0.0384448	0.0305571	0.0375687	0.0506847	0.0590432	0.0716286	0.0876413	0.0974404
</S>	0.0840306	0.0404162	0.0327808	0.0361847	0.0334853	0.0331766	0.0229644	0.0282005	0.0281055	0.0280743	0.0130616	0.00856844	0.00748678	0.0101007	0.0133682	0.0191815	0.0208356	0.0261802	0.0333248	0.0723204	0.0879759	0.0868346	0.105256	0.128087
