 	o	k	ó	ó	y	e	k	y	e	m	b	é	á	d	z	á	l	a	n	g	w	έ	m	b	ε	k	á	m	á	s	í	b	h	á	n	g	á	</S>
sur	0.0107833	0.0118199	0.0124397	0.0155597	0.0230969	0.0250067	0.0231553	0.0240548	0.0216228	0.0198469	0.0210195	0.0366762	0.0395306	0.0425555	0.0874343	0.0460452	0.036936	0.0295079	0.0200694	0.0112159	0.0110052	0.018531	0.0137513	0.0144258	0.0130435	0.0188897	0.0226642	0.020139	0.019405	0.017268	0.0204766	0.0341326	0.033123	0.034831	0.0304677	0.039832	0.0511183	0.0285194
la	0.128006	0.0639139	0.0539531	0.0245482	0.0277062	0.0213345	0.0204094	0.0228902	0.0183017	0.0133604	0.0163844	0.0292511	0.0520451	0.0576473	0.102394	0.0417352	0.0374377	0.0121038	0.0163577	0.0135777	0.00776071	0.00992994	0.00759586	0.0133911	0.0225561	0.00983717	0.0186981	0.0106886	0.00896448	0.0149924	0.00559475	0.0394025	0.00903039	0.018076	0.0115544	0.00560463	0.00764338	0.00532163
route	0.0276747	0.0307701	0.0338317	0.0324565	0.0386846	0.0554483	0.0290302	0.0206808	0.0214441	0.0250087	0.0219429	0.0324367	0.0338979	0.0305123	0.0206814	0.0209634	0.0225127	0.0203031	0.0217087	0.0167981	0.0126761	0.0410001	0.0246672	0.0299746	0.0302821	0.021642	0.0223539	0.0284844	0.0204238	0.0335938	0.0194921	0.0276373	0.0416139	0.0523212	0.0103563	0.00865995	0.0102056	0.00782853
qui	0.0399858	0.026237	0.020996	0.0116321	0.0106852	0.00946079	0.00633221	0.00811656	0.00838043	0.0129045	0.0152695	0.0166187	0.0195688	0.0154595	0.0154518	0.0237058	0.0398088	0.0337834	0.101973	0.0818012	0.0338259	0.0457872	0.0627263	0.024865	0.0288343	0.0220261	0.0212986	0.0126495	0.017239	0.0157297	0.0138855	0.0131748	0.0111191	0.0188728	0.0193898	0.0256416	0.0425624	0.0522011
mène	0.0264429	0.0340467	0.0371037	0.0366362	0.0444079	0.0390081	0.0310938	0.0215218	0.0176808	0.0164089	0.0130772	0.0189863	0.0267111	0.0279462	0.0321067	0.0300035	0.0367767	0.041552	0.0599446	0.0284156	0.0333862	0.0145788	0.0139268	0.0118806	0.0160716	0.0150971	0.0168089	0.0203704	0.0163554	0.0244115	0.0209337	0.016879	0.0126301	0.0149225	0.0106532	0.0193633	0.0350414	0.0668187
à	0.0269912	0.0240571	0.0198513	0.0179798	0.0192041	0.017896	0.0191463	0.036547	0.0317653	0.0518377	0.0621021	0.0532951	0.0388152	0.0391071	0.0228757	0.0277148	0.0277182	0.024896	0.0265422	0.0220469	0.0289784	0.0165551	0.0202506	0.0131738	0.0121709	0.0146743	0.0133987	0.0114357	0.0106314	0.015487	0.0137978	0.0139321	0.0103288	0.00991061	0.0159983	0.0244444	0.046575	0.0978679
ekyembe	0.0458459	0.0423555	0.0335585	0.0301338	0.0248503	0.0214186	0.0156492	0.0136428	0.0106228	0.0117286	0.011406	0.0118874	0.0114876	0.0115232	0.0152677	0.0230449	0.0271729	0.0289556	0.0298409	0.0163305	0.0185625	0.00946639	0.00728308	0.012334	0.0263561	0.023664	0.0304952	0.0310123	0.0319331	0.0332624	0.0341351	0.0361419	0.0262263	0.0331128	0.0374183	0.0443128	0.0545387	0.0730223
il	0.134248	0.121666	0.0886837	0.0862097	0.067326	0.0560969	0.0415785	0.0287252	0.0182646	0.01671	0.016808	0.0181904	0.0176142	0.0165298	0.0145802	0.0130025	0.0133207	0.0121175	0.0127303	0.00346913	0.00446816	0.00463533	0.00401395	0.00648092	0.0120553	0.00684671	0.00951506	0.00657811	0.00540758	0.0112253	0.0055977	0.012192	0.00695558	0.00810451	0.0102398	0.00846817	0.0141144	0.06523
y	0.104998	0.0766943	0.0585013	0.052694	0.0429164	0.039684	0.0287889	0.0201913	0.0132542	0.0143089	0.0115882	0.0124168	0.0118707	0.011283	0.0132994	0.0138465	0.0182348	0.0238479	0.0273274	0.0157501	0.0120943	0.0174704	0.0129395	0.0221456	0.0247917	0.0174107	0.0227163	0.0193482	0.0125464	0.0217016	0.0131089	0.0183608	0.0123733	0.0135561	0.0154148	0.0161114	0.0266803	0.0897338
a	0.159206	0.074615	0.0365961	0.0281963	0.0197491	0.012696	0.0123281	0.0108446	0.0134282	0.0154315	0.0133167	0.0145767	0.0151574	0.0101065	0.0142249	0.0126959	0.019462	0.0250673	0.0248519	0.0176851	0.00829461	0.0168697	0.0111984	0.0188785	0.0256539	0.0188256	0.036768	0.0286331	0.0171139	0.0284935	0.0126506	0.025491	0.00876704	0.0149043	0.0234138	0.0222626	0.037645	0.0939016
