 	n	g	a	n	g	a	á	m	i	b	h	á	m	b	á	l	e	t	s	a	t	s	a	e	m	ó	o	k	ω	n	í	</S>
le	0.0535315	0.0814019	0.0819029	0.022492	0.0228536	0.0167168	0.0167624	0.0145152	0.0177986	0.0211277	0.032724	0.0267153	0.0259946	0.0421007	0.044057	0.0425015	0.0526631	0.0477552	0.0537944	0.0401801	0.0471612	0.0241147	0.0252317	0.0212949	0.0179405	0.0158411	0.0139503	0.0114604	0.0129432	0.017362	0.0167434	0.018368
guérisseur	0.0820849	0.0619327	0.0982538	0.240461	0.165504	0.110498	0.0655927	0.0637194	0.0193474	0.0171332	0.0097666	0.00542298	0.00444305	0.00243414	0.0043866	0.00774778	0.00255593	0.00124908	0.00101022	0.00143248	0.000998189	0.00123271	0.00211001	0.00369864	0.00517418	0.00528838	0.0043328	0.0065159	0.00286118	0.00187901	0.000649506	0.000283744
a	0.00828191	0.0157332	0.0129618	0.0245989	0.0459566	0.0454598	0.0450537	0.0469378	0.0817213	0.0708028	0.0850551	0.0742936	0.0507191	0.0382493	0.0324538	0.0255399	0.0226415	0.0165244	0.0116461	0.0220591	0.0482149	0.0322869	0.0235216	0.0251297	0.0210635	0.0155376	0.0134307	0.0116888	0.00809458	0.00877154	0.0091656	0.00640508
crachoté	0.0148507	0.00726776	0.0059897	0.00879773	0.00917806	0.00863228	0.0128966	0.0210295	0.0312063	0.0452753	0.0389005	0.0288114	0.0358288	0.0384223	0.0375759	0.0349296	0.0419884	0.0607584	0.0555235	0.0858525	0.0688226	0.05645	0.043537	0.0248278	0.0185705	0.0213147	0.0196776	0.0165899	0.0215418	0.021988	0.0279722	0.0349926
de	0.0699315	0.0282101	0.00920482	0.0157403	0.0219476	0.0194067	0.0335971	0.0351774	0.0509908	0.0543122	0.0568461	0.0558885	0.0732865	0.0397042	0.0511169	0.0357672	0.0181987	0.0180684	0.01856	0.0181774	0.0124584	0.0155624	0.0126727	0.0145863	0.0149083	0.0195594	0.0215691	0.0218832	0.0249884	0.0295412	0.0319362	0.056202
l'	0.0416239	0.0155049	0.010396	0.015467	0.0189464	0.0209288	0.0289369	0.028967	0.0295152	0.0477037	0.0308838	0.0288814	0.0358679	0.0232524	0.0234404	0.0197654	0.0186007	0.0188016	0.022607	0.0205111	0.0166259	0.0304563	0.0282979	0.0304286	0.0323525	0.0383511	0.0431779	0.0464445	0.0492898	0.0574654	0.0558982	0.0706103
herbe	0.0265451	0.0191497	0.0108905	0.0143313	0.0184461	0.0236969	0.0309152	0.0307946	0.0264257	0.0345297	0.025096	0.0330073	0.0445784	0.036707	0.0235142	0.0181004	0.0254741	0.0394943	0.030518	0.0386344	0.0276141	0.0242294	0.0496556	0.0401742	0.0495384	0.0269052	0.0364122	0.0368254	0.0311409	0.0425065	0.0353327	0.0488161
mâchée	0.0168267	0.0128728	0.00851791	0.00927292	0.0102852	0.0102296	0.0124449	0.0137757	0.020253	0.0257397	0.0182345	0.0201359	0.0240517	0.0247624	0.0181617	0.0129539	0.0232957	0.034971	0.0311445	0.0314702	0.0340019	0.0228108	0.0280072	0.0428093	0.0463628	0.0482803	0.050067	0.065346	0.0567761	0.0575389	0.065561	0.103039
sur	0.0247526	0.0127005	0.00735042	0.0129519	0.0125652	0.0151441	0.0424665	0.042738	0.0576681	0.0443037	0.0306604	0.0298919	0.0376255	0.0538138	0.0198134	0.0127349	0.0104571	0.015321	0.0148887	0.0124035	0.0151103	0.0261582	0.016774	0.022918	0.0175066	0.0287619	0.0263031	0.0209939	0.0363986	0.0564451	0.0602747	0.162105
le	0.0292157	0.0251509	0.0215088	0.025679	0.0240585	0.0209843	0.0208061	0.0214172	0.0199235	0.0153625	0.0148657	0.0139655	0.0141331	0.0153025	0.0150024	0.0146274	0.0221973	0.0276636	0.0340835	0.0342025	0.0379456	0.0325447	0.02934	0.0323336	0.0335975	0.0452192	0.0410073	0.0326603	0.0515149	0.057538	0.0771761	0.0989727
malade	0.0172023	0.0184366	0.0179164	0.0126513	0.00923613	0.0166343	0.0218935	0.0229437	0.0168963	0.0128412	0.0164683	0.0264048	0.0317388	0.037307	0.0197217	0.0183746	0.0334569	0.0415127	0.042052	0.0305284	0.0330797	0.0339127	0.0242005	0.0405844	0.0288615	0.0298833	0.0264964	0.0327241	0.0380626	0.0617343	0.0738038	0.11244
</S>	0.0437592	0.0258626	0.0203471	0.0221411	0.0172665	0.00942028	0.0144682	0.0190361	0.0326357	0.0171605	0.0283453	0.0194508	0.0271378	0.0290565	0.0283561	0.0203815	0.0454469	0.0595427	0.0595621	0.02752	0.0224282	0.00622677	0.00578981	0.00908106	0.00829885	0.0152219	0.0146007	0.0198958	0.0323871	0.0560462	0.0678872	0.175239
