 	b	v	á	r	e	ó	p	f	u	u	s	é	s	ε	n	g	ε	</S>
la	0.0878918	0.0542931	0.0836681	0.0481668	0.084285	0.0855958	0.0689347	0.0675514	0.0561975	0.0412433	0.0740014	0.0458574	0.0319477	0.0327522	0.0296305	0.0343009	0.0315824	0.0421003
pirogue	0.0755901	0.041863	0.072602	0.124473	0.17276	0.130492	0.175659	0.0816545	0.0635049	0.0262226	0.0175839	0.00497519	0.00588384	0.00198733	0.00176629	0.00159067	0.000690996	0.000701025
a	0.0718536	0.0658742	0.0405037	0.0368278	0.0336084	0.0718864	0.0881131	0.0766037	0.076884	0.103698	0.132441	0.0644382	0.0727466	0.0146781	0.00795941	0.00835907	0.0213283	0.012197
chaviré	0.0538667	0.0705079	0.112131	0.0898589	0.0699636	0.0683917	0.0890347	0.0733881	0.059141	0.061353	0.0421678	0.0361091	0.0352623	0.0132255	0.0124069	0.0121592	0.0339161	0.0671161
dans	0.0614393	0.0301807	0.0364125	0.0355406	0.0369823	0.0277431	0.0356388	0.0336893	0.0237153	0.0218892	0.0268651	0.045592	0.0757293	0.0912305	0.113879	0.111281	0.0820554	0.110136
la	0.0591867	0.0480437	0.0486738	0.0510201	0.0457099	0.0507422	0.0284668	0.0162345	0.0120175	0.00978199	0.0132677	0.0261886	0.055458	0.102624	0.123831	0.0940681	0.0948564	0.119829
partie	0.0179884	0.0135742	0.0182867	0.0138512	0.0108969	0.00919286	0.00976217	0.0100951	0.0125242	0.0191639	0.0277205	0.054164	0.0893304	0.092706	0.110189	0.136004	0.143687	0.210863
peu	0.0496834	0.0420374	0.0319052	0.0180597	0.00695487	0.00518233	0.00593684	0.0067246	0.00595087	0.00747884	0.00931096	0.0220093	0.0578408	0.0725302	0.0641704	0.0780579	0.197795	0.318372
profonde	0.0710913	0.0493157	0.0381124	0.0166375	0.0111085	0.0104276	0.0124189	0.00862049	0.0116294	0.00845504	0.00619778	0.0115717	0.0203389	0.067249	0.102639	0.109904	0.132498	0.311785
du	0.0683121	0.0516202	0.0417705	0.0273177	0.0184687	0.0178001	0.0228587	0.0183139	0.0135713	0.00944534	0.00915895	0.0219361	0.0318817	0.0557497	0.0999481	0.0840125	0.154903	0.252931
fleuve	0.051436	0.0331055	0.0342042	0.0324972	0.0322823	0.035972	0.0329773	0.0240064	0.0145953	0.0145839	0.0102158	0.0195366	0.0268715	0.0543407	0.100418	0.131845	0.122546	0.228567
</S>	0.0594478	0.0383083	0.0413225	0.0415512	0.0454591	0.042175	0.0427169	0.0405922	0.0317307	0.0270696	0.0198994	0.0350243	0.0384716	0.0430578	0.0536861	0.0698207	0.111404	0.218263
