 	i	b	έ	ε	l	á	n	g	ó	o	á	d	i	í	o	t	ó	n	á	m	ó	p	ó	r	á	k	a	á	</S>
on	0.0221442	0.022815	0.01197	0.011674	0.0163407	0.0273132	0.034079	0.0323874	0.0398737	0.0460625	0.0676271	0.0873511	0.134541	0.116551	0.0535708	0.0109373	0.0155539	0.0122111	0.016944	0.0138532	0.0162019	0.0194189	0.0268142	0.0311863	0.0308243	0.0305924	0.0195869	0.0175635	0.0140117
ne	0.065814	0.0633543	0.0558619	0.0585548	0.0835314	0.0775864	0.0729455	0.0532127	0.0307248	0.0353908	0.0204246	0.0236429	0.034588	0.0500519	0.0839522	0.0308768	0.00958142	0.00691834	0.00846797	0.0146453	0.0143519	0.00967039	0.013347	0.00992622	0.0153461	0.0201041	0.014672	0.00922845	0.0132279
refuse	0.072714	0.0479744	0.0328367	0.035182	0.0560604	0.0544303	0.0591599	0.0624214	0.0415218	0.0486987	0.0643463	0.0563139	0.0548231	0.0305869	0.0345277	0.0482826	0.03321	0.0259382	0.0169592	0.0175246	0.0108068	0.011263	0.0095787	0.00947258	0.0113229	0.0100978	0.0159065	0.0117231	0.0163168
pas	0.059414	0.0752199	0.105141	0.0715758	0.0718601	0.0549607	0.057783	0.04469	0.023011	0.0223024	0.0144226	0.0159034	0.0187853	0.0399518	0.0527128	0.041892	0.0469739	0.0306339	0.0323305	0.0280993	0.0180155	0.00905984	0.00887101	0.00344355	0.00421571	0.00539123	0.00940454	0.0128276	0.0211079
de	0.0300397	0.0412491	0.0785471	0.0749746	0.0448494	0.03008	0.0256515	0.0302744	0.0125519	0.00961212	0.00694615	0.00765279	0.00736257	0.00775218	0.0202148	0.0407705	0.0633027	0.0829166	0.0617913	0.0516925	0.029907	0.0352858	0.0299156	0.0259739	0.0220374	0.0489229	0.02251	0.0287359	0.0284797
têter	0.0539031	0.0342909	0.0288316	0.0260762	0.03482	0.0527789	0.0462565	0.0526882	0.0241286	0.0140632	0.0151889	0.00927532	0.0117519	0.0123004	0.0236681	0.0352123	0.0378675	0.0436676	0.0471321	0.0473771	0.0509588	0.0473274	0.0368741	0.0359468	0.0307238	0.0344004	0.0226732	0.036198	0.0536191
même	0.0486799	0.0352306	0.0264435	0.0232937	0.0351575	0.0468313	0.0485095	0.0551523	0.0306177	0.0147988	0.01401	0.00491007	0.00832837	0.00967712	0.031968	0.0490089	0.0498514	0.0522105	0.0456615	0.0468897	0.0474789	0.0457191	0.0339218	0.032965	0.0225094	0.0236798	0.0176851	0.037086	0.0617245
quand	0.0356749	0.0261973	0.0216432	0.0211759	0.0282885	0.0427879	0.0344386	0.0375987	0.0194615	0.0150943	0.0175559	0.0110426	0.0149244	0.0150761	0.0208708	0.0232157	0.0186463	0.0212215	0.0283951	0.0249038	0.049785	0.0567736	0.0465052	0.0570507	0.0493427	0.0528348	0.0593272	0.0704226	0.0797453
sa	0.04002	0.0230252	0.0213479	0.0230363	0.0212113	0.0194322	0.0168846	0.0180798	0.0105447	0.0111828	0.0114565	0.00851816	0.0131823	0.0131746	0.0201726	0.0243118	0.0250376	0.0307493	0.0374772	0.0345601	0.0567978	0.0645284	0.0697357	0.0818573	0.0497082	0.0665691	0.0599746	0.061841	0.0655832
mère	0.0429176	0.0349675	0.0357478	0.0458211	0.0312672	0.02158	0.0157509	0.0144501	0.013092	0.0144437	0.0150766	0.0100773	0.0143922	0.0205325	0.0309075	0.0437149	0.0381241	0.0324443	0.0314722	0.0376198	0.0388594	0.0280859	0.0424099	0.0331562	0.0472046	0.0585748	0.0629898	0.0526241	0.0916958
