 	a	f	u	n	g	ú	l	a	á	d	í	p	a	n	y	á	m	é	k	u	u	y	á	n	d	é	e	</S>
les	0.129086	0.126166	0.0987456	0.0740893	0.0375007	0.013534	0.00811273	0.00719598	0.0235129	0.0166459	0.0566418	0.0606867	0.067921	0.0401293	0.0291392	0.0435126	0.0232829	0.024684	0.0360807	0.0085387	0.00838823	0.0134782	0.0098538	0.00815302	0.00986795	0.00758202	0.00770059	0.00977077
clefs	0.0574087	0.0856672	0.0995009	0.117401	0.142973	0.07825	0.0326869	0.0583354	0.0321366	0.0135596	0.00707722	0.00985074	0.00866985	0.0233611	0.0332186	0.0301507	0.0337531	0.0348415	0.0231618	0.0113377	0.0147177	0.0116196	0.00542374	0.0101467	0.00714965	0.00631062	0.00464663	0.00664428
sont	0.0145251	0.0233422	0.0314425	0.0620595	0.0598464	0.0927725	0.0792567	0.101526	0.0652297	0.0807703	0.0249736	0.0266284	0.0219127	0.0167286	0.029968	0.0199119	0.0197196	0.0288003	0.0215141	0.0410171	0.0370013	0.0257917	0.0387107	0.00904799	0.00808028	0.00512583	0.00635242	0.00794437
accrochées	0.00725923	0.0129819	0.0221275	0.0386119	0.0456547	0.0433266	0.0434949	0.0320069	0.0226343	0.0198391	0.0250911	0.0264852	0.0466202	0.0493013	0.067945	0.0764806	0.0701867	0.0855589	0.0810166	0.0389532	0.0289675	0.0241386	0.0182574	0.0139138	0.0130228	0.0127564	0.0164499	0.0169178
sur	0.0367248	0.0417431	0.0332556	0.0354005	0.0401998	0.0274858	0.03434	0.0163768	0.0220619	0.0187181	0.0370793	0.0361181	0.0382368	0.0476812	0.0325166	0.049305	0.0561117	0.0232383	0.0136689	0.0176199	0.0155965	0.0171927	0.0220777	0.0178255	0.026884	0.0490343	0.0893749	0.104132
la	0.0327932	0.0424222	0.0532063	0.0313405	0.0266766	0.0349444	0.0440692	0.0267442	0.0208219	0.0199541	0.0184626	0.0172649	0.0242564	0.0213766	0.0229094	0.0238888	0.0309935	0.0334747	0.0278571	0.0380885	0.0360976	0.0379071	0.046663	0.043039	0.0467007	0.0540997	0.0608019	0.0831458
porte	0.0186737	0.0205174	0.0255288	0.0200518	0.0181785	0.0178299	0.0144552	0.0119288	0.0116482	0.00787423	0.00772365	0.00504439	0.0059198	0.00555166	0.00793727	0.0171146	0.0320048	0.0381764	0.0579738	0.0464559	0.0516722	0.059324	0.0497649	0.0833012	0.0876363	0.0866987	0.0967313	0.0942828
de	0.0185335	0.019179	0.0229215	0.0291316	0.025559	0.0136944	0.0110475	0.00764198	0.00770851	0.00533291	0.0180646	0.0141612	0.0229379	0.0184897	0.023783	0.0254986	0.0402469	0.0389171	0.0297289	0.0366951	0.0416206	0.0501457	0.0585015	0.0562039	0.0651985	0.0834731	0.0984803	0.117103
la	0.0393018	0.037296	0.0328891	0.0344272	0.0353269	0.02556	0.0161202	0.0125075	0.0108058	0.00354182	0.00320359	0.004723	0.00564249	0.00958248	0.0129674	0.0179269	0.0328347	0.0383617	0.019894	0.0284826	0.0469694	0.0496899	0.050111	0.0609602	0.0616381	0.0964188	0.0989655	0.113852
maison	0.0199652	0.0188556	0.0186439	0.0180046	0.0105663	0.0127699	0.00914394	0.00672187	0.0051576	0.0019618	0.00262966	0.00360705	0.00506585	0.00864542	0.0122264	0.0210077	0.0291312	0.0441198	0.0272982	0.0261269	0.0515186	0.0578264	0.0494624	0.0829544	0.0980486	0.115517	0.116471	0.126553
</S>	0.0285529	0.0284096	0.0279761	0.0272827	0.0237868	0.0210951	0.00837976	0.00589597	0.00640374	0.00178037	0.00280981	0.00382759	0.00454491	0.00822686	0.0101007	0.0150584	0.0299031	0.0266834	0.0209587	0.0288473	0.0487428	0.0540714	0.0555289	0.0580697	0.0703343	0.107828	0.136517	0.138384
