 	l	e	e	k	ó	i	l	í	n	g	á	n	d	é	e	y	é	n	g	á	l	í	i	b	v	á	e	p	á	á	r	i	l	e	p	á	á	r	i	</S>
depuis	0.0100147	0.00915916	0.00677087	0.00563721	0.00433467	0.0091528	0.00951832	0.00878357	0.0260992	0.0378076	0.0507031	0.059842	0.11868	0.0815214	0.0592057	0.041536	0.0463185	0.054863	0.032944	0.032048	0.0158773	0.0166901	0.00906744	0.0125668	0.0127261	0.00857178	0.00934185	0.00746802	0.0130053	0.0119882	0.014126	0.0175428	0.0130929	0.0148161	0.0171813	0.0171142	0.0210678	0.0248148	0.0214684	0.016533
que	0.0624243	0.0432371	0.0437879	0.0164549	0.0264664	0.0502731	0.031063	0.0410235	0.0209843	0.0139953	0.0223277	0.0259756	0.0677563	0.0120712	0.0147676	0.0146968	0.0142793	0.017577	0.021523	0.0174479	0.0173605	0.0194157	0.0235172	0.0205715	0.0247938	0.0242962	0.0209131	0.0411557	0.0332803	0.0328666	0.0248989	0.0260991	0.0203166	0.0166861	0.015924	0.0125921	0.00730287	0.00646777	0.00800944	0.0254002
j'	0.12164	0.0892577	0.0611293	0.029938	0.0470157	0.0485105	0.0603138	0.0508006	0.0464566	0.02217	0.032736	0.0386502	0.0325256	0.032692	0.0273175	0.0362376	0.0194061	0.0138695	0.0110822	0.0113662	0.0118132	0.00908419	0.0091733	0.00572044	0.00717073	0.00761575	0.0109865	0.00896399	0.00663461	0.0102723	0.0100815	0.00864462	0.00417569	0.010659	0.00800742	0.00862777	0.00704174	0.00724552	0.00608133	0.00888542
ai	0.0154323	0.0261754	0.0340321	0.0696141	0.110623	0.0797647	0.085018	0.0402645	0.0706371	0.0281217	0.0190823	0.0376681	0.0230669	0.0138648	0.0162016	0.014673	0.00917993	0.00541133	0.00440992	0.00675277	0.0128695	0.0133768	0.0183059	0.0122738	0.0117124	0.015258	0.0124854	0.009106	0.0116154	0.0132087	0.0173432	0.0212777	0.0155755	0.0168341	0.0178195	0.00989389	0.0088657	0.0124672	0.0109417	0.0287756
emmenagé	0.0300811	0.023456	0.0246797	0.0247407	0.0289316	0.0248762	0.0234608	0.0208924	0.0111686	0.011003	0.0143444	0.0146089	0.0158695	0.0223034	0.0248695	0.0546971	0.0428698	0.0323947	0.0417026	0.028769	0.045965	0.0405357	0.0578555	0.029544	0.0330607	0.0311154	0.0215538	0.0258805	0.022456	0.0225725	0.0149917	0.00972411	0.00435995	0.00858022	0.00709777	0.00868158	0.0101538	0.0165322	0.0167583	0.0568623
dans	0.0298566	0.0233478	0.0304517	0.0254797	0.0288865	0.0187533	0.0227932	0.0173643	0.0141931	0.0143718	0.0108863	0.00628358	0.00465323	0.00437379	0.00840514	0.013636	0.0132341	0.0100954	0.0236848	0.019109	0.0498502	0.0546008	0.0465405	0.023196	0.026327	0.0323843	0.0245754	0.0401744	0.0232678	0.023379	0.0222186	0.0201991	0.0210412	0.0178687	0.0206296	0.0191773	0.0300323	0.0283563	0.0385193	0.0978028
cette	0.0192107	0.0177706	0.0210751	0.0211357	0.028404	0.0386995	0.0282334	0.0635768	0.0312844	0.024385	0.0260985	0.0176814	0.0128394	0.0147601	0.0172871	0.020174	0.0140646	0.0129731	0.0159483	0.0155081	0.0341356	0.0361521	0.0346794	0.0221857	0.0216266	0.0226572	0.0312123	0.0133477	0.0171479	0.0239004	0.0251646	0.0267805	0.0198099	0.0185134	0.0210026	0.0182665	0.0268831	0.0263933	0.0309775	0.0680539
maison	0.0504507	0.030337	0.0260327	0.0291747	0.0226156	0.00910017	0.00700261	0.00638126	0.00273635	0.00357968	0.00699562	0.00628496	0.00585372	0.00679802	0.0133135	0.015149	0.0119194	0.013642	0.019534	0.0278149	0.0413731	0.0490852	0.0320951	0.0250248	0.0325021	0.0284401	0.0253063	0.0307202	0.0363537	0.0328047	0.0248809	0.0248112	0.0198822	0.02064	0.025357	0.0226681	0.0203035	0.0287927	0.0462706	0.117972
je	0.0269236	0.0196111	0.0216878	0.027007	0.0298989	0.0100803	0.0106271	0.00907855	0.0053393	0.00381385	0.00352792	0.005943	0.00509288	0.00453203	0.00782753	0.0146596	0.00857052	0.00945879	0.0144012	0.0195754	0.0366756	0.0378182	0.0424671	0.0342364	0.0306525	0.0357226	0.0259159	0.0269501	0.0275486	0.0321509	0.0375007	0.0474335	0.0347706	0.0390269	0.0362458	0.0325472	0.0287741	0.0343972	0.0425233	0.0789867
souffre	0.0853652	0.0607365	0.0586885	0.0734797	0.0432001	0.00944613	0.00658347	0.00441298	0.003063	0.00285588	0.00212841	0.00224779	0.00156187	0.00250574	0.00273878	0.00531582	0.00461783	0.00671321	0.00918235	0.0215635	0.0344061	0.0413502	0.051752	0.0336047	0.0311728	0.0415429	0.0347627	0.0225995	0.0227896	0.0257305	0.0226649	0.0229973	0.0197172	0.0232696	0.0195496	0.0235186	0.0259269	0.029677	0.0296284	0.0369328
