 	a	b	i	a	b	é	k	ó	r	í	á	b	h	á	l	i	w	á	n	d	u	r	u	</S>
les	0.0516032	0.0393194	0.00915079	0.00749061	0.00933583	0.0252997	0.0379687	0.0327256	0.0568657	0.0516055	0.0534033	0.0558387	0.0940241	0.0851245	0.0632702	0.0505645	0.0420891	0.0399743	0.042652	0.042803	0.0350601	0.0326609	0.0248366	0.0163336
membres	0.0909581	0.0962395	0.163511	0.145043	0.109043	0.0811295	0.0318697	0.0393475	0.0491423	0.0356385	0.0233095	0.00760387	0.00436521	0.00625939	0.00460018	0.00280189	0.00613254	0.00936198	0.0202662	0.0197427	0.0192589	0.0153582	0.0142014	0.0048149
de	0.0254504	0.022229	0.034518	0.0259729	0.0191458	0.0167828	0.0172009	0.0532897	0.0765632	0.101464	0.151512	0.0677537	0.0676702	0.0391703	0.0518111	0.0334482	0.0199466	0.0275516	0.0297503	0.024394	0.0232941	0.0327216	0.0285899	0.00976982
son	0.0242924	0.0257197	0.0528752	0.0494973	0.0554517	0.0958014	0.0328433	0.0289629	0.0426545	0.0453222	0.0403114	0.0475853	0.0412625	0.0317017	0.0418559	0.0185971	0.0127889	0.0110785	0.0226797	0.0248847	0.0349787	0.0461343	0.0706235	0.102097
association	0.0231472	0.0297426	0.0313587	0.0286673	0.0459945	0.0570108	0.0493679	0.0355939	0.0505518	0.0461965	0.0619374	0.0504844	0.0603433	0.0355429	0.0450683	0.0322049	0.0263419	0.0379674	0.0455112	0.0373539	0.0441914	0.0416399	0.0442477	0.0395342
lui	0.0225944	0.0208908	0.0200536	0.0183034	0.0329626	0.0516246	0.0535539	0.0602828	0.0794924	0.0712408	0.0600276	0.0422407	0.0317443	0.0243649	0.0240455	0.0225802	0.0222019	0.0220156	0.0236261	0.0359073	0.0346518	0.0523242	0.0745628	0.098708
ont	0.041673	0.0318564	0.0329382	0.0377523	0.0280617	0.042423	0.0471096	0.0447028	0.0556966	0.0561714	0.0538359	0.0470939	0.0261519	0.0242817	0.0271996	0.039254	0.0623372	0.0334887	0.0377475	0.0368244	0.0278285	0.0375719	0.0439145	0.0840856
imposé	0.0345281	0.0286488	0.0281858	0.0314473	0.0282738	0.0289463	0.0211446	0.0181313	0.0222461	0.0211217	0.0248937	0.0319692	0.0339337	0.0111509	0.0200632	0.0163847	0.0268051	0.0221508	0.0410599	0.0687485	0.0734838	0.0880156	0.111137	0.16753
un	0.046139	0.0328293	0.0384223	0.0446585	0.0395618	0.0378423	0.0430479	0.076932	0.0734713	0.0600605	0.0364362	0.0224611	0.0115464	0.0100664	0.0116054	0.0202223	0.0273419	0.0290461	0.0286188	0.0440888	0.05079	0.0523078	0.0656181	0.0968857
poste	0.0393842	0.0355932	0.0330335	0.0281762	0.0146388	0.0121167	0.0116538	0.0124202	0.0111998	0.0107287	0.0111207	0.00562393	0.00374178	0.0025396	0.00403552	0.00752183	0.0219417	0.0179637	0.0338668	0.0640986	0.0781121	0.131475	0.162106	0.246907
de	0.0399585	0.0350455	0.0365101	0.0375614	0.034313	0.0278415	0.0232876	0.0166593	0.0205853	0.020547	0.0271036	0.0170278	0.00891413	0.00381501	0.00541772	0.01129	0.0179639	0.0257916	0.0348019	0.0530774	0.0698524	0.0753632	0.122149	0.235123
responsabilité	0.0398772	0.032458	0.0287609	0.0261367	0.0221684	0.0132423	0.00927812	0.0107764	0.00899933	0.00798786	0.00590845	0.00742286	0.00542958	0.00380955	0.00794299	0.0106376	0.0162639	0.014839	0.0425002	0.0907048	0.0938785	0.125098	0.151083	0.224797
</S>	0.0430377	0.0339083	0.0313614	0.0310133	0.0305437	0.0397696	0.0253017	0.0322082	0.0281354	0.0265299	0.0206767	0.0148055	0.0111708	0.00761583	0.0111046	0.018403	0.0215243	0.0269016	0.0439118	0.0795371	0.0744705	0.0939586	0.115576	0.138534
