 	w	a	a	s	á	a	a	y	ú	r	u	o	y	é	b	h	a	k	a	á	a	s	á	a	ω	b	v	έ	ω	t	á	a	k	a	á	</S>
il	0.0985888	0.117133	0.141671	0.120347	0.0971425	0.0455602	0.0294748	0.0114919	0.0118711	0.0121268	0.0126864	0.0170558	0.0184722	0.0183283	0.0185723	0.0194457	0.0171477	0.0203907	0.016712	0.00809516	0.00868117	0.00909432	0.00810209	0.00783531	0.00569999	0.007415	0.0045315	0.00526831	0.00784974	0.00952288	0.0135919	0.0139025	0.013809	0.0126552	0.0120954	0.00763273
n'	0.0283891	0.0182287	0.0186764	0.0393628	0.0252501	0.0452607	0.0483063	0.0442618	0.0489355	0.0876845	0.0549438	0.0912148	0.0748045	0.055847	0.0364497	0.0284388	0.0252219	0.0121955	0.00975686	0.0122418	0.0153201	0.012532	0.00979133	0.00874511	0.00932174	0.0115511	0.0133685	0.00407873	0.00579234	0.0100827	0.0134691	0.00928714	0.011218	0.023886	0.0191101	0.0169755
a	0.00815949	0.0103243	0.00714456	0.0137672	0.00801217	0.0173088	0.017732	0.0231662	0.0262015	0.0251929	0.0256147	0.0394153	0.0248581	0.030193	0.0294008	0.0348918	0.0374229	0.0388635	0.0495422	0.0377883	0.0609661	0.0509621	0.0781994	0.0304451	0.0297603	0.0330453	0.0299235	0.0378432	0.0189144	0.0189995	0.0157952	0.0104961	0.0143536	0.0249787	0.0175851	0.0227326
pas	0.0194183	0.0169806	0.0133354	0.0111073	0.010328	0.0099336	0.0109563	0.0105482	0.0113674	0.0086928	0.0152042	0.0116172	0.0117517	0.00738002	0.0138896	0.0155478	0.0311908	0.0456628	0.0626043	0.0577989	0.0596475	0.0537858	0.0664313	0.0428866	0.0832085	0.0473507	0.06345	0.0453536	0.0365523	0.0238418	0.0134857	0.0083374	0.00784295	0.0188417	0.0171552	0.0165138
encore	0.00848994	0.00572231	0.00803102	0.00894514	0.00634326	0.00946004	0.00817724	0.0244809	0.018453	0.0217835	0.0131937	0.0128195	0.0150193	0.0109966	0.0111953	0.00843632	0.00974318	0.0164024	0.0234034	0.0216886	0.0185753	0.0402251	0.0396547	0.0304698	0.0572175	0.056052	0.035496	0.058403	0.0741822	0.0424865	0.0589628	0.0649862	0.0415794	0.0475143	0.0317079	0.0397028
de	0.0090799	0.0119196	0.0132252	0.0125827	0.0147376	0.0110461	0.0156961	0.0156666	0.0129915	0.0151223	0.0132358	0.0180857	0.023348	0.0233921	0.0278666	0.0253481	0.0263757	0.0352669	0.0427703	0.0469495	0.0417919	0.0325748	0.043547	0.0453399	0.025844	0.0353588	0.0214388	0.0289044	0.0453145	0.0280698	0.0294936	0.0275997	0.041429	0.0413527	0.0284093	0.0688256
femme	0.00770913	0.0112752	0.00722227	0.00723916	0.00968197	0.0079528	0.0091786	0.00896301	0.0104579	0.00920486	0.00917457	0.0158635	0.0209179	0.0201756	0.0230818	0.0207296	0.0226482	0.0416904	0.0622749	0.059949	0.0520602	0.0513613	0.0555679	0.0428657	0.0257357	0.0465009	0.0250717	0.0352598	0.0493226	0.0284321	0.0253046	0.0235226	0.0333796	0.0370953	0.026956	0.0561734
il	0.01503	0.0233346	0.0130663	0.0164572	0.017092	0.0158095	0.0130422	0.0110116	0.010393	0.00939841	0.00829314	0.0126901	0.0164148	0.0173142	0.0253866	0.0247559	0.0252381	0.0314308	0.0477042	0.0578255	0.0406069	0.0405935	0.0433877	0.0477879	0.0231676	0.0268239	0.0164215	0.023592	0.0302227	0.018214	0.0251679	0.0266157	0.0458687	0.0578942	0.0443624	0.0775856
ne	0.0225574	0.0237331	0.0298045	0.036833	0.0336975	0.0258806	0.015211	0.0169894	0.0116629	0.0157556	0.010157	0.0115533	0.0120167	0.0121175	0.011353	0.0150053	0.0141865	0.0170004	0.0233924	0.0263329	0.0172393	0.0253861	0.0199757	0.0242854	0.0286698	0.0263958	0.0275177	0.0299982	0.0261497	0.0265493	0.0337033	0.047783	0.0433222	0.0715174	0.0718961	0.0943711
connaît	0.0322987	0.0323519	0.035723	0.0522058	0.0350308	0.0356636	0.0234441	0.0174654	0.013859	0.0238672	0.0146772	0.021003	0.0147574	0.0127992	0.0130219	0.0157871	0.0131319	0.00842738	0.0072081	0.00880974	0.00879208	0.00916052	0.012038	0.0089997	0.0306313	0.0233804	0.0229457	0.0299318	0.0357939	0.0279861	0.0289161	0.0486309	0.0354212	0.0671212	0.0716002	0.107118
