 	á	n	g	a	l	i	w	a	t	í	n	a	á	k	y	e	o	d	í	b	h	i	l	i	</S>
on	0.101832	0.162293	0.0799712	0.07615	0.0323871	0.0316369	0.0181474	0.0225476	0.0247702	0.0215949	0.0382613	0.0361003	0.0293814	0.0363871	0.0375335	0.0404633	0.0459341	0.0374471	0.0220706	0.0235722	0.0226082	0.0271403	0.0134546	0.00803115	0.0102839
l'	0.0146435	0.0167278	0.0171151	0.049061	0.0531533	0.110226	0.0603258	0.0842561	0.0400625	0.0420654	0.0658101	0.0597341	0.0621861	0.0499687	0.0745917	0.0231211	0.0310295	0.0191085	0.0252846	0.0303193	0.020809	0.0117681	0.0143035	0.0116366	0.012692
a	0.0390111	0.0543461	0.047861	0.0564642	0.0289256	0.0332246	0.0196136	0.0394724	0.0375022	0.0628646	0.17488	0.0952337	0.0696429	0.0247303	0.033562	0.0105879	0.00831933	0.0106698	0.0241676	0.0335512	0.022491	0.0197549	0.0152032	0.0176528	0.0202677
grondé	0.0355089	0.0377735	0.02456	0.0322251	0.0159235	0.0217052	0.00832696	0.0134061	0.0164457	0.0457474	0.0573803	0.0718675	0.072603	0.0712494	0.0716215	0.0614822	0.0616611	0.0743137	0.0403485	0.0280112	0.0142818	0.0159168	0.0144461	0.0271138	0.0660808
car	0.0689776	0.0721192	0.0396314	0.0513359	0.0318514	0.0300165	0.0139974	0.0213462	0.0179327	0.0218461	0.0266924	0.0237861	0.0268291	0.0346298	0.0286943	0.0240775	0.0300868	0.0371118	0.0463608	0.0333105	0.0382868	0.0402676	0.0412844	0.0609967	0.138531
il	0.0438489	0.0478618	0.0282254	0.0470799	0.0220782	0.0478148	0.0115384	0.0171937	0.0185407	0.0293364	0.0274793	0.0270782	0.0285348	0.0411763	0.0528705	0.0511242	0.0620372	0.0698783	0.0450401	0.034866	0.0335964	0.0380982	0.0463718	0.0411049	0.0872258
a	0.0268296	0.0210869	0.0146133	0.0199844	0.0178451	0.018939	0.0200503	0.0212654	0.0179706	0.0164987	0.0134603	0.0233456	0.0264956	0.0262173	0.0428899	0.0451921	0.0532896	0.0638008	0.0686267	0.0519974	0.0412046	0.0573432	0.0803727	0.0864037	0.124277
fait	0.041602	0.0278638	0.0197906	0.0282689	0.0215111	0.0278644	0.0165986	0.0169148	0.013951	0.0113389	0.010461	0.018313	0.0251796	0.0197226	0.0357013	0.0375414	0.0501661	0.0545788	0.0466066	0.0519617	0.0571252	0.0575747	0.0766646	0.0900592	0.14264
une	0.041319	0.0326445	0.0303808	0.0345913	0.0213336	0.017725	0.0113741	0.00877721	0.00947589	0.00759331	0.0107021	0.0133321	0.0190418	0.0169488	0.0322401	0.0563584	0.0545322	0.0558396	0.0552577	0.0556996	0.0636919	0.0660043	0.07564	0.102948	0.106549
bêtise	0.0209813	0.0139217	0.0141456	0.0126474	0.0141108	0.00982984	0.00816385	0.0110886	0.00868423	0.00874881	0.0172085	0.0186385	0.0347831	0.0313294	0.0623458	0.0752306	0.0757398	0.0789307	0.0748769	0.0722321	0.0517469	0.0558278	0.0696904	0.075607	0.0834904
</S>	0.0207681	0.0150801	0.0101402	0.0120603	0.00904705	0.00614993	0.00498448	0.00854453	0.00592595	0.0060833	0.00908794	0.00845227	0.0160287	0.0237337	0.0621551	0.0948005	0.0688112	0.113579	0.0859815	0.070047	0.0618024	0.0369851	0.072749	0.067055	0.109948
