 	i	k	á	n	g	a	l	í	i	t	á	á	m	á	l	a	m	w	é	s	é	n	d	z	á	á	s	w	é	n	g	é	l	á	a	t	á	á	m	á	l	a	k	ó	l	i	</S>
le	0.0681667	0.0361069	0.0396535	0.0178611	0.0104058	0.00823532	0.00783542	0.0125415	0.0176736	0.0269988	0.0374127	0.0722957	0.0679988	0.0852062	0.0500613	0.0466945	0.0234768	0.0194288	0.0185133	0.0150078	0.023799	0.0203611	0.0251723	0.0107431	0.00610421	0.00659663	0.00945775	0.00981899	0.012817	0.018166	0.0059017	0.00473276	0.0068749	0.0051148	0.00590578	0.00494514	0.0056738	0.00751858	0.0102959	0.011177	0.0161593	0.0218637	0.011428	0.0211626	0.0133905	0.0126849	0.0105601
soleil	0.102039	0.0864362	0.09511	0.163067	0.134627	0.0588983	0.0383202	0.0397832	0.0156622	0.00769349	0.00453309	0.0056449	0.00285449	0.00749657	0.00403781	0.00979734	0.00265724	0.00197876	0.00242409	0.00253907	0.00561095	0.0042395	0.0058211	0.00278698	0.00416676	0.00435805	0.0054613	0.00273439	0.0100251	0.0236719	0.00605736	0.00477623	0.0157707	0.0202043	0.0120004	0.00779034	0.00848469	0.0106192	0.00869866	0.002976	0.0051096	0.00858021	0.00358835	0.00912292	0.00894004	0.00992808	0.00287644
paraît	0.0297774	0.0210822	0.0219992	0.0190193	0.0224799	0.0186562	0.0194994	0.0296159	0.0120424	0.0134288	0.00850927	0.00242636	0.00255208	0.00281949	0.00156131	0.00362096	0.00268192	0.00279873	0.00367727	0.00436733	0.00478485	0.00580592	0.00963496	0.00572656	0.00474743	0.00589171	0.0111306	0.0076971	0.0132276	0.0226886	0.0388804	0.0380174	0.0683019	0.052517	0.0796856	0.0773236	0.0706918	0.055811	0.0858313	0.023891	0.0255795	0.0179591	0.00852536	0.00855455	0.00476285	0.00673708	0.00297965
le	0.0129117	0.0357441	0.0458387	0.048808	0.0592751	0.0570415	0.0506875	0.0519913	0.0375285	0.0232662	0.0211025	0.0205701	0.0378217	0.0382742	0.0212798	0.00929228	0.0113672	0.0060681	0.00811512	0.00872887	0.0066582	0.00673332	0.00573119	0.0112529	0.0108209	0.0114508	0.0120057	0.00963733	0.0148489	0.01144	0.053888	0.0409393	0.025043	0.0265882	0.0319552	0.0318293	0.0246865	0.0153329	0.00666081	0.00300132	0.00376321	0.00281597	0.00246162	0.00392813	0.00264211	0.00437973	0.0137931
jour	0.0782607	0.0726869	0.0760451	0.0461689	0.0335563	0.0182477	0.0211822	0.0283757	0.0346297	0.0237726	0.0173111	0.0193835	0.0159467	0.0188925	0.00857949	0.0223157	0.0323356	0.0230513	0.0170199	0.0253263	0.0186872	0.0127638	0.0100111	0.0128085	0.0111128	0.0107039	0.00989296	0.00888435	0.0126733	0.0190943	0.0164242	0.0326137	0.028229	0.0202739	0.0232603	0.0119338	0.0170354	0.00489194	0.00594139	0.00613364	0.00628885	0.00474351	0.00684817	0.011134	0.00931066	0.0117764	0.0234411
et	0.0303738	0.0268707	0.0208745	0.0232292	0.023157	0.0229219	0.0192406	0.0229192	0.0248562	0.0244923	0.0220879	0.0178415	0.0156516	0.0225072	0.0239377	0.018501	0.0221343	0.010708	0.0089563	0.00799656	0.0161354	0.0166959	0.0169548	0.0235233	0.0158261	0.016901	0.0199444	0.011778	0.0144665	0.0258679	0.0182192	0.012443	0.0191414	0.0102395	0.00663985	0.00375473	0.00499853	0.00269408	0.00277946	0.0183824	0.0263451	0.0250409	0.0270528	0.0385584	0.0643796	0.0524476	0.0795328
la	0.0160349	0.0120903	0.0100638	0.0120629	0.012091	0.0131054	0.0116498	0.0132026	0.011898	0.0140934	0.0146726	0.00853961	0.00765278	0.00747999	0.00822058	0.00710781	0.0093504	0.00882827	0.00695589	0.00838641	0.0102342	0.0123363	0.0174609	0.030373	0.0601038	0.0615144	0.0613406	0.0276645	0.0425404	0.0284515	0.0236012	0.0174295	0.0256243	0.0173656	0.00791954	0.00803469	0.0116719	0.00528831	0.00445652	0.0160117	0.0357081	0.0335174	0.0329401	0.0552848	0.0517308	0.0521624	0.0357469
lune	0.0264478	0.0239228	0.019775	0.0252406	0.0300863	0.0241269	0.0155238	0.0229167	0.0264055	0.0237136	0.0217119	0.0159352	0.0140083	0.014722	0.0151253	0.0182912	0.0274028	0.0123113	0.0164255	0.0159945	0.0356136	0.0394017	0.0251992	0.0510957	0.0428038	0.0422221	0.0359297	0.0173778	0.022313	0.02246	0.00834763	0.0102694	0.0187687	0.0130354	0.0091609	0.00711315	0.00698895	0.00501235	0.00458719	0.00537408	0.0122053	0.012424	0.00854201	0.0192151	0.0150931	0.0337552	0.0656038
la	0.0154562	0.0145263	0.0135554	0.0184232	0.0179581	0.0157347	0.0103244	0.0142077	0.0135791	0.0124855	0.00888568	0.00666248	0.00589519	0.00583895	0.00711052	0.00858012	0.0166414	0.00937123	0.0135229	0.0220817	0.0364652	0.0428053	0.0356291	0.0783603	0.0786511	0.0726215	0.0608956	0.0342345	0.0434944	0.0317248	0.0200878	0.0238401	0.0229729	0.0107299	0.00825444	0.00891657	0.00655995	0.00414737	0.0034931	0.00444627	0.00607513	0.00567921	0.00527626	0.0114174	0.00849519	0.0259131	0.0579727
nuit	0.0541038	0.0361027	0.0248698	0.0167591	0.00976376	0.00620754	0.00578813	0.0091721	0.00721921	0.00748943	0.00819604	0.00652776	0.00546802	0.00576001	0.00602376	0.00855146	0.0169058	0.010674	0.0198766	0.0364227	0.0379042	0.0406883	0.0433033	0.0534783	0.0703481	0.0597738	0.0440435	0.0260465	0.0261218	0.0231234	0.0105683	0.0150769	0.0174221	0.0101529	0.00727084	0.00576734	0.00569402	0.00347777	0.0043325	0.00432937	0.0158657	0.0120494	0.0116532	0.0231134	0.0149471	0.0286534	0.0829129
</S>	0.036369	0.0376897	0.0276666	0.0252901	0.0153784	0.0153213	0.0120163	0.0111696	0.0100569	0.00963768	0.00709223	0.00433716	0.00438007	0.00338227	0.00371169	0.00276311	0.00694406	0.00603913	0.00912401	0.0183064	0.0272999	0.0235135	0.0137011	0.0505934	0.0164234	0.0244427	0.0321469	0.0225856	0.0281221	0.0296438	0.0180814	0.0156139	0.0317363	0.0293605	0.0210896	0.00960284	0.0163751	0.00653326	0.00815144	0.0109656	0.0303307	0.0191921	0.0334523	0.0304423	0.0315098	0.0465295	0.105885
