 	n	g	á	í	k	w	e	r	i	y	a	n	d	z	a	s	á	k	ώ	</S>
j'	0.116553	0.319007	0.11955	0.191386	0.0444875	0.011281	0.00664651	0.0111091	0.00851981	0.0165248	0.0211894	0.0264751	0.0232339	0.0151335	0.0136838	0.0106001	0.0135995	0.00932638	0.00923011	0.0124641
ai	0.0581765	0.0293665	0.0334051	0.0492012	0.0416653	0.0667998	0.0826791	0.182154	0.0714982	0.0300935	0.0234795	0.0183097	0.01604	0.0180287	0.017207	0.0238847	0.0187729	0.0254078	0.0531971	0.140634
abattu	0.145118	0.0552693	0.0347491	0.0202781	0.0542738	0.0426376	0.0422044	0.0347174	0.0425813	0.042898	0.0451221	0.0494146	0.036256	0.0557806	0.047288	0.054923	0.0522843	0.0620604	0.0478908	0.0342535
l'	0.0513977	0.0425998	0.0210148	0.0198079	0.0408303	0.0464198	0.0474005	0.0538899	0.0304354	0.0379418	0.0295534	0.0268227	0.0249049	0.0216244	0.0339855	0.0644133	0.068974	0.0879758	0.122687	0.127321
arbre	0.0106994	0.0130807	0.0114219	0.0104907	0.0155254	0.0302026	0.0425376	0.0677556	0.0648879	0.0810274	0.0930384	0.0828618	0.0864764	0.0728595	0.0572206	0.051705	0.0378644	0.0440736	0.0513377	0.0749334
yanza	0.00640167	0.00529006	0.00658677	0.00703323	0.0117647	0.0191544	0.0224729	0.0314665	0.0411307	0.047222	0.0486714	0.0541659	0.0705336	0.0762823	0.0736289	0.0911813	0.0841881	0.0899466	0.105521	0.107358
dans	0.0574936	0.0331716	0.0259076	0.015416	0.014504	0.0227187	0.0317373	0.0266585	0.0298813	0.029284	0.0282895	0.0313728	0.0409297	0.0506761	0.0635641	0.0729669	0.0941517	0.100879	0.09518	0.135218
la	0.118183	0.0629468	0.0534886	0.0292077	0.0169068	0.0250274	0.0322619	0.0242356	0.0220899	0.0192165	0.0223283	0.0259783	0.0290464	0.0400678	0.0525172	0.0595429	0.0808965	0.0923765	0.0824225	0.111259
forêt	0.0421057	0.0311503	0.0335386	0.0283533	0.0322829	0.0238244	0.012664	0.0105714	0.00693226	0.00990426	0.0173518	0.031207	0.0403022	0.0514699	0.0516606	0.0653863	0.0686337	0.113861	0.151506	0.177294
</S>	0.0411683	0.0194609	0.0167694	0.022415	0.0259791	0.0234302	0.0206956	0.0178431	0.0140463	0.0158691	0.0216696	0.0239215	0.0274404	0.0443687	0.0533628	0.0893478	0.111451	0.125676	0.133985	0.1511
