 	m	ó	y	e	e	r	á	t	s	e	r	i	y	é	é	d	i	m	ó	n	ω	ω	m	á	n	d	é	e	y	í	i	</S>
ramasse	0.00660246	0.00934673	0.00859883	0.0113122	0.0148898	0.0184386	0.0237897	0.0318996	0.0382307	0.0417352	0.058077	0.112825	0.16148	0.157273	0.0748929	0.0410512	0.0287081	0.0204361	0.0127943	0.00947036	0.0112545	0.0119197	0.0090067	0.00744655	0.00716431	0.00728782	0.00768292	0.00767448	0.00901063	0.0101858	0.0150516	0.0144626
les	0.0482097	0.0344495	0.0270106	0.0200043	0.0188596	0.0134018	0.0185453	0.0174209	0.0214733	0.0346305	0.049464	0.0761609	0.049716	0.0460046	0.0577067	0.0337872	0.0213651	0.0236687	0.0447658	0.0629868	0.0732358	0.0615166	0.0333705	0.0546647	0.0217229	0.00917932	0.00458939	0.00323535	0.0074845	0.00226954	0.00541327	0.00368681
ordures	0.0421809	0.0323609	0.0236336	0.0275212	0.0198712	0.0204771	0.0158551	0.00900368	0.0131754	0.0161149	0.0183954	0.0151251	0.0138209	0.017058	0.0147441	0.0331769	0.0330771	0.0248194	0.0321371	0.0326847	0.0406736	0.05055	0.0438713	0.070962	0.0535215	0.036341	0.0335763	0.0232184	0.0554893	0.0369809	0.0726005	0.0269828
qui	0.0501183	0.0537407	0.0380067	0.0263853	0.0207381	0.0113803	0.00727015	0.00618384	0.00881787	0.0157107	0.0231324	0.0214174	0.0177783	0.0236315	0.0365236	0.0539793	0.051902	0.0490325	0.0775268	0.071136	0.0485607	0.0366227	0.0243517	0.0372989	0.024383	0.0170983	0.0155018	0.00738312	0.028584	0.0165652	0.03092	0.0483188
sont	0.0417697	0.0310459	0.0325889	0.0269409	0.0203982	0.0214524	0.0227577	0.0182696	0.0183173	0.0116184	0.00855202	0.00972975	0.00974267	0.0112231	0.0105745	0.0141483	0.0307724	0.0296209	0.0442427	0.047844	0.0432394	0.0354868	0.0435086	0.0448354	0.0419324	0.0429651	0.0520631	0.0543134	0.046718	0.0381136	0.034378	0.0608369
à	0.0257892	0.0299692	0.0314913	0.0329215	0.0253865	0.0250144	0.0299709	0.0290258	0.0362832	0.0262813	0.0198007	0.0246695	0.0274273	0.0280772	0.028024	0.0253563	0.0458974	0.0386148	0.0436859	0.0438646	0.0364346	0.0325928	0.0361265	0.0320219	0.0305502	0.0280779	0.0289806	0.0328401	0.0280739	0.0245876	0.026553	0.0456102
l'	0.0412102	0.0292595	0.0199265	0.018154	0.0140507	0.0170081	0.01883	0.019641	0.0226422	0.0196966	0.0158428	0.0190049	0.0196221	0.0278505	0.0329334	0.0315268	0.0621347	0.0389395	0.0465541	0.0533389	0.0378997	0.032356	0.0407801	0.039611	0.0365002	0.032718	0.0342891	0.0319214	0.0340835	0.0312759	0.0337283	0.0466701
entrée	0.0451191	0.0315183	0.0285322	0.0231943	0.0145615	0.00839213	0.0089622	0.00948511	0.0151125	0.0177416	0.0186238	0.0211309	0.0213755	0.0185446	0.023168	0.0361106	0.0400911	0.031134	0.0350709	0.036481	0.0341237	0.0324468	0.0371834	0.0423979	0.0464667	0.0470206	0.0386875	0.0399155	0.0539678	0.0506422	0.0408543	0.0519443
de	0.0545303	0.0289067	0.0211341	0.0159591	0.0125306	0.0173082	0.0174203	0.0140678	0.0191998	0.0159896	0.0107453	0.0106882	0.00984619	0.0116107	0.00888715	0.0186403	0.0352529	0.0227683	0.0370158	0.0648836	0.0621203	0.0647285	0.047478	0.0599192	0.0525492	0.0304686	0.0258092	0.0342763	0.0464081	0.0298134	0.0309945	0.0680497
la	0.0676058	0.0428504	0.0319348	0.020611	0.0158225	0.0109643	0.00813607	0.00777674	0.00890723	0.00893914	0.00732829	0.00586863	0.0058971	0.00652546	0.00516742	0.0103076	0.0124031	0.0110371	0.0128648	0.0158241	0.0153884	0.023335	0.022415	0.0344398	0.0501387	0.0596098	0.042493	0.0577513	0.0840192	0.085219	0.0891445	0.119275
maison	0.0507111	0.0347848	0.0277558	0.0147549	0.00835742	0.00414575	0.00339782	0.00323716	0.0035546	0.00386914	0.0036705	0.00349259	0.00344316	0.00392907	0.00620371	0.0098858	0.00879634	0.01076	0.0215392	0.0242492	0.0282423	0.044961	0.0379315	0.0476902	0.0593387	0.0467901	0.0444896	0.0411442	0.073709	0.0805762	0.0763749	0.168214
</S>	0.0589021	0.040011	0.0328938	0.0193372	0.0110371	0.0047208	0.00314499	0.00289963	0.00350885	0.0040286	0.00367048	0.00341645	0.00313243	0.00462833	0.00933176	0.0101309	0.0111254	0.0157045	0.0201166	0.0176655	0.0198437	0.0262892	0.0202453	0.0256368	0.0359899	0.0382749	0.0399275	0.0605675	0.0852735	0.0914951	0.0957427	0.181307
