 	á	s	ε	r	i	t	s	a	n	g	e	y	á	l	e	k	ú	l	a	w	a	s	á	p	o	o	</S>
on	0.407198	0.366965	0.0351198	0.00946008	0.00875895	0.0107132	0.00812082	0.0173932	0.0126854	0.011401	0.00779629	0.0108157	0.0144829	0.011992	0.0114205	0.00910977	0.00670281	0.00449044	0.00429811	0.00424618	0.00340703	0.00338475	0.00330083	0.00680246	0.00353282	0.0039371	0.00246542
a	0.0156746	0.0260164	0.052593	0.026214	0.0767161	0.104743	0.0926603	0.0821405	0.07737	0.0669074	0.0959319	0.099411	0.0547973	0.0484623	0.0238824	0.010969	0.004509	0.00393511	0.00407335	0.00190194	0.00635299	0.00253808	0.00291806	0.0049869	0.00358481	0.00559806	0.00511251
annoncé	0.0159732	0.0109666	0.0259302	0.0237438	0.0277662	0.0345934	0.0511055	0.0561153	0.0632976	0.0544138	0.0869433	0.0930599	0.0740827	0.0676769	0.0521631	0.0408849	0.048476	0.0432872	0.0301662	0.016902	0.0127111	0.0119799	0.0113625	0.0102799	0.0131995	0.0144888	0.00843075
la	0.0139584	0.0184115	0.0269549	0.0387686	0.0352926	0.0453136	0.0434701	0.0380369	0.0557369	0.0579348	0.0502526	0.0541499	0.0432772	0.032655	0.0339133	0.0383241	0.0372247	0.0385642	0.0488224	0.0164104	0.0232968	0.0284484	0.026653	0.0296112	0.0391766	0.0419164	0.0434255
nouvelle	0.0263339	0.0236313	0.0300219	0.0329286	0.0398487	0.0480067	0.0349918	0.0360054	0.054485	0.0525155	0.0441172	0.0560848	0.0483115	0.0630534	0.0624398	0.0536315	0.0395647	0.016455	0.0205886	0.00576517	0.0268095	0.018902	0.0172591	0.026535	0.026739	0.0410284	0.0539464
de	0.0151996	0.0155139	0.0175444	0.0187918	0.0179272	0.0178344	0.0179296	0.0185174	0.0212871	0.0233046	0.0245463	0.0294563	0.025441	0.0297624	0.0324218	0.0348081	0.0583029	0.0603823	0.0718035	0.0180545	0.0739894	0.0518927	0.033442	0.0577916	0.0693085	0.0713768	0.0733698
sa	0.0230287	0.0251443	0.0246398	0.026913	0.0299559	0.0319851	0.0295766	0.0285974	0.0363537	0.0392281	0.0319362	0.032135	0.0304208	0.0296458	0.0290246	0.0280739	0.0294575	0.0285431	0.0467732	0.0144991	0.0437475	0.0489853	0.0251399	0.0581357	0.0665052	0.0648226	0.0967321
mort	0.0286287	0.0280343	0.0288771	0.0290925	0.0290345	0.0293772	0.0284175	0.0272028	0.0158299	0.015667	0.01486	0.0170368	0.0157048	0.0205003	0.027939	0.0415538	0.0497572	0.0275636	0.0411646	0.0232676	0.0562816	0.0431599	0.0234472	0.0575543	0.0792065	0.0993269	0.101514
dans	0.022532	0.023279	0.0240331	0.0235083	0.023984	0.0239881	0.0239069	0.0236631	0.0241765	0.0242218	0.0246276	0.0274932	0.0242751	0.0242555	0.0241369	0.0239537	0.0242542	0.0294109	0.0401753	0.0412907	0.0549754	0.0655355	0.0612835	0.069873	0.0661404	0.0769534	0.0840731
le	0.0281965	0.0258588	0.0331345	0.0273822	0.0335728	0.036467	0.0314886	0.0316407	0.0456907	0.0482592	0.0357426	0.0362895	0.0322786	0.0276143	0.0163191	0.0152678	0.0168338	0.0242297	0.0292694	0.0483526	0.047097	0.0479908	0.0554939	0.0355341	0.051903	0.0604699	0.0776229
village	0.0228906	0.0226096	0.0238976	0.0254883	0.0313995	0.031321	0.0302166	0.0322464	0.0153944	0.012424	0.0108701	0.0110249	0.0122241	0.0147861	0.0138924	0.0135018	0.0129724	0.0201678	0.0311335	0.0411793	0.0622408	0.0640317	0.0787247	0.0823113	0.0724678	0.100593	0.109991
</S>	0.0284382	0.0238847	0.0258394	0.0259504	0.0242355	0.0248632	0.0193431	0.019142	0.0203976	0.0161858	0.016413	0.0246977	0.0215362	0.0398154	0.030777	0.0333589	0.0306993	0.0380971	0.0423255	0.0655209	0.0594953	0.0513582	0.0491496	0.0525022	0.04647	0.0739524	0.0955514
