 	m	w	ε	n	έ	o	k	ú	m	ú	á	t	í	n	d	i	o	n	g	ó	n	d	z	a	a	k	ω	n	g	ώ	m	á	f	i	a	</S>
le	0.0113551	0.0141096	0.00845786	0.00986032	0.00947283	0.0169734	0.0216611	0.0166863	0.0192508	0.0207799	0.0347931	0.0585918	0.0912457	0.0849186	0.069474	0.0430742	0.0306453	0.0202301	0.017112	0.0185461	0.015746	0.0290551	0.0187788	0.023723	0.0276052	0.0189494	0.0225401	0.0166241	0.0272804	0.0177806	0.0188499	0.0306326	0.0242445	0.0322341	0.0293071	0.0294108
notable	0.0492608	0.0370308	0.167055	0.217335	0.14198	0.143436	0.10257	0.0456448	0.0262661	0.0172689	0.00681851	0.0048087	0.00409503	0.0024608	0.00169663	0.00111461	0.000722518	0.000655588	0.000729465	0.00120431	0.000594526	0.000924796	0.000956466	0.00215674	0.00115339	0.00268486	0.00263368	0.00233012	0.00219869	0.00254525	0.00248258	0.0021038	0.00195995	0.00196699	0.000490428	0.000663958
okoumou	0.0259338	0.0163362	0.0321848	0.0305129	0.0172467	0.0128623	0.0152037	0.022523	0.0150861	0.0145518	0.0134837	0.00786591	0.0101528	0.0143144	0.0220565	0.0288622	0.0184891	0.0253502	0.0287967	0.0271748	0.0410572	0.0560219	0.0791812	0.0506296	0.0680292	0.0618977	0.0506211	0.0659613	0.0261682	0.0261635	0.0264888	0.0149161	0.0100204	0.0103374	0.0085596	0.00495913
a	0.0296326	0.0204132	0.0224328	0.0273529	0.0351013	0.0459238	0.0465695	0.0484772	0.0455739	0.0449637	0.0534662	0.0357907	0.0187573	0.0126754	0.0238583	0.0390553	0.0234295	0.0274586	0.0327119	0.0279571	0.034931	0.0320844	0.0319103	0.0222476	0.016842	0.010896	0.0105716	0.0158838	0.00615705	0.0125704	0.0186394	0.0153527	0.0145194	0.0156691	0.0264171	0.0537071
envoyé	0.0474441	0.0208701	0.0190654	0.0188786	0.0165856	0.0151034	0.0145519	0.0186895	0.0200605	0.0228537	0.0289878	0.0356774	0.0332352	0.0293305	0.0263103	0.0289804	0.020928	0.0177852	0.0243151	0.0276422	0.0151244	0.0194546	0.0175326	0.0207699	0.0168674	0.0231539	0.0227687	0.026558	0.0246115	0.0434799	0.0416907	0.0452949	0.0481708	0.0565702	0.0371528	0.0535048
les	0.0110757	0.0151712	0.0134065	0.0138866	0.0144884	0.0143574	0.0158402	0.0166996	0.0240509	0.0191573	0.0209795	0.0243656	0.0224944	0.0171206	0.0174849	0.024711	0.0224904	0.0195513	0.0226511	0.0378415	0.0179693	0.0255066	0.0170838	0.037639	0.0254009	0.0358985	0.041595	0.0430576	0.0295792	0.0736932	0.0605135	0.0565934	0.0453915	0.0496845	0.0180018	0.0345683
masques	0.0229326	0.0196182	0.0154378	0.0145496	0.0152592	0.0129028	0.0152026	0.012477	0.0126397	0.0113759	0.0145148	0.0156664	0.02416	0.0249606	0.0220612	0.0243175	0.0248828	0.0303223	0.0494497	0.0492576	0.0387298	0.0405351	0.0349886	0.0426417	0.0323744	0.0246792	0.0296814	0.0405399	0.0236386	0.0320086	0.0538994	0.0362936	0.0371242	0.0180155	0.0310092	0.0518524
de	0.0179435	0.0193849	0.00967667	0.00866631	0.0106732	0.00952229	0.0125289	0.0133212	0.0138176	0.00925476	0.00844723	0.00618431	0.00500071	0.00541892	0.00849737	0.0200668	0.0239656	0.0353246	0.0573696	0.0487915	0.0574088	0.0487594	0.0613142	0.057062	0.0436236	0.0326599	0.0350176	0.0475323	0.0177447	0.0309789	0.0471671	0.029379	0.0344105	0.0242967	0.0391129	0.0496763
kyebé-kyebé	0.0353383	0.0287948	0.0182217	0.0142104	0.0130015	0.00908219	0.00797005	0.00581468	0.00446357	0.00370757	0.00449058	0.00589064	0.00396258	0.00452249	0.00628489	0.0114419	0.0149208	0.0225401	0.0448998	0.0410857	0.0411256	0.0349814	0.0349297	0.0348036	0.0346691	0.0488699	0.0447277	0.0503579	0.0391335	0.0455381	0.0488744	0.0389764	0.0468084	0.0476561	0.0516668	0.056237
à	0.0435011	0.0209465	0.0122801	0.00821789	0.00763074	0.005968	0.00531992	0.0039036	0.00422942	0.0037739	0.00441346	0.00495128	0.00409071	0.007085	0.009671	0.0167853	0.0188066	0.0284472	0.0679323	0.0542888	0.0545668	0.0452637	0.0405592	0.0502822	0.0445187	0.0570235	0.0448222	0.0502669	0.0243413	0.0354005	0.0425272	0.0229778	0.0271543	0.0258577	0.0324538	0.0697414
ongonza	0.0478501	0.035104	0.0295724	0.0198106	0.0149117	0.00749903	0.00489207	0.00375938	0.00315855	0.0022609	0.00208597	0.00206142	0.00132056	0.00270224	0.00644344	0.015293	0.0234968	0.0307551	0.0470332	0.0365151	0.0337985	0.0307131	0.0286618	0.0260856	0.0222481	0.0241835	0.0219162	0.0240516	0.0201878	0.0315796	0.0415604	0.037846	0.0634102	0.0437701	0.0904949	0.122967
</S>	0.0543171	0.038788	0.0251563	0.0152507	0.0137357	0.00691841	0.0046731	0.00269135	0.00237676	0.00277215	0.00331079	0.0030909	0.00265536	0.00483268	0.00968627	0.020384	0.0230486	0.0263565	0.026323	0.0208601	0.0232899	0.022796	0.0214791	0.0214954	0.0297661	0.0477216	0.0441047	0.0584677	0.0520681	0.0544601	0.0689054	0.0436085	0.0437207	0.0265453	0.0621383	0.0722054
