 	a	b	a	a	r	é	b	á	a	t	ώ	ώ	n	g	ώ	m	ó	o	n	d	i	e	m	ó	ó	t	u	b	h	á	e	b	h	ó	y	á	</S>
on	0.0942854	0.168347	0.172447	0.0320577	0.00917627	0.0204052	0.0136296	0.0189148	0.0231685	0.0185181	0.0489571	0.0444727	0.0336349	0.0239905	0.0165383	0.0276799	0.00951929	0.00853833	0.00547059	0.00732664	0.00559923	0.00832976	0.00874794	0.00868567	0.0098145	0.0122581	0.0121809	0.0103472	0.0122188	0.0123627	0.0112748	0.0117037	0.01465	0.0183117	0.0172485	0.0156305	0.0135579
ramasse	0.0168585	0.0203469	0.02137	0.0607776	0.0673211	0.0584764	0.0581877	0.0423934	0.0379209	0.0347281	0.0258929	0.018001	0.0226581	0.0251624	0.015599	0.019286	0.0300835	0.0419581	0.0358416	0.0269589	0.0488571	0.0303292	0.024513	0.0219102	0.0172213	0.016881	0.0157493	0.0151376	0.0201139	0.0189179	0.0267481	0.0182686	0.0108412	0.00924764	0.00795631	0.0075614	0.00992412
les	0.0107261	0.0118201	0.0175128	0.0190699	0.0129186	0.0113855	0.0183464	0.024556	0.0196667	0.0286486	0.0293682	0.0259981	0.0186778	0.0103193	0.011188	0.0137984	0.023519	0.0238264	0.0244849	0.0328863	0.0476924	0.0449989	0.0479004	0.0626236	0.0643449	0.0432676	0.0416926	0.0462091	0.0280441	0.0331983	0.0255232	0.0190969	0.0262076	0.0277801	0.0208723	0.0210221	0.0108091
fruits	0.0191824	0.0217281	0.0177022	0.0162621	0.0136526	0.0127392	0.0137618	0.0128363	0.0112173	0.0132882	0.0115168	0.0121287	0.0130665	0.00971826	0.0143009	0.0135139	0.0151058	0.0164917	0.0239345	0.0283075	0.0499965	0.0353138	0.0413817	0.0443766	0.0387817	0.0467936	0.044723	0.0563391	0.0691728	0.0593817	0.0496762	0.0399503	0.0294553	0.0221611	0.0137521	0.0172572	0.0310325
de	0.0159913	0.0119579	0.00950389	0.0112469	0.010234	0.0127802	0.0174666	0.0217008	0.0270911	0.0254963	0.025474	0.0346557	0.0262051	0.0271429	0.0384066	0.0330018	0.0671331	0.075266	0.0576628	0.0464775	0.0262004	0.0299387	0.0181118	0.0189428	0.0194968	0.0169003	0.017977	0.0140862	0.020377	0.0175123	0.0243748	0.0267981	0.0245822	0.0226215	0.0260354	0.0324694	0.0486805
l'	0.0162381	0.0133607	0.0146229	0.0187327	0.0207971	0.0236044	0.027661	0.0276787	0.0281751	0.0283125	0.0247235	0.0335596	0.0243062	0.0399245	0.0728398	0.0811277	0.112744	0.0723171	0.0493329	0.0242366	0.0100914	0.0120816	0.00759913	0.0078135	0.00801201	0.00730022	0.0120119	0.0122716	0.0154525	0.0227046	0.0195572	0.0159724	0.0181099	0.0168627	0.0180872	0.0172888	0.024488
arbre	0.0101214	0.00607728	0.0038377	0.00777092	0.00896909	0.0116778	0.0257991	0.0181587	0.0167983	0.0175956	0.0111211	0.0149204	0.0166664	0.0181757	0.026517	0.0277185	0.0348081	0.0345942	0.0300756	0.0263128	0.0354563	0.0260117	0.0248912	0.025467	0.0311463	0.0322447	0.0429039	0.0326582	0.0542702	0.0504545	0.0349228	0.0320684	0.0321385	0.0392846	0.0405301	0.0440823	0.0537536
obaaré	0.00667172	0.00595878	0.00524551	0.006095	0.0058151	0.00659067	0.0104856	0.0110047	0.012763	0.0116221	0.00805609	0.011669	0.00871447	0.0152167	0.0203525	0.0244182	0.0410089	0.0452366	0.0515839	0.0430576	0.0361373	0.0346501	0.0305355	0.0310572	0.0383902	0.0314474	0.0385754	0.0291757	0.0449341	0.0455133	0.0453401	0.0417393	0.0359816	0.0367237	0.0367832	0.0435696	0.04788
en	0.0252834	0.0158477	0.0124366	0.0178383	0.0196302	0.0148744	0.0181317	0.0137853	0.0115998	0.013206	0.00893177	0.0108825	0.0139433	0.0138731	0.0267357	0.0285326	0.050169	0.0491009	0.0502093	0.0338684	0.0422683	0.0387681	0.04023	0.0383719	0.0345748	0.0304063	0.0306208	0.0277773	0.0286026	0.0254803	0.0270998	0.0231915	0.0160784	0.0180421	0.028128	0.0340081	0.0674715
début	0.0162507	0.0107524	0.0110244	0.0120312	0.00745408	0.00826027	0.0103889	0.0107814	0.00806457	0.0107566	0.00795448	0.00908623	0.0107735	0.010806	0.021041	0.0208408	0.0431151	0.0434912	0.0522451	0.0383765	0.0507871	0.0480644	0.0537007	0.0576087	0.0429652	0.0214321	0.0203699	0.0178437	0.019046	0.0182039	0.023505	0.025203	0.0172355	0.0270317	0.0337223	0.0434762	0.11631
de	0.00813293	0.00594161	0.00562066	0.00996105	0.00914626	0.0125614	0.0150707	0.0122133	0.00901655	0.00839207	0.00578063	0.00681254	0.00598036	0.0127563	0.0193048	0.0152022	0.0356145	0.0304564	0.0301084	0.0328554	0.0445965	0.0303258	0.0251198	0.0345213	0.0414011	0.0335045	0.0312182	0.0238044	0.0311828	0.0237719	0.0262977	0.0328674	0.0300054	0.0349538	0.0465584	0.0781266	0.140816
la	0.026729	0.0225374	0.0217476	0.0216794	0.0199321	0.0120778	0.00994511	0.00870993	0.008565	0.00866835	0.008257	0.00843503	0.00866183	0.00895974	0.0100897	0.0103599	0.0139957	0.0156888	0.0143512	0.0193678	0.03305	0.0175413	0.015853	0.0209347	0.0282786	0.0280496	0.0325831	0.0298483	0.0328009	0.0270188	0.0338275	0.0438437	0.0349816	0.049692	0.0564293	0.0875711	0.148938
