 	m	o	r	o	w	ó	a	d	í	l	i	k	u	n	d	ú	d	i	a	b	v	ú	u	á	m	i	t	ú	r	á	w	á	p	o	o	</S>
cet	0.00449146	0.00628439	0.00511913	0.00769071	0.00336393	0.00284764	0.00272119	0.00434298	0.004448	0.0104688	0.016607	0.024894	0.0462735	0.0478618	0.0262997	0.0325227	0.069337	0.0466419	0.027814	0.0261112	0.0299247	0.03888	0.0342642	0.0261471	0.0328121	0.0336939	0.038516	0.0417656	0.0474125	0.0468864	0.0404024	0.0354669	0.0401929	0.0320479	0.0372795	0.0281667
homme	0.0834439	0.215799	0.14713	0.186878	0.09093	0.0889208	0.0865539	0.0113714	0.0148988	0.00675064	0.00238358	0.00338437	0.00266927	0.00111364	0.00113425	0.00119932	0.00141044	0.00465768	0.00275664	0.00332008	0.00768117	0.00318165	0.00331022	0.00327907	0.00431071	0.0012431	0.00280365	0.00323714	0.00138905	0.00133887	0.00145273	0.00220171	0.00381347	0.00304914	0.000483556	0.000518794
est	0.0353677	0.0711993	0.0635218	0.121392	0.122456	0.0308103	0.0589943	0.0249897	0.0299453	0.0454532	0.0155937	0.014372	0.0186703	0.0136203	0.0146028	0.00994266	0.0106144	0.013016	0.00928277	0.018142	0.0322363	0.0408516	0.0328472	0.0285345	0.0162432	0.016002	0.0139022	0.0122476	0.0129238	0.00877193	0.0102413	0.0061954	0.0076818	0.00597805	0.00709857	0.00625833
un	0.0123439	0.0429291	0.0529368	0.062036	0.0554963	0.0204832	0.0374083	0.02551	0.0539258	0.0469554	0.0316782	0.0396805	0.0393964	0.0347097	0.0334168	0.0212474	0.0339457	0.0334005	0.0389585	0.030474	0.0288781	0.021154	0.0222513	0.0304609	0.0183482	0.0216931	0.0106922	0.0118897	0.00819176	0.00704744	0.00604415	0.0061044	0.00979759	0.0145042	0.0213866	0.0146238
sorcier	0.0184887	0.0289053	0.0266333	0.0196732	0.0235029	0.00962029	0.0140205	0.0219251	0.0142892	0.0143825	0.0137027	0.0118871	0.0175995	0.0233735	0.0275795	0.0414589	0.0320361	0.0418287	0.0446976	0.0440511	0.0441488	0.0312976	0.0444699	0.0483357	0.0536519	0.0320553	0.0363177	0.0365194	0.0186587	0.017616	0.0130188	0.0199411	0.0290865	0.0261069	0.0261877	0.0329324
c'	0.0628882	0.0480071	0.0304972	0.0297447	0.0308984	0.00982057	0.015973	0.0224286	0.0183059	0.0255193	0.0207018	0.0169318	0.0225871	0.0170939	0.0214283	0.0196659	0.0224043	0.0236313	0.0333913	0.0242534	0.0335225	0.0163302	0.0373472	0.0646112	0.0330703	0.0409681	0.0303489	0.0416921	0.0129161	0.0106615	0.00617641	0.0105294	0.0286384	0.0341158	0.0284618	0.0544379
est	0.0197323	0.0187409	0.0211236	0.0298478	0.0281033	0.0133878	0.0209629	0.0466341	0.0392641	0.0205869	0.0252838	0.0146067	0.0184655	0.0200505	0.0183619	0.0284711	0.0271734	0.0409127	0.0137803	0.0190391	0.0253777	0.0204613	0.0335221	0.0555949	0.0316509	0.0389395	0.0476306	0.0532692	0.0401021	0.0353314	0.0259448	0.0156202	0.0269844	0.0215475	0.0170702	0.0264247
pourquoi	0.0669331	0.0583302	0.0433422	0.0584009	0.047496	0.0221742	0.0203645	0.0244601	0.0185743	0.0122328	0.0131088	0.0214561	0.0294803	0.0283681	0.0220472	0.0257968	0.0250429	0.0304414	0.0167863	0.027319	0.0329823	0.0212576	0.0279059	0.029372	0.031841	0.0111108	0.0160972	0.0184243	0.00721251	0.0087346	0.00872842	0.0147865	0.0170465	0.0271199	0.0236678	0.0915575
on	0.0851158	0.0667221	0.0546934	0.0472998	0.0421038	0.0131203	0.0179688	0.0191274	0.0164238	0.0173994	0.0164336	0.0154739	0.0221203	0.0250557	0.023741	0.0327179	0.0283549	0.0315233	0.021248	0.028105	0.0154889	0.0113271	0.0175247	0.0183225	0.0200388	0.00565229	0.0116926	0.0166492	0.00952628	0.0116804	0.0108398	0.0109501	0.0320061	0.0497129	0.0533026	0.0805376
l'	0.0979224	0.0532665	0.0258535	0.0289029	0.0217259	0.013497	0.0132521	0.00694667	0.00829461	0.00656949	0.00495971	0.0100403	0.0130264	0.0132788	0.0118248	0.0204207	0.0196832	0.0275326	0.0257057	0.0245595	0.0293224	0.0206521	0.0270545	0.0252833	0.0263712	0.0134441	0.026663	0.0295012	0.0154806	0.0228325	0.0165739	0.0299361	0.0429945	0.0503349	0.057296	0.118997
a	0.0490495	0.046442	0.0380839	0.0280931	0.0226	0.00770752	0.00785366	0.00462859	0.0108962	0.00478756	0.00779104	0.0126541	0.0145771	0.0166989	0.0146046	0.0197396	0.0178794	0.0274588	0.017869	0.0398455	0.0425496	0.0438801	0.039697	0.0256927	0.0446718	0.00987307	0.0232946	0.0260616	0.0113256	0.0155322	0.0154622	0.0338202	0.0500265	0.0566938	0.0621841	0.0899751
chassé	0.206058	0.154981	0.0903592	0.0581752	0.0378192	0.0106214	0.00867474	0.00292636	0.00438583	0.00433712	0.00503112	0.0058911	0.00504163	0.00527179	0.00590534	0.00809963	0.00691918	0.00811155	0.00948693	0.0106417	0.0135898	0.0101817	0.0126485	0.0133938	0.0100961	0.00909036	0.00817435	0.00863299	0.0114069	0.0125754	0.0210496	0.0293904	0.0221658	0.047297	0.0387521	0.0828168
du	0.0467949	0.04578	0.0331536	0.0286142	0.0220302	0.00988847	0.00822513	0.00617342	0.012107	0.00620024	0.0088395	0.0120637	0.014026	0.0177019	0.0187386	0.0242278	0.0224532	0.030654	0.0193013	0.0168939	0.0163371	0.0163233	0.0148619	0.0155706	0.0187899	0.0131101	0.0209173	0.0259539	0.0221687	0.0267257	0.0503142	0.0456908	0.0472874	0.0801292	0.0774561	0.104497
village	0.0251497	0.0189365	0.0158089	0.0139752	0.00728203	0.00448171	0.00363332	0.00262133	0.00479511	0.00355176	0.00393551	0.00506873	0.00581688	0.00744504	0.00836885	0.0114095	0.0110491	0.0148072	0.0151146	0.0154048	0.0169498	0.0160483	0.0169703	0.0181643	0.0211927	0.0172589	0.0286589	0.0330055	0.0324011	0.0402665	0.0638394	0.0938931	0.0745287	0.125339	0.0872504	0.115577
</S>	0.119536	0.0882092	0.0494636	0.0348005	0.0371298	0.0154604	0.0148901	0.0112856	0.0130557	0.00725127	0.00620867	0.0074873	0.005968	0.0058168	0.00451709	0.00814008	0.00420631	0.00892421	0.00415168	0.00574407	0.0100054	0.00739231	0.00734617	0.0103795	0.0119197	0.00748146	0.0144574	0.0165214	0.0178608	0.0200759	0.0403327	0.0358165	0.0508499	0.0625236	0.102816	0.131974
