 	w	a	á	y	í	i	l	e	l	y	é	m	i	ó	n	d	z	í	e	t	s	í	n	a	á	d	z	é	e	n	d	ó	n	g	ó	</S>
il	0.11478	0.244463	0.212069	0.179642	0.0601654	0.0423587	0.0432027	0.0362079	0.00540557	0.00185832	0.00148213	0.00112319	0.000872272	0.00131942	0.00125794	0.00245562	0.00241003	0.00232251	0.00266321	0.00304552	0.00322336	0.00297331	0.00259868	0.00279152	0.00289227	0.00214673	0.00224252	0.0025251	0.00156778	0.00145873	0.00238052	0.00245787	0.00275533	0.00313298	0.00300626	0.00274266
a	0.0275545	0.021795	0.0186074	0.0620566	0.157453	0.111761	0.0646513	0.0631456	0.0360163	0.0602157	0.047476	0.0362833	0.0250393	0.049746	0.0179015	0.0351154	0.0117779	0.00999647	0.0175982	0.0158725	0.00462982	0.0063531	0.00483574	0.00645038	0.00848175	0.00731735	0.00780366	0.00846357	0.00691783	0.010323	0.0107907	0.00677197	0.00482021	0.0047399	0.00527951	0.00595833
la	0.00954932	0.0155017	0.0137251	0.0171742	0.0276824	0.0317782	0.0372164	0.0346677	0.0221991	0.0185194	0.0263478	0.0319656	0.0401716	0.0407073	0.0395528	0.0309628	0.0235665	0.049583	0.0439639	0.0355437	0.0318273	0.0652574	0.0415405	0.0456907	0.0407651	0.0254987	0.0212052	0.020978	0.0209895	0.015613	0.0160034	0.0123834	0.0112671	0.0132754	0.0138376	0.0134893
langue	0.00443854	0.00330584	0.00434057	0.004478	0.00670388	0.00499445	0.00615705	0.00821184	0.00727683	0.0059515	0.0124934	0.0103147	0.0106165	0.0129168	0.024006	0.0338782	0.050959	0.048114	0.045535	0.0339569	0.0430976	0.0363178	0.0366643	0.0444588	0.0436576	0.0495356	0.054352	0.0482758	0.0581941	0.0563186	0.0546488	0.0443406	0.0382991	0.0245282	0.01638	0.0122821
pendante	0.00307207	0.00323605	0.00460355	0.00396258	0.00527772	0.00579416	0.00541329	0.00620494	0.0174062	0.0155204	0.0252851	0.0275576	0.0298348	0.0216345	0.0242192	0.0142846	0.0195364	0.0307348	0.0438213	0.0362433	0.0388729	0.0384387	0.042568	0.0459515	0.0480538	0.0533338	0.052561	0.0504069	0.0445358	0.0382365	0.0400958	0.0293115	0.026375	0.0343107	0.0331693	0.0401363
parce	0.00268948	0.00291058	0.00326488	0.00332009	0.00649416	0.00387868	0.00667402	0.00574722	0.0230172	0.0238536	0.02373	0.0235932	0.0364342	0.0227995	0.0305272	0.0190296	0.0236963	0.0334636	0.0275324	0.0382824	0.0454881	0.039319	0.036953	0.0363154	0.0403111	0.0454068	0.0459193	0.0425142	0.0439712	0.0413802	0.0423813	0.031311	0.0307264	0.0330506	0.0318583	0.0521559
qu'	0.0147963	0.0117507	0.0101921	0.0135663	0.0193016	0.0140494	0.014714	0.0188431	0.0329865	0.0411724	0.0345736	0.029156	0.0535033	0.0543108	0.0640354	0.0521757	0.0483761	0.0262529	0.0215592	0.0163021	0.016391	0.0171382	0.0161144	0.0168108	0.0149702	0.0161863	0.02006	0.0185202	0.0188294	0.0161773	0.0183385	0.0231312	0.025891	0.0299715	0.0396819	0.100171
il	0.0137101	0.0149175	0.00825924	0.00937981	0.0129589	0.0158603	0.0163576	0.0186154	0.0247292	0.0270338	0.029203	0.0222951	0.0360048	0.031307	0.0347046	0.0316475	0.034518	0.0221569	0.0234906	0.021075	0.0146805	0.00807664	0.0118212	0.00851027	0.0111206	0.0147149	0.0173651	0.019096	0.0239992	0.0385859	0.0430249	0.0434395	0.052433	0.0573891	0.0722649	0.115254
a	0.0106373	0.0136215	0.00812358	0.0103619	0.0108973	0.0147323	0.00818055	0.00843642	0.0170649	0.0141113	0.0204745	0.0113401	0.0165892	0.0204552	0.0163979	0.0265123	0.0324897	0.0280682	0.027307	0.0275178	0.0220178	0.0130981	0.0160582	0.0155636	0.0186815	0.0226159	0.0309411	0.0238451	0.0376527	0.0536532	0.0547036	0.062449	0.066171	0.0694205	0.070671	0.0791387
mangé	0.00911092	0.0120275	0.00655363	0.00940023	0.0115622	0.00821926	0.00631895	0.00726407	0.00930126	0.0103322	0.013419	0.0103076	0.0157407	0.0397257	0.0335648	0.0368344	0.0311687	0.0447926	0.0760217	0.0513159	0.0334786	0.0258685	0.0236962	0.0144307	0.0239297	0.0226855	0.0312233	0.0261633	0.031815	0.0374199	0.0297177	0.0415688	0.0403971	0.0491698	0.0618337	0.0636208
