 	i	b	ó	r	o	á	b	h	i	á	m	b	v	á	a	w	a	o	p	f	a	k	a	á	t	s	í	n	a	w	a	a	d	í	l	i	l	ω	í	</S>
ses	0.0752149	0.0660608	0.0163199	0.0385417	0.0127656	0.00922969	0.0151487	0.0121433	0.0433291	0.0257919	0.0228081	0.0164906	0.0263416	0.0377575	0.0365151	0.0215916	0.0812913	0.0421452	0.018898	0.0195228	0.0184959	0.0157503	0.0101553	0.0169849	0.0149953	0.0106529	0.00682446	0.00795757	0.0118423	0.0196527	0.0112108	0.00697652	0.0184346	0.0302275	0.0326862	0.024705	0.0319808	0.0291159	0.0232983	0.0201454
parents	0.138737	0.137938	0.134343	0.13855	0.0483686	0.0504501	0.0346312	0.0277897	0.0501858	0.0238528	0.0215837	0.0127946	0.0109678	0.0116011	0.0127049	0.00512278	0.00526826	0.00412235	0.00277073	0.0019114	0.00196076	0.00277965	0.00290835	0.00170645	0.00153458	0.00260648	0.00379737	0.00503087	0.00656522	0.00695184	0.0023484	0.00442378	0.00718542	0.0104227	0.0131829	0.010218	0.00946389	0.00917357	0.0142149	0.00983018
ne	0.0753414	0.0277579	0.040166	0.0326496	0.0487313	0.0425691	0.0515494	0.0390581	0.0456505	0.0209513	0.0152295	0.022664	0.0299548	0.0361477	0.0453629	0.0608429	0.0466955	0.034838	0.022991	0.0271772	0.0155625	0.0141364	0.029504	0.00907753	0.00593321	0.00867702	0.0103739	0.00667347	0.00783705	0.0155632	0.00754623	0.00397136	0.00953267	0.0100959	0.0156114	0.00861091	0.0113493	0.0148275	0.00759772	0.0211906
le	0.0367214	0.0407403	0.0406149	0.0358727	0.0346533	0.044052	0.0395803	0.0360787	0.0445076	0.0510306	0.0478468	0.0368603	0.0333045	0.0533958	0.0407312	0.0213393	0.0269704	0.0198633	0.0181883	0.0218823	0.015857	0.0129972	0.0148988	0.018577	0.0126435	0.0164038	0.0064314	0.0105836	0.0249524	0.0154288	0.0130977	0.0117765	0.0088882	0.0111409	0.00662711	0.0105186	0.00896279	0.0167703	0.0153569	0.0238534
fréquentent	0.0139245	0.0103228	0.0174533	0.0157614	0.0182686	0.0363153	0.0393473	0.0724595	0.0474585	0.0494098	0.0332793	0.0186501	0.029527	0.043303	0.051944	0.0215048	0.0262359	0.024424	0.0136131	0.0193938	0.0165761	0.0126306	0.0112278	0.0143472	0.0121725	0.0163236	0.0146468	0.0166611	0.0309798	0.0214996	0.0257735	0.0229578	0.0222235	0.0224684	0.0131013	0.0214871	0.0150813	0.0236051	0.0312857	0.0323548
plus	0.0121161	0.00879082	0.0158626	0.0138479	0.0135927	0.013451	0.0150334	0.0132568	0.0154502	0.0116723	0.0153965	0.0111991	0.0127218	0.0116614	0.012018	0.0119055	0.00819294	0.0107556	0.0496308	0.102732	0.0735849	0.0464718	0.0498694	0.0727109	0.0615667	0.0469127	0.0330635	0.0278269	0.024869	0.0140158	0.0160315	0.0234504	0.0151623	0.0205729	0.0110673	0.0157767	0.010545	0.0145692	0.0213592	0.0212864
parce	0.0252521	0.0346941	0.0279428	0.0262106	0.0228129	0.0357354	0.0308712	0.0308092	0.0308473	0.0311766	0.0263283	0.0309118	0.0228826	0.0507879	0.0518819	0.0307437	0.0258045	0.0180361	0.0185275	0.0216446	0.014586	0.0128005	0.0123583	0.0286173	0.0246552	0.0410298	0.0101531	0.0126728	0.0212964	0.00505941	0.00541808	0.00787223	0.00688262	0.0155129	0.00964665	0.0243776	0.0253799	0.0308578	0.0441592	0.0527631
qu'	0.0192385	0.0336194	0.0231596	0.0213855	0.0230222	0.0391583	0.028287	0.0361847	0.0342132	0.0390365	0.0394782	0.0399028	0.0231567	0.0488335	0.0530646	0.0326274	0.0223559	0.0264532	0.0197081	0.0172344	0.0116412	0.012598	0.0156819	0.0195422	0.0168525	0.0177493	0.0132011	0.0123652	0.0270728	0.0166641	0.0142398	0.0143867	0.0128596	0.0123153	0.0119066	0.0213664	0.0269559	0.0295644	0.0292456	0.0436717
il	0.0470462	0.0385169	0.0270734	0.0242039	0.0204918	0.0287174	0.0209844	0.0187107	0.0173324	0.013024	0.0106779	0.010608	0.00840819	0.0170872	0.0142639	0.0121941	0.0099431	0.0153318	0.0151983	0.0137811	0.015663	0.0327654	0.0288087	0.0369654	0.0377789	0.0605721	0.0207102	0.0443864	0.0652197	0.0189275	0.016797	0.022785	0.0141448	0.0128385	0.0102827	0.0166887	0.0160985	0.0279183	0.0365239	0.0805307
pratique	0.0537615	0.0333125	0.0252983	0.0264176	0.0201869	0.0198486	0.0166466	0.0162657	0.0166382	0.016019	0.0164112	0.00937315	0.0107892	0.0163263	0.0174866	0.0107457	0.0125236	0.0210863	0.0222816	0.0230505	0.0220608	0.0354056	0.0384847	0.0466839	0.0404692	0.0371282	0.0346165	0.0295214	0.0347853	0.0122242	0.00904881	0.0075115	0.0115265	0.0141685	0.0156943	0.019799	0.0240228	0.0311796	0.0411601	0.0900402
