 	a66	a87	a23	a87	a23	a99	a40	a36	a37	a54	a47	a7	a54	a47	a36	a2	a54	a47	a92	a79	a44	a98	a85	a37	a98	a47	a92	a37	a70	a57	a93	a56	a12	a18	a53	a44	a57	a3	a87	a23	a87	</S>
sur	0.016964	0.0404962	0.0258189	0.0476617	0.0583154	0.0333193	0.0412011	0.0599395	0.0755658	0.0835678	0.0866276	0.0591863	0.0431167	0.0395635	0.00777294	0.0101256	0.0183554	0.0184425	0.0375201	0.0118957	0.0088929	0.00490637	0.00877793	0.00972688	0.0105611	0.00567081	0.0046078	0.00421072	0.00843274	0.0096388	0.00460269	0.00538414	0.00730617	0.0119217	0.0104376	0.00950532	0.00851918	0.00672057	0.00740551	0.0125826	0.0072946	0.0174379
le	0.0260127	0.0255637	0.0295288	0.0133128	0.0107577	0.0139513	0.0153898	0.0131258	0.00722532	0.00576936	0.0127691	0.0142992	0.0236507	0.0127999	0.0143659	0.0192632	0.045673	0.0451327	0.0520038	0.0328482	0.0184286	0.0154584	0.011221	0.00894456	0.0109705	0.0125012	0.0144742	0.0178497	0.0118842	0.011309	0.00629225	0.0120504	0.0152396	0.0217052	0.0334025	0.0344339	0.043302	0.0507439	0.0532199	0.0444273	0.0671859	0.0515126
chemin	0.011053	0.0112121	0.015118	0.00961958	0.0108919	0.0122591	0.0188553	0.0475533	0.095674	0.0962863	0.0702958	0.0358138	0.055339	0.0560952	0.0343711	0.0253246	0.0541278	0.0522895	0.0507354	0.0300086	0.0336432	0.0282394	0.0218218	0.0151941	0.00794864	0.0114118	0.00892953	0.00889689	0.010136	0.00744669	0.00537778	0.0095389	0.00685899	0.00516984	0.00476148	0.00389584	0.00183368	0.00173385	0.00190941	0.00211319	0.00308717	0.00712836
de	0.0158391	0.0059704	0.00804306	0.00285853	0.00300881	0.00355772	0.0100035	0.013461	0.0259	0.0222865	0.0268935	0.0602465	0.111331	0.0419754	0.0821634	0.0809195	0.0750383	0.0368194	0.0655508	0.0489517	0.0335856	0.0477916	0.0244916	0.0150994	0.0128922	0.00653056	0.00371157	0.00968904	0.00795455	0.00480993	0.00610362	0.0042441	0.00345316	0.00353229	0.00315373	0.00438639	0.00584472	0.00758411	0.0147472	0.0107215	0.0121667	0.0166885
l'	0.060064	0.0172564	0.0180771	0.00555935	0.00687404	0.00466734	0.0124261	0.00609444	0.00508054	0.010947	0.0144618	0.0222937	0.0326566	0.0326867	0.0359972	0.0295505	0.0707286	0.0361058	0.0920301	0.0715815	0.0336302	0.0410187	0.0329062	0.0161322	0.0112658	0.00697765	0.00725423	0.0137464	0.0172273	0.00699542	0.0156405	0.0203987	0.0264871	0.0206959	0.0252746	0.0177601	0.0171108	0.016194	0.0177939	0.0199941	0.0143617	0.0159956
école	0.0612415	0.0268632	0.0182975	0.00769403	0.00931444	0.00603336	0.00415626	0.00366443	0.00479831	0.00933836	0.0112341	0.0164654	0.0220195	0.0488681	0.0518338	0.0379413	0.062608	0.0597638	0.0343901	0.049065	0.03903	0.0464613	0.0213764	0.0133589	0.0154803	0.0145968	0.0133185	0.0181611	0.0170791	0.0102931	0.017848	0.0131285	0.0165064	0.0186735	0.0117624	0.0512005	0.0334332	0.0138518	0.0215261	0.0151373	0.00888462	0.023302
les	0.0745647	0.0466772	0.0389252	0.00806539	0.00812272	0.00740081	0.00469674	0.00336232	0.00349699	0.00426386	0.00849284	0.0120481	0.0162687	0.0204	0.0258282	0.0338194	0.0874953	0.0823061	0.0433744	0.052575	0.0402923	0.0308334	0.014456	0.00776414	0.00686571	0.00568767	0.00571026	0.0107947	0.0103726	0.00250749	0.00368048	0.00376656	0.00504939	0.00651052	0.00500556	0.0178053	0.0372827	0.024281	0.0615238	0.0367822	0.0363276	0.0445167
jeunes	0.0549814	0.0364435	0.0296463	0.0133529	0.0208424	0.00850319	0.00795433	0.00647512	0.00577874	0.0115602	0.0115841	0.0163121	0.0183894	0.03215	0.0368516	0.0317706	0.0498017	0.0475399	0.0336713	0.0367888	0.0205855	0.0158211	0.0139231	0.0100024	0.00727806	0.00712806	0.00992431	0.0225645	0.0196421	0.0132825	0.00992216	0.0101297	0.00738905	0.00877949	0.0100446	0.0243679	0.0454914	0.0349481	0.0602541	0.0443994	0.0325694	0.0611555
garçons	0.051409	0.036218	0.0251528	0.0162753	0.0218244	0.0137568	0.00677122	0.00683411	0.00829985	0.0132683	0.0115214	0.0189376	0.0200012	0.0363629	0.0386267	0.019295	0.0400823	0.0356044	0.0163552	0.0262544	0.0298011	0.0272059	0.0177515	0.013017	0.00938378	0.00859061	0.0144365	0.0167414	0.0128725	0.00747954	0.00725639	0.00568183	0.00416798	0.00358284	0.00640253	0.018822	0.0477026	0.0375921	0.0494932	0.0504906	0.0366202	0.112057
provoquent	0.0569727	0.0268444	0.0259532	0.0204784	0.0186485	0.0174028	0.0142417	0.0121033	0.0072905	0.00835384	0.00801512	0.0133292	0.0157028	0.0195756	0.0292298	0.016571	0.0264025	0.0215659	0.0126342	0.0165162	0.0252898	0.0353285	0.0226418	0.0252349	0.0282317	0.0219771	0.0344455	0.0270892	0.0210173	0.0148255	0.018838	0.0210892	0.0192795	0.0204225	0.0219034	0.0377287	0.042259	0.0420979	0.0373227	0.0319101	0.0266843	0.0365517
