 	a66	a87	a23	a83	a70	a93	a56	a75	a92	a37	a98	a47	a92	a85	a5	a12	a96	a90	a25	a92	a12	a96	a62	a96	a34	a93	a70	a93	a90	a15	a79	a90	a15	a7	a84	a87	a23	a87	</S>
cet	0.0383728	0.0452258	0.0438683	0.0416421	0.0432214	0.0483846	0.0892225	0.0610679	0.0940272	0.111563	0.0517532	0.0188983	0.0117355	0.00607433	0.00605446	0.00770575	0.00941248	0.011619	0.0123947	0.0104649	0.0105633	0.0109533	0.0170354	0.0113865	0.0191808	0.0170592	0.0290343	0.0107422	0.00596461	0.00659326	0.0108675	0.0107985	0.0125265	0.00804597	0.00902021	0.00802356	0.0128043	0.00764865	0.0190431
homme	0.00669409	0.0100114	0.0157767	0.0112386	0.0235098	0.0304918	0.0241855	0.0357215	0.0630714	0.0686896	0.0811284	0.0880257	0.0808372	0.0784896	0.0636578	0.0419668	0.0322466	0.0301666	0.0169333	0.0193579	0.0376964	0.0191903	0.0128022	0.0115327	0.00748271	0.00782269	0.00653189	0.00380982	0.00338097	0.00297258	0.00448824	0.0037835	0.00590385	0.00368409	0.00337482	0.00461183	0.00558956	0.0129766	0.020165
a	0.0238222	0.0261978	0.0179012	0.0338916	0.0395171	0.0562543	0.0461904	0.029644	0.01899	0.0225298	0.0302631	0.0528107	0.0264373	0.0363396	0.0239673	0.0170212	0.00520203	0.00857018	0.00861371	0.0036886	0.00419818	0.00293272	0.00365343	0.00221725	0.00266522	0.00295419	0.00367607	0.00436311	0.00800628	0.015547	0.0221865	0.0289617	0.0479837	0.0473113	0.0340772	0.054573	0.0431586	0.082052	0.0616302
eu	0.0453491	0.0171732	0.0126011	0.0125175	0.00838334	0.010984	0.0124945	0.0177739	0.0153474	0.0111148	0.0184998	0.0354032	0.035952	0.0227758	0.0141963	0.0138528	0.00867523	0.023713	0.0320458	0.0266678	0.02023	0.0397086	0.0406904	0.0335215	0.0420739	0.0306234	0.0329193	0.0371422	0.0190343	0.0245998	0.0258536	0.0177342	0.0346958	0.0346534	0.0262483	0.0313093	0.0314343	0.0259495	0.0560578
un	0.0646275	0.0357504	0.0323693	0.0313019	0.0199699	0.0241496	0.0248576	0.0247149	0.0287568	0.0244096	0.0337379	0.042085	0.0460053	0.0402636	0.0329468	0.0386702	0.0266676	0.0360773	0.0388498	0.0290984	0.0195563	0.0167185	0.017256	0.0154813	0.0199113	0.0313193	0.0352987	0.0271857	0.00946418	0.0197827	0.0173404	0.00951881	0.0150095	0.0165482	0.00979797	0.0101865	0.00865333	0.00585813	0.0198035
choc	0.0487482	0.0291714	0.0251669	0.0296158	0.0225814	0.0212875	0.0298048	0.0262346	0.0157577	0.0159382	0.0217992	0.0493695	0.0457804	0.0951697	0.0646292	0.045382	0.0303224	0.0307355	0.028303	0.0217311	0.0176215	0.0163999	0.0159575	0.0101324	0.0131432	0.0139444	0.0134779	0.0156408	0.0128596	0.022079	0.0166233	0.0157761	0.0161422	0.015089	0.0153832	0.0179608	0.0137231	0.0166539	0.0238638
à	0.070613	0.0515262	0.0374391	0.032484	0.0218621	0.0187374	0.0176233	0.0164828	0.0133303	0.0101382	0.0119146	0.0163174	0.0192437	0.0263365	0.0220733	0.0207151	0.0148728	0.0156289	0.0149141	0.0163627	0.015844	0.0172279	0.0186947	0.0188727	0.0190735	0.0151341	0.0120096	0.0197676	0.0190952	0.0195855	0.0273976	0.0286572	0.0333391	0.0499801	0.0328654	0.0554622	0.0343716	0.0485687	0.0454379
la	0.0320893	0.0223021	0.0181858	0.0252135	0.0233647	0.0261584	0.0231672	0.0215492	0.0181147	0.0173714	0.0202391	0.0392969	0.0279749	0.0286526	0.0195597	0.0139903	0.00793712	0.00987641	0.0101563	0.00842322	0.00827731	0.00867886	0.00943379	0.0110973	0.010126	0.00963903	0.0102925	0.013322	0.0148617	0.0203194	0.0318055	0.0401861	0.0496602	0.0711685	0.0435537	0.0769098	0.055893	0.04795	0.0532026
rotule	0.045544	0.0361897	0.0237162	0.0212446	0.028647	0.0287941	0.0247167	0.024882	0.0279154	0.0228012	0.0215029	0.0231553	0.0158839	0.0100979	0.0117602	0.0227614	0.0179935	0.0180091	0.0211446	0.0327111	0.0265932	0.0391358	0.0466676	0.0427529	0.0455452	0.0359245	0.0245589	0.0354447	0.0261489	0.0298307	0.0267759	0.0302594	0.0112836	0.0170821	0.0164035	0.0165676	0.0182169	0.0150834	0.0162544
</S>	0.0434995	0.0326318	0.0250631	0.0274175	0.0358894	0.0325331	0.0609959	0.0567955	0.0510568	0.0525514	0.0425611	0.0310291	0.028681	0.0167159	0.0136036	0.0187822	0.0133584	0.0125016	0.0107624	0.00839761	0.0112361	0.00851088	0.00998266	0.00910284	0.0111282	0.0123103	0.0127149	0.00933525	0.00704597	0.00959301	0.0147738	0.022373	0.0217851	0.0266334	0.0226239	0.029418	0.0409132	0.0303826	0.0753099
