 	a66	a87	a97	a30	a44	a56	a70	a61	a43	a54	a79	a44	a40	a79	a90	a93	a4	a94	a96	a75	a85	a41	a61	a34	a75	a41	a61	a18	a11	a70	a83	a56	a70	a50	a88	a38	a5	a96	a0	a54	a44	a79	a44	a53	a44	a70	a83	a71	a9	a82	a3	a10	a82	</S>
le	0.03157	0.0514489	0.046433	0.0299086	0.0168555	0.0171439	0.0405469	0.0432943	0.0237813	0.0289678	0.0131803	0.020797	0.0249022	0.0154002	0.00733473	0.00702653	0.00682495	0.0240912	0.0107385	0.0258274	0.0231231	0.0171682	0.0100305	0.0181957	0.0169682	0.0153096	0.0173211	0.0117994	0.0180424	0.0190841	0.0241995	0.0146902	0.0170845	0.019367	0.0133297	0.014403	0.0130808	0.0177098	0.0169243	0.019983	0.0348998	0.0152072	0.0152173	0.00911861	0.0085945	0.00685941	0.00750624	0.00779673	0.00602547	0.00957118	0.00796451	0.00979787	0.00735773	0.0301963
chauffeur	0.00219501	0.0020815	0.00804559	0.00616942	0.00878794	0.0136157	0.0207055	0.0329235	0.0568379	0.0992139	0.0851476	0.125596	0.0616061	0.097738	0.0680022	0.0491816	0.0259469	0.0279235	0.0134108	0.0138753	0.0190069	0.00987113	0.00645522	0.00896717	0.0084401	0.00763137	0.01824	0.0108251	0.0116108	0.00919021	0.0132199	0.00760761	0.0103025	0.00688597	0.0047012	0.00283183	0.00233161	0.00235124	0.00196581	0.00121953	0.00156717	0.00163598	0.00152614	0.00184331	0.00146763	0.000940832	0.000640925	0.000435274	0.000754375	0.000745809	0.00111979	0.000735059	0.00193821	0.00199007
tourne	0.0228912	0.0161945	0.0112469	0.00843145	0.0270384	0.0237144	0.0241486	0.0152815	0.0218432	0.0141822	0.00766917	0.0173723	0.041666	0.025865	0.0402717	0.0232031	0.0326892	0.031303	0.0230819	0.0474527	0.0495364	0.0597007	0.0367247	0.060508	0.0547838	0.043571	0.0464052	0.0365291	0.021746	0.0206075	0.016794	0.0100675	0.00692313	0.00781341	0.00433468	0.0056778	0.0019982	0.001427	0.00188148	0.00241372	0.00346306	0.0010953	0.00165488	0.00289423	0.00253859	0.00283157	0.00271998	0.00329219	0.00261552	0.00136761	0.0023645	0.00422159	0.0021127	0.00183851
le	0.0297616	0.0185322	0.010088	0.00779343	0.0101622	0.0115963	0.0137586	0.00958231	0.007833	0.0138046	0.0115354	0.0147974	0.0134541	0.0235362	0.0506913	0.0503059	0.0704538	0.0316074	0.0360657	0.0333132	0.0353945	0.0157721	0.0170673	0.00988082	0.00961169	0.0128792	0.00894532	0.0152458	0.00694025	0.0163198	0.0147319	0.025148	0.0224969	0.0289467	0.061293	0.0338271	0.0247564	0.0199469	0.0069321	0.00644082	0.00814752	0.00569641	0.00566662	0.00641923	0.00541602	0.00766643	0.00963843	0.00871602	0.0123256	0.00943526	0.0112698	0.0126938	0.0137132	0.0219466
volant	0.0334274	0.0219286	0.0121012	0.0106824	0.0175118	0.020328	0.0106427	0.00767534	0.00723316	0.00349637	0.00472512	0.00837805	0.0157313	0.0120741	0.0216816	0.0304011	0.0541803	0.0330514	0.0463617	0.0265735	0.0400347	0.0219916	0.0443727	0.0244512	0.0259698	0.0332704	0.0261209	0.0352128	0.0172551	0.0259353	0.0214005	0.0274731	0.0226744	0.0304794	0.0336441	0.0224533	0.0136749	0.0064567	0.00522498	0.00425881	0.00608309	0.0045952	0.0044631	0.00482637	0.0058746	0.00372276	0.00616098	0.0089623	0.0093671	0.0106485	0.00928665	0.0171595	0.0160264	0.0122836
pour	0.0142779	0.0122569	0.00570474	0.0049467	0.00818111	0.00933321	0.00806575	0.0141213	0.0172159	0.0111176	0.009215	0.0206426	0.0315154	0.0165765	0.0326556	0.0358629	0.0369909	0.0457352	0.0285274	0.0390824	0.0385666	0.0574792	0.0623572	0.0552451	0.0549294	0.0360462	0.0374721	0.0399582	0.0223631	0.0235975	0.0228741	0.0142738	0.0139324	0.0168746	0.0101309	0.00799108	0.00474878	0.00431438	0.00424227	0.00648166	0.00791556	0.0062218	0.0051286	0.00327535	0.00421747	0.00178628	0.00250574	0.00243959	0.0029564	0.00275645	0.00420207	0.00920312	0.00435235	0.00713562
garer	0.0155558	0.0102887	0.00512239	0.00280052	0.00548886	0.00617772	0.00857144	0.0141815	0.0115572	0.00658392	0.00737217	0.00719051	0.0170279	0.00518623	0.0123555	0.0157029	0.0265544	0.0211785	0.0328244	0.0378991	0.0420751	0.0549641	0.0668427	0.075039	0.0768976	0.0462049	0.036752	0.0439045	0.0276742	0.0268794	0.0148541	0.0103492	0.00684805	0.0158726	0.00817236	0.0099315	0.00366969	0.00287679	0.00442621	0.00490904	0.00848783	0.00752962	0.00546458	0.00603527	0.0191185	0.0083129	0.0109527	0.0113788	0.0144165	0.00888194	0.0116724	0.0165549	0.00924723	0.0131843
sa	0.0127442	0.0101531	0.00832114	0.00787912	0.00925665	0.0111653	0.0161909	0.0172381	0.0164523	0.0107145	0.0139452	0.0111556	0.0201425	0.00577923	0.00970357	0.01258	0.0265311	0.0162611	0.0476791	0.0523189	0.0494506	0.0345655	0.0473362	0.0528669	0.0431123	0.0276837	0.0242341	0.0304579	0.0250594	0.018446	0.0177369	0.0126196	0.00829516	0.0166605	0.0152552	0.0144087	0.00794509	0.00614826	0.00752709	0.00436979	0.0111155	0.0107263	0.00461219	0.0135241	0.0180568	0.0113655	0.0129655	0.0141275	0.0155185	0.0122798	0.0190854	0.015674	0.0160536	0.0245048
voiture	0.0284385	0.0189264	0.0114402	0.00607964	0.00561601	0.00521414	0.00542249	0.00862538	0.00583409	0.00499723	0.00472396	0.00718808	0.00666791	0.0072663	0.00664172	0.00736033	0.0088092	0.0148841	0.0233428	0.011961	0.0185251	0.0286338	0.0344019	0.0372343	0.0349353	0.0259396	0.0321957	0.0367454	0.0250592	0.0280832	0.0238977	0.0159986	0.0175919	0.0228864	0.0174675	0.0324284	0.0243755	0.0263231	0.0223151	0.0321187	0.0388046	0.0275196	0.0298407	0.0151937	0.0223766	0.00935699	0.0103856	0.0110377	0.0143798	0.0172906	0.0120803	0.020536	0.0222775	0.0123247
</S>	0.0289683	0.0292717	0.0280658	0.0219362	0.0144689	0.015131	0.0141832	0.0128027	0.00715317	0.00980036	0.00657871	0.00768691	0.00736054	0.00516281	0.00575125	0.00897359	0.0114286	0.0209444	0.0259575	0.0163378	0.02356	0.0249037	0.028773	0.0325083	0.0267954	0.0239275	0.0293647	0.0286211	0.0217129	0.0177056	0.0161501	0.0106021	0.0109689	0.0159406	0.0126366	0.0195542	0.016336	0.0190715	0.0167558	0.0235986	0.0245943	0.0172088	0.0179456	0.00819859	0.0222579	0.00849256	0.0117109	0.0113821	0.0193707	0.0213353	0.0152986	0.0280421	0.0279067	0.048806
