 	a66	a87	a23	a83	a96	a18	a94	a90	a25	a79	a37	a90	a15	a20	a7	a84	a87	a23	a99	a18	a62	a12	a21	a25	a98	a92	a21	a5	a18	a75	a85	a41	a0	a11	a10	a87	a23	a87	</S>
repartons	0.0875819	0.140014	0.122196	0.0627834	0.0702588	0.0346704	0.0146731	0.0133657	0.0124689	0.0137803	0.00997727	0.0188188	0.023141	0.00801659	0.0110601	0.012397	0.0126516	0.00905528	0.00970394	0.00792496	0.015086	0.0141019	0.015079	0.0160442	0.027643	0.0235813	0.013112	0.0129572	0.010031	0.015484	0.00985623	0.0174487	0.0188726	0.0116167	0.0102936	0.010241	0.0169743	0.0137412	0.0332969
en	0.00513965	0.00962616	0.0123904	0.0108235	0.0164865	0.0231878	0.0331016	0.0715491	0.108467	0.158058	0.0866456	0.0919226	0.103037	0.0481408	0.0169352	0.0323506	0.0333935	0.0202362	0.0233593	0.0114983	0.0101691	0.0073728	0.0120627	0.0119323	0.0078335	0.00664897	0.00288885	0.00211877	0.00184879	0.00148759	0.00188644	0.000947826	0.00128968	0.00141624	0.00199434	0.00202705	0.00198411	0.00218275	0.00555847
campagne	0.00507531	0.00343457	0.00458629	0.0136364	0.0151767	0.037999	0.0402252	0.0573079	0.0623275	0.0857229	0.0773058	0.0748633	0.0595128	0.0783747	0.0438356	0.0576352	0.0568868	0.046638	0.0363524	0.0342613	0.0244354	0.0124661	0.00845685	0.00910406	0.0042646	0.00277276	0.00225334	0.00156947	0.00249964	0.00208343	0.00230252	0.00253253	0.00208139	0.0046602	0.00542749	0.00494558	0.00603588	0.00666768	0.00428354
il	0.0224725	0.020169	0.0173998	0.0240872	0.0350494	0.0225042	0.0199006	0.0197353	0.0190544	0.0216078	0.0350663	0.0611745	0.0597731	0.0776648	0.0593695	0.0478791	0.0340713	0.0239914	0.0234977	0.032284	0.033473	0.0346478	0.0267666	0.0274073	0.0174197	0.0118609	0.0138039	0.00849299	0.012461	0.0122519	0.00973154	0.0197817	0.0177919	0.0132683	0.0138347	0.0142228	0.0133493	0.0138549	0.00882777
ya	0.024825	0.0201387	0.0184246	0.0143433	0.0174162	0.0136933	0.0138161	0.0152212	0.0130471	0.00934247	0.0168336	0.0155589	0.0186579	0.0299485	0.0402969	0.033653	0.0218343	0.0264269	0.0220452	0.0369524	0.0391326	0.0442646	0.0396011	0.0400828	0.0418301	0.0445367	0.0311254	0.0251231	0.0251327	0.0240857	0.0266783	0.042485	0.0290759	0.0248489	0.0220495	0.0169809	0.0156003	0.0187161	0.0261749
trop	0.0515817	0.0401044	0.0383758	0.0284851	0.0316461	0.0287049	0.0283807	0.0191711	0.03197	0.0306547	0.0386326	0.0315698	0.0366233	0.0545013	0.0629208	0.0435889	0.0553989	0.0389741	0.0250389	0.019675	0.0184963	0.0125026	0.00796877	0.00736259	0.00796409	0.00641564	0.0111225	0.0111199	0.0197366	0.0153914	0.00962114	0.0146872	0.0123772	0.0146032	0.0186975	0.0187169	0.019487	0.0196218	0.0181096
de	0.0283431	0.0127324	0.00943373	0.00969194	0.00929123	0.0127722	0.0147842	0.0134171	0.0145295	0.01044	0.0244379	0.0128366	0.0201741	0.0316817	0.0442374	0.048079	0.0524562	0.0523808	0.0356813	0.0376408	0.0443076	0.0398693	0.0218281	0.0289238	0.0249642	0.028898	0.0323619	0.0353175	0.0304503	0.0307183	0.0242076	0.0271344	0.0231114	0.022414	0.0190532	0.0170545	0.0163289	0.0172061	0.0208099
souffrance	0.0435652	0.0193163	0.0165547	0.0196917	0.0181913	0.0247528	0.0220851	0.0189655	0.0204659	0.0161702	0.0282467	0.0177966	0.0212484	0.0351024	0.0437427	0.0365208	0.0381962	0.0273681	0.0235477	0.0256751	0.0358102	0.0300256	0.028158	0.0276901	0.0261937	0.0227376	0.0256886	0.0306041	0.0207756	0.0313682	0.0193342	0.0301201	0.0254454	0.0228715	0.024736	0.0223651	0.0201042	0.0220297	0.0167386
à	0.0703824	0.0437259	0.0332757	0.0419364	0.0315428	0.0255198	0.0120159	0.00930427	0.0113387	0.00897578	0.00975401	0.00817241	0.0119883	0.0129579	0.0147384	0.0114422	0.00821808	0.00339735	0.00261438	0.00406617	0.00648802	0.00669051	0.00835758	0.0100566	0.0104497	0.0164317	0.0276517	0.0280363	0.0433994	0.034604	0.0379653	0.0569729	0.0322895	0.0581769	0.0588138	0.0476419	0.0459835	0.0539306	0.0406931
brazaville	0.0414549	0.0306088	0.0292661	0.0328257	0.0267657	0.0255148	0.0227265	0.0220329	0.0226091	0.0174025	0.0191935	0.0132237	0.0132567	0.0137061	0.00986034	0.0086988	0.00629725	0.00419407	0.00459241	0.007658	0.00856093	0.00741323	0.00927259	0.0126725	0.01083	0.0170259	0.019125	0.0240452	0.0363155	0.0335262	0.0376425	0.0607385	0.0407315	0.0633954	0.0625848	0.052354	0.0497877	0.0517076	0.0303831
</S>	0.064919	0.064847	0.0503304	0.0307431	0.0293385	0.0165112	0.0106796	0.0108839	0.0113695	0.0152749	0.0126894	0.0116995	0.0133216	0.00964423	0.0102238	0.00664148	0.00462755	0.00391891	0.00347447	0.00608632	0.00558502	0.00501359	0.00685547	0.00868365	0.00805814	0.0149268	0.0202495	0.0203088	0.0330151	0.0439866	0.0320752	0.0459003	0.0420007	0.0439939	0.0445588	0.0467183	0.0611561	0.0478899	0.0817997
