 	a66	a87	a23	a99	a83	a50	a88	a62	a88	a75	a6	a7	a37	a5	a43	a18	a5	a96	a62	a88	a98	a79	a7	a15	a79	a25	a69	a58	a54	a36	a37	a54	a7	a26	a57	a3	a87	a23	a99	a87	a23	a10	a87	</S>
j'	0.0314434	0.062152	0.028799	0.0422957	0.0192329	0.0274506	0.0366434	0.0559942	0.0544281	0.0573884	0.0681546	0.0405474	0.0202503	0.0105788	0.0120681	0.00876645	0.0105101	0.0090356	0.00887404	0.00853825	0.00731081	0.00850962	0.0128076	0.0150861	0.0196324	0.0151205	0.0170435	0.0132442	0.0219882	0.0146483	0.0217821	0.019607	0.0106879	0.0149954	0.0129274	0.0161462	0.0153158	0.012425	0.0159759	0.0213008	0.0187857	0.0211126	0.0195187	0.0208768
ai	0.0218193	0.0161075	0.0199512	0.0197033	0.0116554	0.0138306	0.0136214	0.00924579	0.00742916	0.00916492	0.0120043	0.0130451	0.0199409	0.0356281	0.0355231	0.0359916	0.0515709	0.0565572	0.0607107	0.0510023	0.0314729	0.0361005	0.0330579	0.0252797	0.0143401	0.0186604	0.015124	0.0120929	0.0138756	0.0259741	0.0158547	0.0215364	0.0287835	0.0183319	0.0295054	0.0271654	0.0206028	0.0180864	0.0186582	0.00951443	0.0147188	0.00801406	0.0113036	0.0174435
besoin	0.0492943	0.0270271	0.0261182	0.0180611	0.0117523	0.0126766	0.00921255	0.00563049	0.0032112	0.00578507	0.00490756	0.0078647	0.0119254	0.0301609	0.0462107	0.0387201	0.0287363	0.0589907	0.10146	0.0617472	0.0368003	0.0423376	0.0434593	0.0181435	0.0106404	0.00580227	0.00768334	0.00798598	0.00704175	0.00573056	0.00639396	0.0107583	0.0135636	0.00613135	0.00722925	0.0127574	0.016693	0.0156365	0.0208701	0.0329865	0.0221765	0.0253959	0.0269542	0.0373359
d'	0.0652407	0.0353859	0.0217666	0.0151671	0.0111806	0.0109075	0.0116038	0.0162487	0.0138829	0.0206622	0.0174762	0.0168144	0.0214032	0.0226139	0.0214588	0.0242063	0.0143728	0.0183824	0.0177515	0.0185393	0.0118389	0.00879026	0.0145662	0.00961316	0.0115131	0.0118427	0.00967537	0.00996562	0.00679322	0.0122641	0.0074614	0.0166247	0.0102262	0.00944516	0.0115281	0.0262872	0.0317613	0.0290237	0.0480973	0.0601845	0.0539251	0.0514503	0.0455111	0.0765466
un	0.0527438	0.035332	0.0224512	0.0244913	0.024303	0.0165869	0.0149849	0.0123747	0.0116635	0.011375	0.00716148	0.0128657	0.0168081	0.0172597	0.0199542	0.0229025	0.0183319	0.0300741	0.0271677	0.0213068	0.0271532	0.0260304	0.0281717	0.025678	0.0309477	0.0226501	0.0269742	0.0197743	0.0123057	0.00625452	0.00914646	0.0158969	0.0174354	0.0156785	0.0171559	0.0272424	0.0324224	0.0235741	0.0292202	0.0424862	0.0282288	0.0316048	0.0313105	0.0325191
fil	0.0416815	0.0343013	0.0432593	0.0255659	0.0326159	0.0368787	0.0213302	0.0224309	0.0274323	0.0179538	0.0160818	0.0210373	0.0233654	0.0218268	0.0255509	0.0549995	0.0144027	0.0282178	0.0373348	0.0428744	0.0380908	0.0262232	0.0138866	0.02188	0.0303131	0.0247422	0.0296861	0.0276756	0.0216134	0.00690574	0.0139909	0.0232426	0.00462369	0.0101669	0.0226965	0.0178378	0.0113323	0.00690749	0.00955209	0.00905901	0.0084833	0.0105162	0.00984978	0.0115835
pour	0.0916486	0.0511565	0.0497679	0.0433086	0.0368291	0.0401542	0.0277234	0.0216089	0.0234028	0.0201677	0.0193041	0.0283468	0.0418868	0.0447477	0.0486683	0.0911151	0.0161296	0.0263793	0.0306579	0.0315042	0.0210039	0.0130474	0.014173	0.016489	0.0258174	0.0170235	0.0164752	0.0130835	0.00810775	0.00377983	0.00243519	0.00819428	0.00158629	0.00628343	0.00946595	0.00551008	0.00335175	0.00205996	0.00313427	0.00356852	0.00375237	0.00553703	0.00486878	0.00674402
raccommoder	0.0532551	0.0394386	0.0284386	0.0271278	0.0187178	0.0143264	0.00878827	0.0068667	0.00947357	0.00463066	0.00512916	0.00801613	0.0133255	0.0169796	0.0161607	0.0343269	0.0127042	0.0195246	0.0359279	0.0497902	0.0396985	0.01928	0.0185131	0.0305946	0.024451	0.0185274	0.0137431	0.0141662	0.0137057	0.0117956	0.0119557	0.0238194	0.0107431	0.0153024	0.0232099	0.0176782	0.0313171	0.0211346	0.0307596	0.0308388	0.0314209	0.0378347	0.040448	0.0461139
cette	0.0449547	0.0291448	0.0222257	0.0223436	0.017926	0.0185524	0.0112073	0.00878233	0.017707	0.00945036	0.00791084	0.0101166	0.0147096	0.017348	0.0124525	0.0154157	0.0108512	0.0105174	0.0179174	0.0273885	0.0237191	0.0194574	0.0296876	0.0578226	0.0613861	0.032721	0.027899	0.0212495	0.0245907	0.0154516	0.0194554	0.0503716	0.00742927	0.0142779	0.0152064	0.0145512	0.0167194	0.0125222	0.0261144	0.0282058	0.0205854	0.0301503	0.0328346	0.0506696
tenue	0.0491036	0.0209981	0.0177195	0.0133453	0.0179204	0.0133287	0.00756667	0.00537773	0.00864669	0.00677498	0.00585788	0.00846972	0.0159654	0.0274024	0.0145793	0.0220459	0.00934406	0.00994971	0.0160689	0.0398938	0.0319566	0.0280798	0.0425187	0.0458193	0.0559242	0.0400712	0.0401676	0.0425494	0.0283198	0.022805	0.0210295	0.0424281	0.00950019	0.00749802	0.0113374	0.0167679	0.0109887	0.0118312	0.0196815	0.0233462	0.0158794	0.0344083	0.0379669	0.0287664
