 	a66	a87	a23	a79	a57	a82	a10	a62	a12	a62	a83	a9	a50	a62	a88	a62	a47	a62	a21	a12	a18	a21	a47	a31	a0	a75	a96	a98	a85	a37	a5	a37	a7	a2	a57	a87	a23	a2	a40	a94	a27	a38	a50	a62	a31	a50	a93	a70	a0	a24	a83	a94	a69	a58	a40	a75	a92	a37	a12	a88	a71	a9	a87	a23	a87	</S>
celui	0.0515476	0.0586328	0.0624178	0.0847121	0.0357922	0.019024	0.0138197	0.0110375	0.0387313	0.00805026	0.0100881	0.0187944	0.0248636	0.0148713	0.0257468	0.0286177	0.0189369	0.0225653	0.0266042	0.0217041	0.0287848	0.0200219	0.0148174	0.0109574	0.014955	0.00987748	0.00679255	0.00910812	0.0064455	0.00912938	0.00620123	0.0041628	0.0123959	0.00866173	0.00741175	0.0144189	0.00744563	0.0100396	0.0202652	0.00767249	0.00708474	0.00589255	0.00458737	0.00528375	0.00392191	0.00617356	0.00703654	0.00361274	0.00249694	0.00185711	0.00204621	0.00142916	0.00164194	0.00180808	0.00219242	0.00395523	0.00764614	0.00354905	0.00905094	0.0116365	0.0111207	0.00980735	0.011946	0.0120358	0.01271	0.0233547
qui	0.00345874	0.00418761	0.00365247	0.00200413	0.00319054	0.00420423	0.00823402	0.00841499	0.00895518	0.00714544	0.00878387	0.0101147	0.0142291	0.0206095	0.0312042	0.0206185	0.0224926	0.0247296	0.0156468	0.0151195	0.0250797	0.0295423	0.036839	0.0357208	0.0312675	0.0251967	0.0232192	0.0260761	0.0350567	0.0230194	0.0354298	0.0271448	0.0120855	0.0121662	0.0104909	0.00453969	0.00475182	0.00281651	0.00296478	0.00493846	0.00340933	0.004545	0.00871569	0.00813685	0.00445579	0.00467934	0.00534211	0.00708365	0.00420326	0.00914262	0.00950376	0.0108133	0.0124174	0.0135189	0.0179945	0.0250745	0.0282697	0.0283329	0.0386034	0.0265958	0.0230281	0.0188493	0.0133379	0.011008	0.012864	0.00473327
assiste	0.00845948	0.00725844	0.00787455	0.00316491	0.00380353	0.00614588	0.00751836	0.00987992	0.0156132	0.00769085	0.0148879	0.0217208	0.0297564	0.0109285	0.0219806	0.0195927	0.0302068	0.0576691	0.0303478	0.0190511	0.0355425	0.0457622	0.0658093	0.0504825	0.0309461	0.0444238	0.0269399	0.0335913	0.0422504	0.0307008	0.0427441	0.0263395	0.0159224	0.0178498	0.0246929	0.0140874	0.0178729	0.010152	0.0043411	0.00695537	0.00529455	0.00306733	0.00310918	0.00176779	0.0024144	0.00166819	0.00307743	0.0020401	0.00201085	0.00221015	0.00265016	0.00261677	0.00196805	0.00175274	0.000891205	0.00126714	0.00117612	0.00180468	0.00224737	0.0020347	0.00275022	0.00256817	0.00543171	0.00528356	0.00818765	0.00975316
au	0.00986729	0.00602901	0.00755381	0.00297389	0.00196253	0.00261294	0.00568916	0.00509958	0.00514629	0.00231753	0.0035326	0.00444169	0.00228605	0.00251314	0.00226201	0.00297372	0.00214754	0.00327341	0.00218709	0.00348371	0.00215545	0.00587277	0.00495033	0.00767002	0.00621857	0.00747199	0.00991137	0.0107072	0.0100723	0.0106481	0.011797	0.0132829	0.0117502	0.00951281	0.0128779	0.0170485	0.0220602	0.008661	0.0109562	0.0125966	0.0162226	0.0108942	0.00884776	0.015358	0.0100491	0.00823943	0.0213287	0.0116285	0.0158324	0.0253682	0.0227356	0.0260388	0.0280805	0.0238914	0.0199169	0.0228008	0.0238869	0.0275752	0.0322768	0.0496629	0.0510071	0.0580548	0.0639756	0.0516568	0.0502951	0.0198015
dépeçage	0.0105893	0.00923739	0.0145512	0.00801782	0.00569318	0.00582276	0.0105542	0.0130846	0.00580959	0.00474792	0.00706185	0.0065643	0.00358039	0.00327229	0.00373959	0.00543408	0.00231317	0.00195611	0.00250106	0.0041377	0.00404838	0.00469571	0.00380363	0.00898666	0.00642817	0.00631107	0.00891922	0.0109169	0.00855165	0.0183267	0.0159084	0.0170976	0.0117908	0.0151511	0.0252483	0.0291968	0.0269529	0.015151	0.0141741	0.0314953	0.0396026	0.0396125	0.0446645	0.0401057	0.0236153	0.0236319	0.0255066	0.0271688	0.0112497	0.02554	0.0129113	0.0215582	0.0269388	0.0209149	0.0215447	0.0246465	0.0180317	0.0201591	0.0224489	0.0208271	0.0150481	0.0169249	0.0155311	0.0137037	0.00945299	0.00683771
d'	0.0325724	0.0147306	0.00951572	0.00587246	0.00484054	0.00346807	0.0031951	0.00527952	0.0105388	0.00702006	0.01051	0.0129275	0.0195984	0.0154871	0.0399294	0.0158855	0.0143585	0.0335427	0.0342498	0.0199177	0.0242389	0.0208408	0.0483401	0.0438128	0.0301369	0.0283684	0.0205902	0.0179924	0.025444	0.0327032	0.0334068	0.0220813	0.0158797	0.0253653	0.0300956	0.0176478	0.0330226	0.014422	0.0163432	0.02101	0.0149325	0.00926257	0.0108074	0.00495171	0.00251331	0.0015459	0.00243266	0.00169449	0.00071232	0.00124636	0.00140911	0.00265014	0.00372801	0.00540054	0.00544155	0.010128	0.00932976	0.00983401	0.0124298	0.00596523	0.00725077	0.00597598	0.00831705	0.0108393	0.00890344	0.00711614
un	0.0350208	0.0147951	0.00575457	0.00413083	0.00491041	0.00480787	0.00198169	0.00516978	0.00464092	0.0069383	0.00715187	0.0053043	0.00687619	0.0116475	0.009929	0.00976429	0.0163856	0.0170522	0.0138224	0.0176809	0.0159326	0.0190198	0.0184777	0.0276276	0.0261085	0.0270901	0.0154014	0.0163539	0.0185549	0.0184375	0.0178731	0.0177669	0.00768152	0.0133628	0.0134545	0.0105636	0.0133054	0.0119126	0.0170726	0.0146355	0.0158766	0.0164845	0.0137558	0.0112831	0.00703167	0.00559954	0.00668396	0.00923801	0.00661212	0.00785305	0.0086252	0.00828479	0.0079932	0.0131555	0.00889297	0.0181746	0.020449	0.023202	0.0378865	0.0309014	0.0430803	0.0322642	0.0303359	0.0274239	0.0280491	0.0164662
animal	0.0131309	0.0102342	0.00585082	0.00472977	0.00261894	0.00115123	0.000465044	0.00117379	0.000822842	0.00139307	0.00179758	0.00161434	0.00168437	0.0040513	0.00207837	0.00407725	0.00410507	0.00942566	0.00549193	0.00668903	0.0063486	0.00953363	0.00903966	0.0130441	0.0129524	0.0137192	0.0124164	0.00764304	0.0143779	0.0133129	0.0105085	0.0092479	0.00625687	0.0185255	0.0179568	0.00970361	0.0242544	0.0189964	0.0398604	0.0342623	0.0546478	0.0421695	0.024617	0.0189725	0.0136227	0.0102594	0.0100958	0.0133249	0.00658827	0.00860908	0.00908219	0.00934736	0.0083243	0.00799826	0.00591928	0.00922406	0.0131982	0.0199131	0.0474461	0.0422872	0.0526201	0.0486202	0.0401897	0.0427276	0.0350287	0.0206208
s'	0.0106365	0.00783093	0.00601498	0.00237079	0.00165929	0.0012797	0.000652243	0.00232723	0.00191458	0.00497688	0.00598489	0.00846045	0.00755043	0.0143344	0.00700676	0.0186801	0.014799	0.0148058	0.0104504	0.0114856	0.0111007	0.0160658	0.0126838	0.018658	0.0171639	0.0129704	0.0102987	0.00710655	0.00784708	0.00988892	0.00803229	0.00625565	0.00521902	0.0131354	0.0141339	0.00892305	0.0240938	0.0148808	0.0157358	0.0268366	0.0171965	0.0197266	0.0221571	0.0111557	0.00486597	0.00561444	0.0088906	0.0111324	0.00340998	0.0108629	0.0102986	0.00908301	0.00962623	0.00730407	0.0079905	0.013758	0.0191084	0.0222369	0.0418801	0.0343908	0.0464477	0.0541899	0.0479032	0.0580388	0.0442435	0.0442373
en	0.00566761	0.00385787	0.00391721	0.00358617	0.00260598	0.00211583	0.00102852	0.00419334	0.00283422	0.00788936	0.00960577	0.0115886	0.00826873	0.00984662	0.00881882	0.0185939	0.0140884	0.0148959	0.0109552	0.00921756	0.0106585	0.0146609	0.0124945	0.0166217	0.0156733	0.0113593	0.00945537	0.00661697	0.00681859	0.00841069	0.00758434	0.00489918	0.00507374	0.0109116	0.012779	0.0126257	0.0263902	0.0286815	0.045505	0.051282	0.0494739	0.0471267	0.0407712	0.0265083	0.0125785	0.0110773	0.0160263	0.0189603	0.0076861	0.0114678	0.0109505	0.00700617	0.00837671	0.0072203	0.00847483	0.00889714	0.0111905	0.0161109	0.0224922	0.0148909	0.0204821	0.0263201	0.0241397	0.0299839	0.0213047	0.0484054
sort	0.00359239	0.00238601	0.00326701	0.00440426	0.00392546	0.00275622	0.00192357	0.00220461	0.00327381	0.00455913	0.00811106	0.0111127	0.00708558	0.0063426	0.00612496	0.0134887	0.0105497	0.0140638	0.0120012	0.0120736	0.0128182	0.0241301	0.0208561	0.0319704	0.0307834	0.0237227	0.0304231	0.0209766	0.0222846	0.0191856	0.0209259	0.0154884	0.0143672	0.0141999	0.0211851	0.0125687	0.0243134	0.0166223	0.0450351	0.0545031	0.0467185	0.0390599	0.0360285	0.0310838	0.0190878	0.0121523	0.0116352	0.00814148	0.00605457	0.00692383	0.00641896	0.00657065	0.013143	0.00860967	0.00974478	0.00537076	0.00486351	0.00650726	0.010784	0.00592831	0.00756111	0.013129	0.017476	0.0181235	0.0155939	0.0236838
