 	a66	a87	a23	a87	a23	a99	a38	a31	a88	a21	a47	a31	a0	a62	a47	a75	a25	a90	a69	a53	a69	a4	a58	a57	a82	a87	a23	a99	a97	</S>
j'	0.0337085	0.0454699	0.0266114	0.0199529	0.0203492	0.016324	0.0178411	0.0156055	0.00928482	0.00833233	0.00784101	0.00788285	0.0106827	0.0074871	0.0119058	0.0105281	0.00997185	0.0103965	0.0178217	0.0434434	0.0604738	0.0532689	0.083793	0.0752976	0.101335	0.065427	0.042721	0.0646012	0.0393826	0.0622592
ai	0.0750235	0.0334551	0.0454329	0.0544543	0.0464435	0.0329698	0.0258353	0.0314286	0.0248068	0.0131302	0.0161271	0.024445	0.0836056	0.0539472	0.0636757	0.0519466	0.0418379	0.0439256	0.0251089	0.0244206	0.0178777	0.0260506	0.0244575	0.0164389	0.0180748	0.0135023	0.0156058	0.0173564	0.0181601	0.0204555
vu	0.0182681	0.0162285	0.0274656	0.0294917	0.0296593	0.0297535	0.0256684	0.0354384	0.0472787	0.0316753	0.0317068	0.0244319	0.0505188	0.04648	0.0583657	0.0660325	0.0625663	0.0404926	0.0268074	0.0125031	0.0190565	0.0218388	0.0214072	0.0154633	0.0339035	0.0374351	0.032983	0.0228484	0.0515538	0.0326775
un	0.0401259	0.0255641	0.0173472	0.0200714	0.0151293	0.0222534	0.0185284	0.012069	0.0123248	0.0232096	0.0205124	0.0371254	0.0235835	0.0529489	0.136222	0.0720001	0.0739844	0.056961	0.0366313	0.0322417	0.0351541	0.0239326	0.0205666	0.0191838	0.017161	0.0292875	0.0247571	0.021608	0.0184753	0.0410401
fantôme	0.0246747	0.0310206	0.0235291	0.0276475	0.0218494	0.0431277	0.0443387	0.0208324	0.00938371	0.0194598	0.0366151	0.0532568	0.0734723	0.0545598	0.0400542	0.099941	0.0522431	0.0304539	0.0275089	0.021469	0.0301696	0.0162347	0.0215735	0.0177495	0.0369704	0.0347852	0.0250556	0.0273606	0.0157073	0.0189558
hier	0.0415489	0.0447836	0.0395173	0.0459868	0.0441377	0.0775833	0.063744	0.0363334	0.0257565	0.0119887	0.00954052	0.0260833	0.0318429	0.0342223	0.0278133	0.0893091	0.0586394	0.0367259	0.031533	0.0253856	0.0255678	0.0215452	0.0193113	0.0188556	0.020057	0.019355	0.0172844	0.0188603	0.0133632	0.0233247
dans	0.0622641	0.0707435	0.0700499	0.049278	0.0437598	0.0533987	0.0400357	0.0358649	0.0170515	0.00943467	0.00575741	0.012407	0.0172756	0.0147051	0.0149711	0.0208831	0.0201365	0.0095427	0.016461	0.0229636	0.0366876	0.0274886	0.0356839	0.0377574	0.0432857	0.0456356	0.0368773	0.0412669	0.0368241	0.0515092
la	0.0754186	0.0443211	0.0415221	0.0382912	0.0403883	0.0362667	0.0283057	0.0265907	0.0191893	0.0140159	0.00934349	0.0118476	0.0169364	0.0129624	0.0145694	0.0267552	0.0211238	0.0160257	0.0147532	0.0202414	0.040938	0.0273353	0.0282464	0.0375189	0.0373804	0.0394565	0.0438494	0.0419318	0.0805226	0.0939524
nuit	0.0419347	0.0309713	0.0319037	0.0300917	0.0297202	0.0178529	0.0149444	0.0163347	0.0127867	0.015887	0.022916	0.0169623	0.0166886	0.0177855	0.0191518	0.0378628	0.0233229	0.0247056	0.0332156	0.0345942	0.0554823	0.0269066	0.0411857	0.0289186	0.0671682	0.044499	0.0481521	0.0419519	0.0815976	0.0745054
</S>	0.0838421	0.0262319	0.021093	0.0153503	0.0143686	0.00870772	0.0112953	0.0117612	0.00654905	0.00718626	0.00607796	0.00445493	0.00552422	0.00426914	0.00461397	0.008255	0.00726549	0.00987893	0.00959824	0.0107123	0.0196601	0.0156294	0.033696	0.0330856	0.0555387	0.0963547	0.084967	0.120791	0.108987	0.154255
