 	a66	a87	a23	a50	a83	a71	a83	a34	a47	a34	a96	a83	a34	a98	a79	a98	a47	a7	a37	a70	a62	a47	a88	a71	a9	a99	a97	a23	a90	a92	a61	a21	a85	a47	a7	a44	a70	a83	a9	a10	a87	a23	a87	</S>
sa	0.0618367	0.0561046	0.0414901	0.0309055	0.0219426	0.0360805	0.017561	0.0121003	0.0202105	0.0202884	0.0112545	0.0123959	0.0184143	0.0115371	0.0221703	0.0165378	0.0231025	0.0207894	0.020095	0.0273821	0.0375149	0.0189653	0.0172664	0.0222441	0.0072492	0.00654173	0.00651454	0.00701837	0.00626947	0.00733865	0.0185216	0.0112389	0.0141681	0.0189378	0.0374602	0.0326065	0.0265522	0.0213753	0.0207298	0.0148498	0.0176203	0.0300579	0.0263714	0.0703886
manière	0.00247742	0.00383115	0.00586897	0.0093042	0.00481161	0.0146919	0.029789	0.0215352	0.0457716	0.0416215	0.0668338	0.0732854	0.0605428	0.0787024	0.188721	0.136707	0.0395064	0.0311681	0.0258053	0.0137916	0.021817	0.0204654	0.0170349	0.00703116	0.00709488	0.00499859	0.0024899	0.00409716	0.00263152	0.00138232	0.00201144	0.00143579	0.00118387	0.00280202	0.00169758	0.00208217	0.000603853	0.000440522	0.000438693	0.000229706	0.000311021	0.000563111	0.00194204	0.000448915
de	0.0179077	0.014865	0.0112032	0.00844678	0.0134355	0.0102868	0.0242356	0.019614	0.018717	0.0258978	0.0167085	0.0415349	0.0359214	0.0402332	0.0300719	0.0179098	0.0285026	0.0255964	0.0325877	0.0146624	0.00675701	0.00552793	0.00893742	0.0084862	0.0107452	0.00941706	0.006659	0.00568795	0.00455566	0.00424305	0.00273719	0.0128575	0.00482181	0.00559872	0.0119347	0.020021	0.0309041	0.0404284	0.0403588	0.0623688	0.0846036	0.0691081	0.0654091	0.0294935
réchauffer	0.0399552	0.0200268	0.00985385	0.00429875	0.00384069	0.0111006	0.0104607	0.0120263	0.0188826	0.02485	0.0146866	0.0335431	0.0279817	0.0167444	0.0147666	0.0231212	0.0279495	0.0352094	0.0484715	0.0494018	0.0643172	0.0670178	0.0540927	0.0506818	0.0252979	0.033589	0.0227553	0.0194043	0.0269355	0.0306447	0.0158505	0.0192847	0.00991562	0.00663902	0.00825182	0.00959484	0.00934943	0.0096469	0.0107605	0.00983796	0.0108819	0.0178723	0.011117	0.00909021
le	0.0258798	0.0150144	0.00800303	0.00676244	0.0040506	0.00406986	0.0035175	0.00383599	0.00288038	0.00398882	0.00954814	0.0133463	0.0337402	0.0416754	0.0329055	0.0553379	0.0717037	0.105954	0.0770209	0.0860408	0.0728271	0.0625431	0.0455591	0.0414182	0.0316877	0.0226027	0.0129569	0.00929511	0.0114468	0.0115992	0.00735614	0.00806301	0.00545189	0.00280969	0.00203692	0.0026065	0.00306595	0.00362787	0.00356812	0.00533103	0.00432179	0.00739943	0.00803169	0.0091188
repas	0.0526526	0.0477187	0.0258221	0.0106024	0.00515392	0.00231333	0.0018437	0.00145254	0.00140135	0.00244716	0.00699406	0.00999349	0.0195922	0.0257714	0.0162475	0.0161573	0.0249298	0.0660314	0.049461	0.0243488	0.0338794	0.0167822	0.0173543	0.024278	0.0124894	0.0185686	0.01988	0.0142858	0.0196287	0.0268539	0.0151194	0.0262675	0.0286719	0.0122057	0.013446	0.0162303	0.0201685	0.0243055	0.0205881	0.0287253	0.0325982	0.0521786	0.0416119	0.0529482
risque	0.033197	0.0245273	0.0173878	0.00794932	0.00545609	0.00359069	0.00295151	0.00275134	0.00374764	0.0033241	0.00667846	0.00821781	0.0147223	0.0132303	0.0104815	0.0126548	0.0179411	0.0567882	0.0414139	0.0322703	0.032331	0.0241761	0.0185909	0.0171549	0.0103453	0.0152723	0.022059	0.0116237	0.0230968	0.0316317	0.0273122	0.0322746	0.048137	0.0230225	0.0254495	0.0258302	0.0313282	0.0285616	0.0304242	0.0267372	0.0329923	0.0522376	0.0269273	0.0632026
de	0.0198741	0.0234953	0.0170646	0.00684138	0.00399634	0.00190421	0.00251434	0.00207053	0.00387355	0.00633092	0.00636097	0.0116624	0.0140925	0.0156982	0.011795	0.0126524	0.0346535	0.025822	0.0230423	0.0198095	0.011597	0.00693197	0.00889415	0.0103385	0.0117996	0.0120413	0.0169461	0.0129742	0.0128113	0.0170093	0.018578	0.0173295	0.0207709	0.0159989	0.0245385	0.030789	0.0482611	0.0528962	0.0443095	0.0561896	0.0545446	0.0696639	0.0768728	0.0843604
tout	0.019316	0.0179723	0.0149886	0.00721462	0.00512428	0.0030973	0.00319135	0.00258001	0.00728104	0.0126832	0.0117986	0.0239654	0.021506	0.0221933	0.0264515	0.0181599	0.0368544	0.0256726	0.0192133	0.0183058	0.0121524	0.00667982	0.00729804	0.010953	0.0114719	0.0127212	0.0154496	0.0149977	0.0113479	0.0153871	0.0114891	0.0148467	0.0189395	0.0119886	0.0164301	0.0216315	0.0306832	0.034237	0.0389857	0.0690586	0.0667942	0.0704837	0.0894614	0.0689426
calciner	0.0207297	0.0139172	0.0131264	0.00769315	0.00712266	0.00869152	0.0075168	0.00760495	0.011021	0.0170793	0.0118051	0.0177598	0.0169694	0.0172371	0.0202512	0.0157178	0.0251482	0.0223341	0.0196092	0.0215384	0.0194895	0.0134004	0.0127023	0.0185663	0.01753	0.0207496	0.0203484	0.0218577	0.0194122	0.0247592	0.01418	0.0179057	0.0232911	0.0116453	0.0150781	0.0176085	0.0248153	0.0254737	0.032405	0.0594614	0.0487469	0.0717337	0.0697466	0.0762204
</S>	0.0300952	0.0203234	0.0189895	0.0132807	0.0140108	0.0131143	0.0111831	0.00988537	0.00996268	0.0149036	0.0123411	0.0205253	0.0246504	0.0224482	0.0233627	0.0229626	0.0244372	0.0195417	0.0236751	0.0218658	0.0240746	0.0205715	0.0173128	0.023602	0.0205542	0.0215146	0.0168242	0.0153112	0.0161853	0.0201405	0.0139841	0.0159812	0.0210891	0.0106505	0.0151542	0.0186065	0.0268996	0.0296811	0.0314869	0.0454517	0.0335726	0.0522918	0.0519376	0.065563
