 	a66	a87	a23	a13	a53	a20	a7	a94	a93	a70	a93	a4	a58	a54	a6	a5	a61	a75	a98	a79	a98	a85	a37	a85	a6	a92	a37	a98	a79	a56	a93	a96	a70	a13	a57	a38	a98	a15	a7	a54	a47	a36	a2	a84	a57	a82	a87	a23	a50	a88	a50	a88	a90	a93	a94	a4	a57	a3	a87	a23	a87	</S>
c'	0.00768702	0.00774301	0.0183191	0.0155931	0.0310022	0.0407466	0.0733252	0.0334281	0.0399265	0.0332194	0.0427639	0.0379368	0.0334712	0.0456103	0.0575958	0.0599968	0.0485442	0.0469568	0.0405618	0.0269691	0.0158824	0.0122605	0.00989149	0.0109084	0.00927939	0.00608792	0.00487674	0.00572959	0.00750625	0.00609396	0.00945666	0.00508834	0.00571575	0.00604543	0.00421382	0.00448927	0.00601585	0.00545047	0.00448241	0.00553429	0.00472283	0.00452407	0.00479501	0.0026034	0.00443114	0.0141117	0.00443542	0.00483467	0.00637884	0.00630087	0.00755442	0.00496811	0.00614204	0.00595823	0.00313597	0.00489657	0.0041777	0.00393812	0.00285786	0.00422507	0.00322836	0.00537376
est	0.00869155	0.0111323	0.00791071	0.00762871	0.00598312	0.0144891	0.0120959	0.0184008	0.0177913	0.0152069	0.0193965	0.0297021	0.0248973	0.0238719	0.0140702	0.0216378	0.0161734	0.0259463	0.0183625	0.0134516	0.0102057	0.01423	0.00779405	0.00901682	0.0101151	0.00775564	0.00661636	0.00764254	0.00687844	0.00539853	0.00581621	0.00550926	0.00777388	0.0073624	0.00580491	0.00906399	0.0109389	0.00704768	0.0112384	0.0169833	0.0129244	0.0170761	0.0149576	0.017871	0.0145013	0.0109398	0.0104364	0.0196919	0.0221977	0.0189273	0.026565	0.0190224	0.0184276	0.0336994	0.0309392	0.0297963	0.0348476	0.034791	0.0308444	0.0335821	0.0289233	0.0190055
une	0.0164802	0.0273656	0.0229874	0.0231896	0.0223368	0.0263846	0.0163356	0.0129559	0.00943851	0.0144963	0.00679002	0.0151875	0.0155941	0.0102135	0.0121976	0.016089	0.0117225	0.0187298	0.021169	0.028489	0.0395912	0.0272975	0.020347	0.0161079	0.0456787	0.0276412	0.0432862	0.0203062	0.028781	0.0337186	0.0263207	0.0154224	0.0221272	0.0119169	0.019722	0.0163826	0.00837118	0.0144096	0.0135817	0.010697	0.00585129	0.00312804	0.00854073	0.00720732	0.00863063	0.00813843	0.00843779	0.00606319	0.00807991	0.00579788	0.00373999	0.00308057	0.00204755	0.00416566	0.00559625	0.00921606	0.01424	0.0116956	0.0148116	0.0130553	0.0100811	0.0285358
chance	0.0227744	0.0267934	0.0129393	0.0251998	0.0059578	0.0172779	0.00695872	0.0101183	0.00422588	0.0132511	0.0116577	0.0135281	0.010535	0.0187366	0.0106834	0.0077384	0.00714536	0.00348474	0.00329061	0.00285358	0.00175151	0.00184174	0.00120548	0.0020266	0.00288221	0.00242288	0.00695512	0.007062	0.00747977	0.00918314	0.00744172	0.0122737	0.0125174	0.0302696	0.0350709	0.0312961	0.0369556	0.0346949	0.049021	0.0197741	0.0918605	0.0512266	0.0478994	0.0271605	0.0268231	0.0126619	0.038821	0.037824	0.0173864	0.0140885	0.0122773	0.00488524	0.00282311	0.00593291	0.00574187	0.00540782	0.0052723	0.0084127	0.00821967	0.0136459	0.00732116	0.00703268
si	0.01786	0.0201657	0.00885567	0.0110711	0.00509748	0.0102431	0.00350871	0.00691152	0.00274426	0.0116945	0.00698646	0.0102319	0.0101141	0.0145969	0.0135439	0.014613	0.0137801	0.0109465	0.0213091	0.0225905	0.013763	0.0240161	0.0156624	0.0198947	0.0263422	0.0185712	0.0251948	0.0190419	0.0484796	0.0672179	0.0520014	0.0138063	0.0257697	0.0318267	0.0316216	0.035334	0.0332171	0.0479996	0.0304542	0.0167834	0.0239325	0.00846922	0.00616444	0.00666484	0.00473572	0.00324231	0.00282909	0.00359089	0.00376521	0.00465617	0.0040899	0.00671918	0.00759101	0.0138884	0.00697009	0.00735881	0.00743167	0.0125046	0.00768704	0.00836323	0.00890785	0.00657554
quelqu'	0.0090294	0.00653997	0.00814373	0.00853367	0.0072276	0.00650393	0.0142884	0.01755	0.0060446	0.00982391	0.00777565	0.0106862	0.0116728	0.00983447	0.0181201	0.0144065	0.0212563	0.0177339	0.0208191	0.017191	0.0301478	0.0249566	0.0290731	0.041607	0.0195876	0.0160738	0.0252663	0.0251328	0.0478613	0.0500429	0.0395284	0.017902	0.0247348	0.036633	0.0216148	0.0227876	0.0334678	0.039963	0.0336585	0.0315811	0.0307216	0.014322	0.00793913	0.00715894	0.0102162	0.00773274	0.00606439	0.00311557	0.00619625	0.00469845	0.00480978	0.00216337	0.00185923	0.00412608	0.00178553	0.00257798	0.00290183	0.00535246	0.00605727	0.00346969	0.00659656	0.00533326
un	0.0120194	0.00791797	0.00677505	0.00724122	0.00510349	0.00529293	0.00702732	0.0091591	0.00730768	0.00913041	0.0108281	0.016356	0.0193201	0.0171611	0.0143207	0.0319875	0.0256364	0.0438285	0.0317362	0.0224311	0.0401684	0.0125012	0.0127228	0.019735	0.0184508	0.0184659	0.0247952	0.0180463	0.0359678	0.0473165	0.0430632	0.0329731	0.0290328	0.037115	0.0369766	0.0260557	0.0335982	0.0346366	0.0211553	0.0160039	0.0124185	0.0127683	0.00752721	0.0147239	0.0124953	0.00922687	0.00565335	0.00304935	0.00620646	0.00327233	0.00396155	0.00566182	0.00382595	0.00410475	0.00213472	0.00171328	0.001542	0.00352619	0.00448645	0.00270596	0.00689496	0.00274005
vient	0.00805977	0.010055	0.00940842	0.0105637	0.00501198	0.00408395	0.00428991	0.00551836	0.00387747	0.00765961	0.00699111	0.0111893	0.0118515	0.0147939	0.0128008	0.0197746	0.0154428	0.0173203	0.00948152	0.0115488	0.0125736	0.00424691	0.0062968	0.00742882	0.00878881	0.0102751	0.0223804	0.0148098	0.0281407	0.0441086	0.0374164	0.0482189	0.0547781	0.0627232	0.0498483	0.0603036	0.0351006	0.0395247	0.0227207	0.0135454	0.0227627	0.0163506	0.0093442	0.0164161	0.0153465	0.0102706	0.00909589	0.006764	0.00834864	0.0112055	0.00619317	0.00506326	0.0050655	0.0067467	0.00690278	0.00723566	0.00583068	0.0091229	0.011897	0.00685999	0.0111495	0.00907603
épouser	0.0123095	0.0144436	0.0149818	0.0168131	0.0133614	0.00884397	0.0128561	0.0167907	0.0207152	0.014436	0.0208008	0.0213689	0.0206425	0.0200968	0.0196287	0.0349687	0.0317015	0.0253744	0.0175027	0.0232116	0.015377	0.00934012	0.00801585	0.013177	0.0139019	0.0128348	0.0162713	0.00907425	0.0181783	0.0244473	0.0265427	0.0119751	0.0129193	0.0121475	0.0151784	0.0130469	0.00834253	0.0128283	0.00619575	0.00535098	0.00502145	0.00505636	0.00583609	0.0114882	0.0168893	0.0249534	0.0119755	0.00579074	0.0166785	0.0143494	0.0197454	0.0139768	0.0166857	0.0183204	0.0127761	0.0151985	0.0160487	0.0233899	0.0288437	0.0189988	0.0292675	0.0227168
votre	0.0163693	0.0188698	0.0188569	0.0215437	0.0146514	0.0139147	0.0137157	0.0199608	0.0143529	0.0134938	0.0125093	0.0116974	0.0125736	0.0116809	0.0105961	0.0262497	0.0171223	0.0126364	0.00850854	0.0111387	0.0154819	0.00461701	0.00577561	0.00772972	0.00878226	0.00675033	0.0122957	0.00625844	0.0104923	0.0145607	0.0202555	0.0269398	0.0208226	0.0324149	0.0480284	0.0242542	0.0250637	0.0211405	0.0213194	0.0182917	0.0147731	0.0157748	0.0117691	0.020274	0.0199679	0.0258163	0.0149774	0.00975861	0.0187901	0.0148958	0.0255789	0.00958496	0.00859766	0.00935576	0.00709587	0.0107586	0.0100921	0.0154628	0.0220689	0.0133025	0.0266767	0.0229112
