 	a15	a66	a87	a23	a83	a50	a88	a31	a47	a31	a93	a70	a62	a75	a56	a34	a98	a47	a92	a37	a85	a15	a98	a85	a5	a18	a71	a9	a87	a23	a83	a71	a24	a62	a83	a62	a75	a56	a93	a90	a56	a54	a7	a40	a26	a57	a87	a23	a87	</S>
de	0.0517108	0.0879989	0.0519849	0.0356017	0.0512322	0.0257662	0.0305255	0.0299022	0.0172038	0.0249803	0.0134287	0.012032	0.0180799	0.0181284	0.0115079	0.0155613	0.0121986	0.0124708	0.0178305	0.0180017	0.0183417	0.0130109	0.013946	0.0112593	0.0219716	0.0144246	0.0164369	0.019435	0.021602	0.0270891	0.0134261	0.00983806	0.0211216	0.0100691	0.013966	0.0210671	0.0152383	0.0081433	0.00975872	0.00983405	0.0098853	0.00983644	0.00886962	0.0135176	0.0168538	0.0130686	0.0183825	0.012308	0.016477	0.0146752
la	0.00676228	0.0080879	0.0169591	0.0137695	0.0065912	0.00830686	0.00836509	0.00943945	0.0122904	0.00877055	0.0125653	0.0218705	0.029032	0.0760961	0.0918402	0.0969053	0.0883833	0.0944706	0.0650724	0.0341668	0.0517922	0.0443791	0.0370432	0.0182556	0.0150507	0.00937652	0.00506938	0.0072574	0.0053126	0.00414132	0.0048264	0.00130481	0.00447959	0.00330346	0.00378345	0.00337471	0.00227254	0.00176034	0.00193497	0.0035268	0.004105	0.00594474	0.00650158	0.00884398	0.0055527	0.00656611	0.00519329	0.00738909	0.00561542	0.00629819
manière	0.0169048	0.00924129	0.00701753	0.00645838	0.00314561	0.00519548	0.00480275	0.00602645	0.0104553	0.0138255	0.0122214	0.0160935	0.0238674	0.0135663	0.0361993	0.0357011	0.0809148	0.0409016	0.0375882	0.0299126	0.0605835	0.030492	0.0504928	0.0702883	0.0503427	0.0564114	0.0377869	0.0553368	0.0524121	0.0178197	0.0154354	0.00587287	0.00768526	0.00247585	0.0019651	0.000726863	0.00199621	0.00116287	0.00203478	0.00197533	0.00321077	0.00286221	0.00401278	0.0100072	0.00516821	0.00634138	0.00657439	0.00709536	0.0146005	0.00679106
dont	0.0510897	0.0164696	0.0118466	0.0089377	0.0101362	0.00587491	0.00575875	0.00910236	0.00877975	0.0118716	0.00572322	0.0154138	0.0197619	0.0211861	0.0358642	0.0187163	0.0518929	0.0293873	0.0215561	0.069107	0.0367986	0.0289494	0.0388213	0.0304798	0.0317226	0.0397019	0.0262995	0.0366239	0.0210461	0.0238085	0.0260579	0.03073	0.0274129	0.0169355	0.0130394	0.00870367	0.0148575	0.00922033	0.00456054	0.00583944	0.00854804	0.00964447	0.010788	0.00846998	0.00654859	0.0118267	0.00616025	0.0127613	0.0152341	0.00993356
mon	0.0481458	0.0201846	0.0122089	0.0029023	0.00292223	0.0011363	0.00176825	0.00279892	0.00350872	0.00462565	0.00282339	0.00538688	0.00723934	0.0085468	0.0178045	0.015388	0.0536048	0.0374613	0.0313129	0.0862729	0.050139	0.0254755	0.0398608	0.041759	0.0211229	0.0328576	0.0266682	0.0497981	0.0227349	0.0241715	0.0210906	0.0313082	0.0293763	0.0118189	0.0345589	0.0273189	0.0207317	0.0236917	0.0184336	0.0137248	0.0096418	0.0101283	0.00473448	0.00542643	0.0084923	0.00508787	0.00297341	0.00706292	0.00938602	0.00438279
coeur	0.0554008	0.0104833	0.00702078	0.00416276	0.00157534	0.00155112	0.00130281	0.00217259	0.00239685	0.0040979	0.00200242	0.00340218	0.00847495	0.00534862	0.0138164	0.0129153	0.0640544	0.0270901	0.0305222	0.0906164	0.0751012	0.0300493	0.0295127	0.0473593	0.0204296	0.034581	0.0473344	0.0529803	0.0286638	0.0110272	0.0106733	0.00890687	0.0161365	0.00467521	0.012359	0.0200149	0.0195508	0.0174229	0.0115737	0.00910789	0.0172846	0.0121591	0.00935288	0.0118329	0.0211266	0.0103648	0.0128073	0.0168022	0.0187726	0.0136301
palpite	0.0463588	0.0138012	0.0259555	0.0278106	0.00741726	0.00935109	0.00981931	0.00884108	0.00933822	0.0105115	0.00785063	0.00994963	0.0141086	0.0196168	0.0308057	0.0185753	0.0387278	0.0321431	0.0281781	0.0397344	0.051111	0.0333548	0.0410075	0.0397235	0.0192827	0.020771	0.030281	0.0203927	0.0132597	0.00669974	0.0104063	0.00701335	0.0107626	0.00619722	0.00705927	0.00590079	0.00794036	0.00676105	0.0219668	0.0125213	0.015626	0.0131493	0.0137828	0.0279001	0.0168915	0.0241791	0.0214219	0.0230887	0.0392907	0.0233626
je	0.0418032	0.0281774	0.0354839	0.0154321	0.0049835	0.00648984	0.00795893	0.00678993	0.00469846	0.005371	0.00368856	0.00778043	0.0109721	0.0198772	0.0227863	0.0225118	0.0287196	0.0320248	0.024841	0.0467473	0.0408772	0.0229984	0.027425	0.0177825	0.0117295	0.00991444	0.00744937	0.0117664	0.00623312	0.00529515	0.00653738	0.00241325	0.00611613	0.00376245	0.0067779	0.014763	0.0130637	0.0103694	0.0275082	0.0327473	0.0335363	0.0346862	0.028177	0.0437624	0.029276	0.0426549	0.0285289	0.0360809	0.0351972	0.0254328
ne	0.0170289	0.0205208	0.0236779	0.0241375	0.0101514	0.014328	0.0144822	0.00940535	0.00787793	0.0120409	0.00911226	0.0155237	0.0196119	0.0235165	0.0186269	0.0238532	0.0169934	0.0250961	0.0264072	0.0238972	0.0263306	0.0191709	0.0157346	0.00877908	0.00901477	0.00563857	0.00451608	0.00551007	0.00369436	0.00427811	0.00409756	0.00249827	0.0046743	0.0046692	0.00571643	0.0101844	0.00869583	0.00631975	0.0209278	0.0327958	0.0265791	0.0292347	0.0245583	0.0624244	0.0303883	0.0509867	0.0366866	0.0539483	0.0579444	0.0677135
tiendrai	0.0223551	0.0295967	0.0386955	0.0358029	0.0136704	0.018073	0.0207185	0.0148269	0.00840218	0.0134029	0.00833294	0.00959053	0.0129262	0.0167893	0.0104863	0.0142098	0.0117782	0.0166674	0.018711	0.0199163	0.022402	0.0154801	0.0140059	0.0101336	0.0100505	0.00629164	0.00437129	0.00623597	0.00395187	0.00539176	0.00524717	0.0033773	0.00837118	0.00611519	0.00884796	0.0146662	0.00904592	0.00716085	0.0167771	0.0352738	0.0229832	0.0306275	0.0183476	0.0487772	0.0372952	0.0405804	0.0399769	0.0546175	0.0578894	0.0807559
