 	a23	a87	a23	a79	a4	a57	a53	a76	a94	a32	a20	a58	a76	a94	a32	a24	a43	a75	a73	a94	a26	a20	a73	a84	a57	a87	a23	a79	a4	a58	a53	a94	a76	a73	a94	a53	a76	a94	a76	a90	a57	a82	a10	a11	a94	a4	a57	a3	a87	</S>
avant	0.0209801	0.0238066	0.0211735	0.0386268	0.0224766	0.0180145	0.020726	0.0230224	0.0319724	0.0317794	0.031364	0.0276089	0.0458121	0.0363893	0.0443823	0.0196229	0.0253709	0.0179972	0.0121292	0.0096386	0.00559267	0.00637043	0.00374838	0.00910621	0.00868788	0.0142034	0.0129461	0.0134636	0.010311	0.0145608	0.00862742	0.00803167	0.00795571	0.00725163	0.00965527	0.0055511	0.00638375	0.00837609	0.00786149	0.00740199	0.01012	0.0138306	0.00733322	0.0203296	0.0382381	0.0533829	0.0484282	0.0264473	0.0341448	0.0487649
la	0.00329604	0.00298693	0.00370831	0.00350432	0.003477	0.0145284	0.034279	0.0394087	0.0556264	0.0373651	0.042114	0.0407843	0.0858993	0.0473053	0.0429647	0.0169058	0.0215584	0.0121692	0.0224014	0.0075605	0.00586323	0.00989643	0.00325497	0.0057241	0.00937048	0.0126953	0.0101401	0.00912729	0.0149263	0.00675034	0.00654852	0.00567719	0.00453209	0.00805349	0.00705446	0.00571595	0.010741	0.0139226	0.00761774	0.0192549	0.0237191	0.0259127	0.0358478	0.0314108	0.0360985	0.0335619	0.0322452	0.02083	0.0219677	0.0236967
fin	0.0065404	0.00447047	0.0039927	0.00394007	0.00453679	0.00421545	0.00837223	0.006017	0.00853121	0.00598667	0.00607679	0.00433364	0.00546134	0.00385648	0.00644848	0.00642633	0.00667694	0.00521554	0.0054757	0.0025389	0.00335906	0.00357768	0.0038752	0.008391	0.00914267	0.00402971	0.00414831	0.00416795	0.0066189	0.00262374	0.00271927	0.00205577	0.00260995	0.00350306	0.0032823	0.00275212	0.00324898	0.0025938	0.00473474	0.00717332	0.0145595	0.0113791	0.0285165	0.105479	0.108026	0.0955918	0.0960851	0.0787025	0.0938404	0.174099
de	0.0300578	0.026306	0.0273578	0.0226556	0.0226612	0.0311195	0.0263121	0.0273668	0.0346314	0.0331374	0.0318132	0.0239313	0.0279588	0.0180596	0.0221492	0.0203723	0.025155	0.0299978	0.027209	0.0156424	0.0229741	0.0203648	0.0253675	0.0319257	0.0252474	0.0120548	0.00774645	0.0140572	0.0131716	0.0122472	0.0112029	0.013599	0.0138941	0.0166362	0.0151249	0.0261026	0.0202337	0.0145863	0.0119827	0.0181086	0.0163641	0.0117468	0.0149447	0.0211221	0.0154871	0.00903252	0.00981781	0.00823141	0.00777761	0.014954
la	0.0173892	0.0199468	0.0223795	0.0235602	0.0208479	0.0206052	0.0142414	0.0115143	0.0114379	0.0129418	0.0101148	0.0166936	0.00868479	0.0137572	0.015235	0.0172039	0.0134873	0.00759385	0.0191052	0.0131356	0.00947506	0.00783261	0.00979939	0.00701265	0.00790386	0.00853312	0.00520064	0.00773854	0.00663029	0.00788432	0.0113017	0.0125185	0.012858	0.0101008	0.00779948	0.012104	0.00882033	0.011413	0.0109697	0.0167965	0.0213077	0.0197376	0.0336272	0.0440237	0.0553627	0.0663609	0.0637401	0.0577446	0.0523948	0.0831329
tornade	0.0302828	0.0207711	0.0223843	0.0238888	0.017111	0.0180891	0.0366825	0.0311321	0.0381059	0.0658039	0.0476214	0.0455878	0.044157	0.0365413	0.0544019	0.0344855	0.0506549	0.0256185	0.0419697	0.0126636	0.0214634	0.0197536	0.0153643	0.0171747	0.0284999	0.0156563	0.0105109	0.0120371	0.0095503	0.0101126	0.0107115	0.0125829	0.00638505	0.0051725	0.00563254	0.00569871	0.00521074	0.00298882	0.00341093	0.00188214	0.00171053	0.00236206	0.00335058	0.00485905	0.00680661	0.00695106	0.0111176	0.00910379	0.0124013	0.0235851
l'	0.0112698	0.0170385	0.0233389	0.0304207	0.0206421	0.0437479	0.059648	0.0461371	0.052727	0.0551803	0.0327644	0.0181499	0.0292679	0.0210077	0.0439839	0.0435928	0.0443665	0.0273303	0.0226347	0.0120752	0.0121497	0.0118737	0.0114737	0.0194599	0.0208954	0.0283234	0.0263822	0.0379772	0.0205935	0.0212368	0.0118891	0.0106617	0.00914575	0.00624399	0.007283	0.00823685	0.00581106	0.0114164	0.004419	0.00307104	0.00198013	0.00247763	0.0021435	0.0035497	0.00655834	0.00498654	0.00653453	0.00688844	0.00693894	0.0140753
arc-en-ciel	0.0140722	0.0185766	0.0227377	0.0222373	0.0182714	0.0307662	0.0376133	0.0218993	0.0212729	0.0311686	0.013752	0.0177784	0.0396978	0.020538	0.0488121	0.0381293	0.0325637	0.025027	0.0219529	0.0113479	0.0109037	0.0127084	0.0119785	0.0188197	0.0197347	0.0193148	0.0194104	0.0311721	0.0239069	0.025007	0.0141141	0.014285	0.0118581	0.0119028	0.0122505	0.0121635	0.0106719	0.0200089	0.0078069	0.00641288	0.00477384	0.00683422	0.00918694	0.0100991	0.0184876	0.0156288	0.0209541	0.0211688	0.0227936	0.0474278
est	0.0188976	0.0231061	0.0213955	0.0217257	0.0275577	0.0268373	0.0259146	0.0270862	0.0384219	0.0302457	0.0255776	0.0212098	0.0387161	0.0270408	0.0423943	0.0229854	0.0226122	0.0169656	0.0129164	0.00631663	0.0067024	0.00788489	0.00699906	0.0208964	0.0177812	0.0151316	0.0144657	0.0205836	0.0157318	0.0191401	0.0105935	0.00777556	0.00505408	0.00547422	0.00323983	0.00193544	0.00359214	0.0036668	0.0019973	0.0016003	0.00176595	0.00388663	0.00577373	0.00891579	0.0158637	0.0212183	0.0430288	0.0398372	0.0471885	0.124352
apparu	0.0190675	0.0202253	0.0199893	0.0208552	0.0163814	0.0133149	0.014153	0.0120198	0.0181748	0.0160802	0.0126425	0.0108403	0.0221093	0.0163338	0.0309403	0.017542	0.0209265	0.0126298	0.010754	0.00322515	0.00358897	0.00438991	0.00429411	0.0111782	0.00858887	0.00701929	0.00688608	0.0111161	0.00834326	0.0115981	0.0066464	0.00641449	0.00593193	0.00730833	0.00753631	0.00417742	0.00740237	0.00757077	0.00729956	0.00883158	0.00849743	0.0126256	0.0127405	0.0209157	0.0377812	0.0637279	0.0808746	0.053137	0.0915873	0.143786
</S>	0.0256459	0.0156388	0.0109721	0.00991229	0.0149646	0.0135621	0.0111755	0.00876608	0.00930928	0.0101324	0.00896411	0.0109652	0.00808126	0.00893427	0.0153422	0.0111281	0.0110206	0.00971463	0.0103599	0.0131256	0.0154911	0.0168793	0.0132639	0.01215	0.0148539	0.0110052	0.0128558	0.0176485	0.0119286	0.0126221	0.013044	0.0128122	0.00985846	0.00816736	0.0103109	0.0045127	0.0109716	0.0123171	0.0079584	0.00877677	0.0117025	0.0122804	0.026343	0.0233614	0.0306352	0.0702016	0.0858489	0.0477659	0.0690128	0.147706
