 	a66	a87	a23	a87	a23	a53	a20	a15	a79	a44	a12	a96	a94	a62	a96	a18	a90	a15	a79	a98	a85	a5	a18	a75	a5	a43	a36	a27	a57	a99	a87	a23	a87	</S>
si	0.0509716	0.0649224	0.0597693	0.053695	0.0370265	0.0432418	0.0777821	0.0579561	0.0931406	0.0363953	0.0251744	0.0210008	0.00973369	0.0139874	0.0101807	0.0072968	0.0100345	0.00790417	0.0106238	0.00471095	0.00443291	0.00334615	0.00884518	0.011156	0.0166634	0.0276304	0.0246481	0.0378426	0.025378	0.0290987	0.0232296	0.0326406	0.0264796	0.0330608
tu	0.00735516	0.00850378	0.00754234	0.00928742	0.00926739	0.00430821	0.00672562	0.00875425	0.0106587	0.0207035	0.0346959	0.0433884	0.0609821	0.0524891	0.0369749	0.0495541	0.012986	0.021046	0.0284169	0.0364598	0.0287589	0.0258904	0.0718876	0.0470991	0.0500457	0.0424289	0.0269027	0.0463751	0.053377	0.0313924	0.0340052	0.0278747	0.0291729	0.0146899
me	0.0509787	0.0361988	0.0360681	0.0206976	0.0193538	0.00557912	0.00428268	0.00677504	0.0128163	0.0236715	0.0176138	0.0200562	0.0290345	0.0423538	0.0410601	0.0430766	0.0131178	0.0159427	0.0177779	0.0137341	0.00902861	0.00467901	0.00768601	0.00874663	0.0135374	0.00677603	0.00988012	0.0187866	0.0217687	0.0433221	0.0709883	0.0756354	0.0980256	0.14095
donnes	0.0586452	0.0390596	0.0207712	0.0253446	0.0114543	0.0116628	0.0113873	0.00960523	0.0146601	0.0395848	0.0153667	0.0446835	0.0761145	0.0512977	0.0493165	0.0218431	0.0190837	0.018831	0.0156394	0.0431954	0.0187699	0.0226635	0.0190618	0.0125914	0.0216009	0.0210663	0.0206866	0.0249333	0.0255916	0.0385491	0.0339513	0.030202	0.041579	0.0712067
un	0.0495202	0.0299252	0.0164239	0.0221929	0.0101438	0.015891	0.0155024	0.00879619	0.0112083	0.0148562	0.0125538	0.0225548	0.0235593	0.0202895	0.0150091	0.0109426	0.00936201	0.012376	0.00814774	0.0208665	0.0205223	0.0320914	0.0581567	0.0373455	0.04533	0.039643	0.0337887	0.0365301	0.056344	0.0667955	0.0636067	0.0442209	0.0575436	0.0579601
coup	0.0541974	0.0280629	0.0212136	0.0242641	0.0152341	0.0119372	0.0204295	0.0229652	0.0363248	0.0485549	0.0487112	0.0585136	0.0598317	0.0834357	0.0578172	0.0380982	0.0379675	0.0224857	0.0143831	0.0157161	0.0198947	0.0168428	0.0177733	0.0188624	0.0232918	0.0154866	0.0252159	0.0142074	0.0153046	0.019759	0.0143847	0.0189908	0.0176521	0.0421903
de	0.0635442	0.061976	0.024005	0.0305471	0.0174565	0.0166506	0.0115117	0.0168384	0.0254235	0.0290022	0.0469142	0.0541766	0.0607373	0.0535395	0.0773351	0.0324538	0.0324488	0.0170359	0.019244	0.0208002	0.0141235	0.0129351	0.0208333	0.021392	0.0366345	0.0252267	0.0123366	0.0223468	0.0228438	0.0207722	0.0184732	0.0175376	0.0277393	0.0151647
bâton	0.0790195	0.0350002	0.0193029	0.0173084	0.00839113	0.00726388	0.00742749	0.00583629	0.00680026	0.00722535	0.016427	0.0158103	0.0264903	0.0175717	0.0356128	0.0182567	0.0234395	0.0134008	0.0125619	0.0221451	0.0212587	0.0179535	0.0506635	0.036311	0.0665383	0.0667298	0.0358855	0.0459071	0.0780463	0.0367707	0.0475423	0.0329232	0.0434401	0.0247387
je	0.0600534	0.0569605	0.0220965	0.027499	0.0120298	0.00501983	0.00627213	0.00548256	0.00532909	0.00721361	0.00699475	0.00632065	0.00675732	0.00869482	0.00853044	0.0216672	0.00813869	0.0169998	0.022703	0.0482155	0.0263802	0.0330543	0.0485805	0.0282509	0.0781536	0.0536721	0.0237079	0.0555542	0.0684558	0.0467243	0.0628591	0.0344934	0.0628585	0.0142767
ripo	0.0433412	0.0254941	0.014334	0.0136909	0.0080765	0.00820265	0.00593462	0.00922052	0.00657595	0.00595676	0.00602526	0.00736539	0.0103409	0.0128008	0.0117386	0.0140133	0.010335	0.012454	0.0224247	0.0295277	0.0261354	0.046391	0.0557647	0.0340242	0.0400031	0.036352	0.0353923	0.0492904	0.0657233	0.0673652	0.0675208	0.0602071	0.0884711	0.0495067
sterai	0.0274938	0.0369701	0.0199084	0.01953	0.012428	0.0144076	0.00808653	0.00752234	0.00961609	0.00591014	0.00670506	0.00779832	0.0109949	0.0141702	0.0134478	0.0233981	0.00946287	0.010505	0.0187222	0.0239353	0.0321229	0.027743	0.0372422	0.0279258	0.0427263	0.0344143	0.0190465	0.045768	0.0511093	0.0551462	0.072827	0.0544754	0.0988559	0.0995843
</S>	0.00363927	0.00352627	0.00221759	0.00301899	0.00204673	0.00264589	0.00235696	0.00228807	0.00421398	0.00241637	0.00388061	0.00394216	0.00602654	0.00362241	0.00900944	0.010087	0.00924238	0.00741281	0.0192384	0.0184272	0.0296216	0.0205451	0.0486141	0.0326273	0.0596474	0.0493219	0.044036	0.0586256	0.081508	0.0950279	0.0861126	0.0866968	0.0973324	0.0910242
